# Loop @ Start frequency 1100000Hz took 1936.64 cycles
# Interval [1934 ; 1939]
# Q1 : 1926 ; Q3 : 1930
# Loop @ Target frequency 1300000Hz took 1641.18 cycles
# Interval [1635 ; 1647]
# Q1 : 1630 ; Q3 : 1634
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1319540	1155734	163806	3567	447458112	447411780	1120653573018251
1190060	1159636	30424	4812	11022360	11217500	1120653585586633
1200024	1157948	42076	907	3180398	3417570	1120653590324651
1148668	1118768	29900	3036	7661954	7623854	1120653599487223
1302864	1156444	146420	4996	11588480	11698108	1120653612735339
1188436	1108444	79992	2463	6647512	6518568	1120653620922765
354278	322810	31468	4156	9917488	9069286	1120653631546553
1200712	1171300	29412	3982	9550066	9566686	1120653642654927
1186928	1156134	30794	4075	9625390	9739720	1120653653819045
459116	428600	30516	3998	9253932	8857298	1120653663883147
1191696	1161148	30548	3427	8470818	8457736	1120653673897669
517340	486934	30406	2191	5818636	5301704	1120653680585211
474758	444628	30130	4544	10695292	9966472	1120653692106509
653564	617236	36328	3891	9169722	8845142	1120653702281339
910710	879608	31102	4101	9790910	9516418	1120653713334373
751306	721066	30240	3295	7868168	7744612	1120653722304835
1181562	1150850	30712	2535	6675652	6654792	1120653730513113
1199282	1167182	32100	27	1658862	1655980	1120653733722777
1197616	1167186	30430	2511	6615778	6621802	1120653741893097
1189518	1160746	28772	4626	10759232	10844048	1120653754192835
1120258	1090734	29524	4697	10957684	10928342	1120653766621561
507978	475262	32716	4859	11312910	10627588	1120653778793081
1053698	1024028	29670	1572	4736462	4599702	1120653784934823
641070	609778	31292	447	2192018	1938382	1120653788118147
370410	326316	44094	3556	8714116	7890644	1120653797553463
1329374	1299562	29812	4871	11334792	11473788	1120653810574273
1192688	1158480	34208	3275	8365842	8143630	1120653820483467
1188150	1157492	30658	1540	4461538	4671096	1120653826484893
1189776	1159952	29824	3078	7493858	7748730	1120653835520531
1205344	1163224	42120	1572	4581458	4752140	1120653841664007
1192830	1159776	33054	1286	3781142	4168542	1120653846997457
1224340	1194062	30278	4158	9746622	9942244	1120653858318875
1202204	1171404	30800	156	1905014	1914870	1120653861776773
789752	760218	29534	590	2394928	2371694	1120653865312201
520872	490694	30178	1788	5171928	4499708	1120653871357303
369196	337732	31464	4822	11109420	10416780	1120653883187531
1279128	1244324	34804	271	1953540	2224918	1120653886771479
1188246	1159330	28916	2722	7035922	7034668	1120653895346487
1199442	1168890	30552	3041	7681782	7683566	1120653904579589
1186644	1154768	31876	1519	4535710	4628202	1120653910652817
1185914	1157338	28576	1506	4574402	4600470	1120653916764013
853930	824450	29480	4306	10002038	9868316	1120653927971899
643530	610220	33310	3273	7847292	7591780	1120653936813433
337798	307380	30418	1904	5399442	4548550	1120653942901675
1191690	1161564	30126	2294	5855026	6183152	1120653950299499
683800	653382	30418	1597	4617006	4299448	1120653955951555
1195688	1166194	29494	2113	5833130	5832520	1120653963331413
867678	838224	29454	412	2415386	2092908	1120653966965433
1187490	1158074	29416	138	1561316	1864798	1120653970065229
446432	415920	30512	3347	8082402	7550808	1120653978946063
892124	862456	29668	16	1616934	1325564	1120653981805697
1064206	1034514	29692	1746	5094668	4958944	1120653988315727
