# Loop @ Start frequency 1100000Hz took 1937.23 cycles
# Interval [1934 ; 1940]
# Q1 : 1926 ; Q3 : 1930
# Loop @ Target frequency 3200000Hz took 709.53 cycles
# Interval [708 ; 711]
# Q1 : 706 ; Q3 : 708
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1722672	1676116	46556	3567	445684358	446055192	1120824713679833
1688484	1656814	31670	4812	11199594	11715832	1120824726761485
772494	741562	30932	907	3190822	2989344	1120824730915433
1763150	1731940	31210	3036	7108630	8238742	1120824739978057
1070980	1040122	30858	4996	11182422	11466060	1120824752421771
770832	739126	31706	2463	6524750	6098358	1120824759911527
1288362	1248942	39420	4156	9894694	10004290	1120824771285037
922332	891758	30574	3982	9544566	9287822	1120824781942893
1928682	1769850	158832	4075	9736930	10481766	1120824793799197
1461232	1430900	30332	3998	9552608	9858912	1120824805003611
1631698	1601958	29740	3427	8444388	8893448	1120824815269973
1381088	1351372	29716	2191	5412076	6174036	1120824822253329
1462730	1431112	31618	4544	10700486	10954250	1120824834606909
803798	774312	29486	3891	9006204	8989416	1120824844607887
1544866	1482928	61938	4101	9786012	10150336	1120824856128901
1398654	1366072	32582	3295	8178518	8392592	1120824865896637
1439986	1409704	30282	2535	6650884	6912398	1120824874177839
1234002	1156136	77866	27	1387998	1693224	1120824876989869
1580006	1544828	35178	2511	6663484	7030178	1120824885423801
1519406	1487766	31640	4626	10859426	11197010	1120824897993145
970326	939616	30710	4697	10816436	10767018	1120824909969893
836472	806620	29852	4859	11304846	10956298	1120824922301993
1206502	1175312	31190	1572	4727634	4755462	1120824928429943
1409828	1372894	36934	447	2481748	2707494	1120824932515281
1333588	1303174	30414	3556	8703844	8847966	1120824942742881
1593828	1433864	159964	4871	10792018	11737268	1120824955319109
1214288	1120408	93880	3275	8127492	8167518	1120824964851461
1823526	1650554	172972	1540	4689316	5315350	1120824971554625
1222552	1190694	31858	3078	7751964	7781610	1120824980719593
716668	687072	29596	1572	4750882	4285148	1120824986377615
1031728	1000506	31222	1286	3757232	4005878	1120824991360733
713738	683346	30392	4158	9896386	9432644	1120825002160613
616718	587156	29562	156	1906094	1331928	1120825004873573
796426	752672	43754	590	2773144	2387360	1120825008633281
1583450	1550886	32564	1788	5162878	5561908	1120825015570269
1342856	1313130	29726	4822	11236134	11390006	1120825028339531
550950	521812	29138	271	2125986	1496720	1120825031209581
1588478	1516606	71872	2722	6920334	7434980	1120825039909087
526896	495790	31106	3041	7201392	7011756	1120825047827483
903490	873930	29560	1519	4632908	4343792	1120825053554005
1421748	1390538	31210	1506	4596086	4836724	1120825059762183
1429702	1398334	31368	4306	10275808	10444950	1120825071658027
1408706	1377002	31704	3273	8138418	8357484	1120825081394947
1492756	1463242	29514	1904	5398980	5702698	1120825088476957
638976	608610	30366	2294	6199060	5630512	1120825095505131
1414850	1381540	33310	1597	4250218	5020446	1120825101360953
1429176	1396032	33144	2113	5799252	6057464	1120825108779291
882236	851258	30978	412	1936448	2109996	1120825111788281
1469756	1439494	30262	138	2017372	2147544	1120825115465797
1403310	1373782	29528	3347	8271710	8500592	1120825125331285
1189490	1157914	31576	16	1624550	1623010	1120825128335411
1403458	1374000	29458	1746	5220874	5296960	1120825135153373
1282530	1252058	30472	4935	11394572	11553950	1120825148020237
1677960	1646956	31004	3464	8514632	9010312	1120825158403597
1203544	1169714	33830	3745	8951872	9095430	1120825168753145
1465724	1434630	31094	2732	7056260	7339316	1120825177465285
1709642	1678762	30880	1498	4682470	5110078	1120825184047119
1405280	1373964	31316	4146	9482350	10100130	1120825195124703
1049142	1018534	30608	1096	3782690	3644192	1120825200146557
1448048	1415380	32668	1260	3691118	4371950	1120825205475381
1565292	1536612	28680	4117	9727890	10200842	1120825216958567
1647050	1616762	30288	2011	5530052	6075962	1120825224326287
1070104	1039710	30394	172	1564976	1816164	1120825227155269
1569968	1539778	30190	2268	6230098	6508342	1120825235145053
677264	647934	29330	4094	9786066	9266784	1120825245798309
1676918	1646758	30160	745	3074288	3568478	1120825250739879
715852	673118	42734	2672	6936904	6474718	1120825258582839
1760528	1729914	30614	3355	8309902	8872530	1120825268843343
1163276	1133708	29568	1239	4073496	4050206	1120825274270077
1553798	1510884	42914	4099	9781154	10153242	1120825285798537
1437180	1408514	28666	3278	7973598	8395526	1120825295399829
1685374	1626712	58662	2673	6814518	7433370	1120825304089917
1323044	1294080	28964	2143	5834812	6011698	1120825311437605
838972	809472	29500	1737	5060680	4715720	1120825317527453
1713624	1681492	32132	1406	4398854	4927610	1120825323830065
1471738	1441356	30382	797	2862440	3466368	1120825328354169
1883996	1851824	32172	643	2869022	3571566	1120825333300353
1381312	1350730	30582	3558	8299720	8907326	1120825343171601
772678	739402	33276	4047	9679368	9269132	1120825353812931
1434448	1402036	32412	882	3352956	3601156	1120825358790565
1466606	1436850	29756	2473	6537954	6825584	1120825366984705
1592538	1562664	29874	1585	4389590	5164598	1120825373156559
1706210	1675738	30472	2540	6345448	7196578	1120825381398219
661280	630984	30296	4264	9509698	9601770	1120825391759139
1478012	1441124	36888	2738	6634624	7357008	1120825400061867
962778	934018	28760	2733	7055600	6831236	1120825408270511
908710	877034	31676	4271	10133624	9851710	1120825419506425
571944	540268	31676	2902	7384810	6778628	1120825427653523
1273794	1240082	33712	3628	8833948	8932096	1120825437951385
1406728	1375412	31316	3111	7803686	8030362	1120825447352177
347280	316970	30310	266	2115318	1281938	1120825450004783
720064	672400	47664	4833	11251124	10790028	1120825462165477
732960	701684	31276	157	1915804	1449132	1120825465004333
1683100	1649816	33284	226	1887098	2543256	1120825468764443
1541584	1512184	29400	1531	4118904	5006632	1120825474614847
1006956	976770	30186	3004	7382032	7417570	1120825483194183
1562714	1523030	39684	3731	9044924	9426956	1120825493991831
594414	562708	31706	4131	9278994	9258054	1120825504055437
1567768	1533168	34600	3481	8561126	8931656	1120825514374777
1513368	1483738	29630	587	2764486	3089746	1120825518846307
771454	741606	29848	4252	10096526	9684458	1120825529904263
1436388	1407318	29070	3693	9094010	9224700	1120825540625167
1403362	1373304	30058	3638	8709240	9082356	1120825550928037
1414664	1384872	29792	2737	7000192	7297162	1120825559533313
1460378	1429650	30728	1854	5285654	5569704	1120825566468997
412732	379602	33130	262	2111348	1340258	1120825569183247
1517590	1488186	29404	2312	6203242	6543514	1120825577094115
520146	489790	30356	533	2297800	1994778	1120825580102649
1480884	1445418	35466	3593	8873558	9070084	1120825590647303
1630688	1600608	30080	99	5090874	2232658	1120825597558987
1534338	1504898	29440	4288	10157020	10512484	1120825609440573
1576844	1542434	34410	4109	9749868	10196510	1120825620956977
1591882	1561006	30876	2408	6372456	6822966	1120825629111949
1640014	1529560	110454	3027	7634202	8096880	1120825638576081
1912110	1713382	198728	4985	11554026	12283230	1120825652232009
1498314	1467568	30746	678	2803908	3258208	1120825656740209
1125010	1094934	30076	2117	5211556	5759890	1120825663266859
1316432	1279650	36782	2293	5880146	6314960	1120825670654223
1556016	1525514	30502	1789	5161600	5535546	1120825677561711
1706020	1676190	29830	914	3413616	3937016	1120825682871683
1476188	1444454	31734	4153	9316364	10186948	1120825693853753
1446188	1416396	29792	1515	4619844	4878260	1120825700109713
685252	560636	124616	1040	3663852	3168470	1120825704648729
1656302	1624630	31672	4496	10436970	11050978	1120825716931765
1783272	1643358	139914	3415	7855718	9017356	1120825726760651
1624594	1473688	150906	4104	9764792	10242204	1120825738339853
1824400	1723418	100982	3390	8363226	9007756	1120825748721561
1691320	1645538	45782	3186	7831500	8465084	1120825758434453
1217742	1186812	30930	4864	11124504	11348368	1120825770970733
983374	950832	32542	3823	8736096	9032800	1120825780880307
