# Loop @ Start frequency 2100000Hz took 1013.79 cycles
# Interval [1010 ; 1017]
# Q1 : 1008 ; Q3 : 1012
# Loop @ Target frequency 1600000Hz took 1330.96 cycles
# Interval [1329 ; 1333]
# Q1 : 1324 ; Q3 : 1326
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
379652	347434	32218	8567	271653278	270379674	48002671782887
334236	312652	21584	14812	31851394	30183848	48002704251227
198852	171696	27156	5907	14092924	12238346	48002718821697
696812	676510	20302	18036	38517114	36995890	48002758321373
1180406	1158164	22242	14996	32139594	31400366	48002791920677
1260432	1160442	99990	2463	7028246	6413804	48002800488641
1177338	1156510	20828	9156	20568712	19721170	48002822513369
1178394	1157528	20866	8982	20353680	19367538	48002844324243
1194278	1175596	18682	9075	20335482	19570850	48002866133953
1172262	1153992	18270	3998	10286834	9392288	48002877871863
1231586	1157958	73628	8427	19006454	18312062	48002898389053
1208750	1190660	18090	7191	16574112	15814958	48002916452009
1187206	1166672	20534	14544	31456242	30502388	48002949374249
684982	664184	20798	8891	19806020	18690722	48002970143859
709858	690662	19196	14101	30407720	29135374	48003001540487
223858	201666	22192	3295	8764630	7037772	48003010808409
1175320	1155460	19860	17535	37382572	36468864	48003049651569
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1179974	1160396	19578	9626	21667316	20660112	48003115525713
1174678	1155986	18692	9697	21769382	20793470	48003138748227
713556	695368	18188	4859	11841720	10658038	48003151588999
1179034	1158526	20508	6572	15335926	14547558	48003168382349
231976	196734	35242	5447	12886098	11350504	48003181779201
1178654	1158682	19972	3556	9311390	8514234	48003192547783
1185324	1166214	19110	4871	11824356	11158568	48003205836321
848888	824538	24350	8275	18639534	17625538	48003225603729
1176782	1155872	20910	11540	25169828	24483146	48003252229423
577276	558246	19030	18078	38239962	36959902	48003291325617
269312	244904	24408	1572	5595998	3637912	48003297469567
605564	586828	18736	11286	24777348	23400882	48003323131629
1177686	1158300	19386	9158	20487474	19717702	48003345075603
1181888	1162644	19244	156	2597846	1717880	48003349135773
1184114	1162782	21332	5590	12336328	12588482	48003362933879
377632	358744	18888	11788	25698848	24179180	48003389289281
454586	434146	20440	4822	11759410	10324908	48003401782033
1064188	1045742	18446	271	2902156	1830326	48003406027617
1161220	1122578	38642	2722	7646686	6832462	48003415114593
1178240	1158484	19756	8041	18278960	17484614	48003434851423
1083810	1063102	20708	16519	35460430	34345612	48003471680723
1170322	1144816	25506	16506	35328468	34405026	48003508458933
1176152	1155838	20314	19306	40806374	40014886	48003550720443
1178682	1158722	19960	18273	38869618	37949596	48003591052633
265738	243170	22568	16904	36150822	34298240	48003627747441
1174268	1155408	18860	2294	6701488	5988748	48003635901909
1181574	1161966	19608	11597	25346936	24602536	48003662708987
1186666	1164274	22392	7113	16726120	15638652	48003680903949
429678	411210	18468	412	2952552	1481170	48003684564883
995600	977294	18306	138	1680890	1497852	48003687520807
296770	272776	23994	3347	8874194	7216092	48003696969907
232256	206214	26042	15016	32147934	30490582	48003729629099
