# Loop @ Start frequency 1100000Hz took 1944.36 cycles
# Interval [1928 ; 1961]
# Q1 : 1926 ; Q3 : 1930
# Loop @ Target frequency 1000000Hz took 2137.80 cycles
# Interval [2129 ; 2146]
# Q1 : 2120 ; Q3 : 2124
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
271896	225678	46218	3567	447839172	446744422	1120635764993453
1202620	1172028	30592	4812	11220424	11230698	1120635777859753
621696	589420	32276	907	3304968	2837820	1120635782234737
1190358	1159274	31084	3036	7679870	7672682	1120635791541337
1190030	1159328	30702	4996	11420486	11584136	1120635804594981
1237186	1205590	31596	2463	6368790	6567368	1120635812636093
602626	572494	30132	4156	9900614	9315898	1120635823573409
1186450	1156628	29822	3982	9556234	9552866	1120635834757121
1188982	1156632	32350	4075	9631842	9741072	1120635846011601
335776	303644	32132	3998	9603200	8739808	1120635856384257
775514	744164	31350	3427	8209882	8051618	1120635865804013
429146	397004	32142	2191	5577064	5213372	1120635872263519
616458	586358	30100	4544	10695218	10116248	1120635884008813
970938	939890	31048	3891	9384938	9165702	1120635894799157
1204330	1161508	42822	4101	9810490	9807872	1120635906248469
1193326	1163478	29848	3295	7952846	8209546	1120635915829381
1024342	994520	29822	2535	6266134	6497338	1120635923564401
0	0	0	0	0	0	0
721022	691240	29782	2511	6611690	6144386	1120635934506893
280770	248874	31896	4626	10844890	9934590	1120635946066585
1198654	1168234	30420	4697	10993922	11002582	1120635958694449
1188984	1159250	29734	4859	11316328	11309058	1120635971634593
1225406	1162682	62724	1572	4407918	4771468	1120635977725033
775176	744382	30794	447	2494412	2073186	1120635981450737
1199802	1170420	29382	3556	8723434	8714634	1120635991807301
1188562	1156256	32306	4871	11319754	11333364	1120636004771905
1186604	1155808	30796	3275	8158716	8139858	1120636014551969
1188840	1157338	31502	1540	4628400	4671538	1120636020804129
1306752	1275668	31084	3078	7414344	7864050	1120636029959921
1190762	1161194	29568	1572	4754982	4744398	1120636036339949
1189148	1158802	30346	1286	4072772	4169158	1120636042036273
1154774	1124892	29882	4158	9595410	9872654	1120636053219809
910578	881160	29418	156	1904166	1624530	1120636056469561
1190070	1160326	29744	590	2774802	2773140	1120636060869025
0	0	0	0	0	0	0
1190308	1160318	29990	4822	11136152	11236536	1120636080093069
258268	180250	78018	271	2151980	1207740	1120636082937069
963780	931350	32430	2722	7031800	6809394	1120636091366541
1233766	1163744	70022	3041	7315914	7718410	1120636100350393
1218082	1163752	54330	1519	4542734	4667604	1120636106544681
0	0	0	0	0	0	0
1187130	1157198	29932	4306	9980354	10214530	1120636124077633
337486	307156	30330	3273	7836088	7284352	1120636132685903
672868	639344	33524	1904	5410976	4883278	1120636139203229
1198942	1168472	30470	2294	6178914	6187470	1120636147015205
1189648	1159102	30546	1597	4713028	4786720	1120636153351853
815312	785498	29814	2113	5550056	5443646	1120636160151477
700016	669852	30164	412	2025816	1926198	1120636163310181
1015058	984356	30702	138	1485906	1694388	1120636166245193
1071050	979836	91214	3347	7927946	8173970	1120636175677081
1188460	1159452	29008	16	1239880	1622158	1120636178550533
1308752	1278960	29792	1746	4921284	5205862	1120636185213317
300570	269912	30658	4935	11354622	10572952	1120636197302521
1204996	1175232	29764	3464	8108952	8535316	1120636207050881
1123518	1092410	31108	3745	9087794	9016228	1120636217695313
1207404	1175530	31874	2732	7059792	7073308	1120636226405121
1134556	1103822	30734	1498	4590888	4533400	1120636232564201
1189608	1159462	30146	4146	9523380	9893282	1120636243711137
0	0	0	0	0	0	0
1241832	1211282	30550	1260	4120536	4163868	1120636254691353
1157756	1124188	33568	4117	9827028	9792410	1120636266109121
194674	164924	29750	2011	5626614	4627942	1120636272364053
716008	684896	31112	172	1956328	1462266	1120636275469377
675646	643656	31990	2268	6140094	5614830	1120636282728941
1198406	1167552	30854	4094	9800418	9788710	1120636294161625
352762	322278	30484	745	2787974	2245848	1120636297735941
1298142	1160768	137374	2672	6523098	7044654	1120636305999209
1205238	1155486	49752	3355	7945010	8316918	1120636315582273
1190770	1159424	31346	1239	3988310	4071346	1120636321213765
475516	444570	30946	4099	9798004	9074108	1120636331920401
661650	631930	29720	3278	7885842	7620062	1120636340902481
1198144	1159756	38388	2673	6947132	6946902	1120636349480917
334138	301580	32558	2143	5767564	5022930	1120636356040793
355136	324712	30424	1737	5079372	4240984	1120636361907821
1186492	1156858	29634	1406	4498292	4407492	1120636368027053
1111800	1081462	30338	797	2916208	3108360	1120636372488361
1194258	1161774	32484	643	2874458	2881866	1120636376990809
1200926	1164906	36020	3558	8338062	8719734	1120636386963401
1405252	1271230	134022	4047	9686570	9900128	1120636398489635
1188986	1158960	30026	882	3297766	3353960	1120636403409333
733782	702702	31080	2473	6540830	6082068	1120636411118001
616876	587098	29778	1585	4760916	4190414	1120636416929157
1199708	1166498	33210	2540	6669252	6681254	1120636425231841
1192252	1155562	36690	4264	10128128	10122260	1120636436986381
1187184	1158470	28714	2738	7090000	7064074	1120636445697225
542206	512644	29562	2733	7053450	6409628	1120636453734201
852970	823338	29632	4271	9891998	9798206	1120636464922801
745580	714982	30598	2902	7398320	6952896	1120636473501345
1193588	1162410	31178	3628	8851556	8851148	1120636483989353
1324694	1163126	161568	3111	7671686	7948450	1120636493418361
1185798	1155618	30180	266	2053530	2120392	1120636497092161
1190332	1159470	30862	4833	10811164	11257474	1120636509527857
1190340	1160824	29516	157	1745500	1906250	1120636512917785
1196568	1166562	30006	226	1616668	2050186	1120636516163981
1306548	1276086	30462	1531	4240280	4771002	1120636522143989
1188330	1158622	29708	3004	7351338	7605530	1120636531115717
1197202	1167186	30016	3731	8958710	9060976	1120636541704497
998958	968462	30496	4131	9859624	9662684	1120636553008137
900310	867804	32506	3481	8563478	8263662	1120636562905373
1189682	1159094	30588	587	2769006	2766348	1120636567296793
1214094	1181738	32356	4252	10173970	10120886	1120636579119077
1188034	1158990	29044	3693	8985450	8977092	1120636589726981
1289502	1256954	32548	3638	8602274	8969804	1120636600062337
795754	766188	29566	2737	7083934	6684508	1120636608376509
1195042	1166252	28790	1854	5116714	5312202	1120636615121785
787390	757936	29454	262	2065038	1714188	1120636618410097
1211952	1160818	51134	2312	6228076	6238534	1120636626284561
1183396	1151516	31880	533	2575168	2662760	1120636630475969
1196768	1166822	29946	3593	9767958	8785314	1120636641875333
1193194	1162952	30242	99	1675374	1793562	1120636645187629
1185978	1156046	29932	4288	9835922	10163902	1120636656644361
1192652	1162702	29950	4109	9434608	9821238	1120636667706973
211880	169786	42094	2408	5926468	5429524	1120636674288125
535232	505200	30032	3027	7652940	6990730	1120636682911441
1191450	1159840	31610	4985	11565218	11562560	1120636696101521
561934	532150	29784	678	2785390	2329928	1120636699881965
402290	258494	143796	2117	5852698	5061152	1120636706582273
1045062	1014554	30508	2293	6178634	6034380	1120636714239057
482240	451306	30934	1789	5183692	4469312	1120636720338085
0	0	0	0	0	0	0
1186202	1156510	29692	4153	9834322	9894500	1120636737001989
1194180	1163590	30590	1515	4461880	4626430	1120636743091901
412294	381800	30494	1040	3555454	2894756	1120636747493961
1189132	1158444	30688	4496	10625180	10583782	1120636759750733
0	0	0	0	0	0	0
1316868	1282690	34178	4104	9672368	9927694	1120636781216321
1190168	1157082	33086	3390	13665528	8372012	1120636796505501
1106890	1077220	29670	3186	7635442	7905208	1120636805682189
1193822	1162694	31128	4864	11320454	11322986	1120636818650961
396648	367050	29598	3823	8993430	8445022	1120636828475663
1216912	1162646	54266	4098	9487204	9825464	1120636839613957
1182702	1147374	35328	155	1800654	1894570	1120636843051645
1195402	1159482	35920	3875	9070626	9347424	1120636853752269
1186836	1157034	29802	4861	11099156	11309702	1120636866493573
1270154	1159310	110844	2928	7119234	7535622	1120636875316925
1235650	1164770	70880	110	1590458	1857710	1120636878578321
1106982	1077414	29568	1900	5127958	5310028	1120636885247681
1204272	1162548	41724	4545	10686836	10695886	1120636897572881
1166750	1132594	34156	3369	8110566	8307086	1120636907293181
1186260	1156628	29632	2297	5991220	6181638	1120636914904673
1191686	1161258	30428	4406	10472038	10404126	1120636927001993
1194656	1162982	31674	787	3168280	3171954	1120636931798977
295672	176160	119512	3521	8642796	7741948	1120636941179921
