# Loop @ Start frequency 1400000Hz took 1520.13 cycles
# Interval [1518 ; 1522]
# Q1 : 1514 ; Q3 : 1516
# Loop @ Target frequency 1700000Hz took 1257.20 cycles
# Interval [1245 ; 1269]
# Q1 : 1246 ; Q3 : 1248
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1333380	1291330	42050	3567	370335160	370510612	1121554148229329
957178	932066	25112	4812	11197776	10910266	1121554160671023
1181404	1156014	25390	907	3326124	3326920	1121554165467123
1187598	1162232	25366	3036	7385244	7594478	1121554174325291
1036462	1010818	25644	4996	11518218	11358550	1121554187164081
1186484	1160504	25980	2463	6183528	6441538	1121554194818041
814938	787150	27788	4156	9832792	9455594	1121554205754407
1183422	1156982	26440	3982	9475912	9477184	1121554216696775
530658	502438	28220	4075	9569108	9011568	1121554227085969
872586	845334	27252	3998	9588964	9203448	1121554237831787
767028	740040	26988	3427	8373506	7951150	1121554247256149
1193076	1162152	30924	2191	5903056	5910654	1121554254636175
1195876	1169074	26802	4544	10608272	10614124	1121554266746869
633418	606284	27134	3891	9313034	8745914	1121554276988327
1183556	1157250	26306	4101	9717230	9716236	1121554288172401
495002	468558	26444	3295	7972032	7415146	1121554296923775
1158742	1122564	36178	2535	6355526	6558418	1121554304721515
895820	869452	26368	27	1569406	1279712	1121554307476541
727612	689024	38588	2511	6535810	6079850	1121554315024263
1324296	1296864	27432	4626	10572470	10905164	1121554327204801
1219590	1161244	58346	4697	10917784	10949148	1121554339626029
1181994	1156610	25384	4859	11233998	11229396	1121554352326363
1184406	1157268	27138	1572	4526268	4658094	1121554358320691
1184628	1159616	25012	447	2465638	2408824	1121554362254921
1182882	1157152	25730	3556	8414652	8624830	1121554372137043
975728	950126	25602	4871	11210916	11046926	1121554384607837
1187806	1162492	25314	3275	8060944	8066852	1121554394145877
1202284	1175024	27260	1540	4590058	4612316	1121554400222237
856410	830192	26218	3078	7683986	7342288	1121554409046331
627098	598498	28600	1572	4661390	4100798	1121554414618923
1181236	1155622	25614	1286	3820664	4082968	1121554419913041
402336	375750	26586	4158	9845344	9048502	1121554430444087
1189078	1163072	26006	156	1523196	1829736	1121554433440849
