# Loop @ Start frequency 1700000Hz took 1253.35 cycles
# Interval [1251 ; 1256]
# Q1 : 1246 ; Q3 : 1248
# Loop @ Target frequency 900000Hz took 2381.99 cycles
# Interval [2363 ; 2401]
# Q1 : 2352 ; Q3 : 2360
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1256138	1218772	37366	8567	328865796	328467590	36143189718561
1186384	1160758	25626	14812	30687616	31089564	36143222070573
1185914	1161238	24676	5907	12795162	13279342	36143236523983
884392	858870	25522	18036	37257314	37235872	36143275150173
743190	717678	25512	14996	31462904	31015654	36143307828735
1223246	1200586	22660	2463	6523942	6429312	36143316048681
794620	770224	24396	9156	19527026	19386044	36143336841921
619570	571376	48194	8982	19436300	18867830	36143357366725
1178870	1156444	22426	9075	19201370	19613600	36143378217797
1184838	1161892	22946	3998	8971058	9460352	36143388865721
331474	309452	22022	8427	18335034	17485374	36143408004183
1319710	1295816	23894	7191	16055596	15981966	36143425850303
860680	836800	23880	14544	30444192	30228278	36143457627015
1274862	1247732	27130	8891	19254218	19336452	36143478627023
1184996	1160420	24576	14101	29674790	29666636	36143509968933
0	0	0	0	0	0	0
1194140	1159838	34302	17535	36544580	36545094	36143557311663
862212	839416	22796	5027	11284050	11196472	36143569929627
704706	678920	25786	12511	26202170	26007020	36143597307961
910552	886628	23924	9626	20717376	20442722	36143619407653
1185620	1163492	22128	9697	20863610	20860138	36143641928493
918978	895528	23450	4859	10882582	10918372	36143654201747
1182124	1157714	24410	6572	14614376	14605596	36143670480797
1166752	1125398	41354	5447	12355462	12341344	36143684489281
417224	391730	25494	3556	8582846	7809838	36143693969693
1186574	1160966	25608	4871	11232134	11209520	36143706860935
1209472	1185096	24376	8275	17662688	18038976	36143726205681
1169428	1102000	67428	11540	24550022	24528036	36143752407397
1245566	1163554	82012	18078	37630988	37682074	36143791777275
1177888	1155738	22150	1572	4297540	4601094	36143797723535
302618	278830	23788	11286	23974238	23155210	36143822472079
480110	457992	22118	9158	19786116	19076026	36143843231401
817856	792732	25124	156	1788712	1411536	36143846309093
512234	483430	28804	5590	12233130	11974004	36143859537401
1303502	1279910	23592	11788	25059236	25173274	36143886370423
1192278	1168314	23964	4822	11230862	11116434	36143899289075
428782	404654	24128	271	1766654	1250500	36143901953583
754656	730692	23964	2722	6916072	6477678	36143910093383
537090	512714	24376	8041	17551002	16898930	36143928653715
1186336	1159838	26498	16519	34515930	34503762	36143964840667
1189062	1161194	27868	16506	34080046	34481526	36144000581143
1132366	1109382	22984	19306	39832750	40023974	36144042028063
0	0	0	0	0	0	0
1130902	1104542	26360	16904	34855124	35219814	36144118153983
550462	521662	28800	2294	6027360	5420120	36144125203503
975232	951438	23794	11597	24669676	24449560	36144151320081
477186	453558	23628	7113	15927682	14982960	36144168195921
247322	222644	24678	412	2303958	1351486	36144171235973
880114	855664	24450	138	1745864	1436408	36144174334801
1201284	1166446	34838	3347	8198448	8176186	36144184225867
1196516	1156498	40018	15016	31110070	31509372	36144217016813
953378	931176	22202	6746	14648994	14726278	36144233089613
390180	365122	25058	9935	21355414	20541954	36144255306195
395838	369892	25946	8464	18401886	17604504	36144274575707
574888	551008	23880	18745	39075330	38349478	36144314972423
1181826	1158158	23668	2732	6940302	6933070	36144323565303
1190302	1166710	23592	1498	4113236	4465398	36144329339783
277550	253604	23946	4146	9536530	8849994	36144339624917
306700	217212	89488	6096	13664202	12779216	36144354067925
314756	273244	41512	6260	13994906	13114902	36144368849885
425268	401170	24098	9117	19707972	18944992	36144389454213
1206262	1169966	36296	17011	35493178	35508638	36144426624943
1185958	1163030	22928	15172	31816870	31811216	36144460108343
191228	167674	23554	7268	16006042	15008006	36144476775515
701674	677948	23726	14094	29660694	29174732	36144507609663
1179660	1156394	23266	5745	12602140	12948520	36144521863601
1185402	1160188	25214	17672	36371136	36811266	36144559889023
1275148	1159652	115496	18355	37909362	38265478	36144599544475
986928	959830	27098	16239	33671182	33744662	36144634673925
1183284	1156224	27060	19099	39680898	39661456	36144676009987
444180	420766	23414	8278	17732434	17280280	36144694656775
1186978	1162840	24138	12673	26716394	26813602	36144723037315
1161612	1132216	29396	17143	35528908	35736194	36144760199645
1180278	1156486	23792	11737	24945090	24935120	36144786810103
1180402	1156190	24212	1406	3874736	4272916	36144792336183
503394	473464	29930	15797	32903726	32378222	36144826224921
1301900	1184550	117350	10643	22761246	22868966	36144850783253
1069446	1044962	24484	8558	18590082	18469650	36144870912595
574622	550188	24434	4047	9577588	8953598	36144881535685
993008	968076	24932	10882	22915294	23037416	36144905915885
0	0	0	0	0	0	0
1318062	1164722	153340	1585	4341988	4768380	36144940120703
894674	869820	24854	12540	26490498	26254986	36144967975155
1185132	1158374	26758	14264	29995330	29992862	36144999625263
0	0	0	0	0	0	0
1197586	1157148	40438	12733	26690876	26943306	36145046173423
0	0	0	0	0	0	0
437314	411356	25958	12902	27369214	26520394	36145105270645
996032	972178	23854	3628	8732160	8532180	36145115469267
509320	485132	24188	8111	17693556	17010174	36145134142423
521354	497330	24024	10266	22001074	21334292	36145157136267
1189446	1166386	23060	14833	31135612	31135870	36145189932041
0	0	0	0	0	0	0
1215794	1163504	52290	5226	11928064	11952906	36145236566055
1184282	1160268	24014	16531	34533846	34526332	36145272764253
1182792	1157772	25020	13004	27217910	27471180	36145301636547
1184630	1160406	24224	3731	8594196	8926872	36145311886293
246096	210660	35436	4131	9523104	8789128	36145322127681
1184646	1161084	23562	3481	8431064	8426850	36145332214173
1186866	1163220	23646	10587	22656962	22640468	36145356540183
1190882	1166162	24720	4252	9458860	9975830	36145367684067
835750	810576	25174	3693	8750220	8501500	36145377740885
1192622	1169722	22900	8638	18746250	18749364	36145398149597
1267408	1243734	23674	2737	6685792	7020656	36145406572343
1197054	1157192	39862	16854	35003660	35184660	36145443257675
1182972	1159272	23700	5262	12008536	11988364	36145456919521
1179122	1155666	23456	7312	16149068	16086588	36145474719555
1185030	1162034	22996	5533	12587756	12535756	36145488963303
680026	655928	24098	13593	28677156	28156082	36145518792103
0	0	0	0	0	0	0
1189344	1159650	29694	14288	30047688	30046484	36145553831147
1223616	1169896	53720	14109	29405406	29722288	36145584931143
1250012	1164078	85934	12408	26106028	26355998	36145612757281
291360	266240	25120	8027	17540958	16638158	36145631060515
1141414	1110998	30416	9985	21440218	21391918	36145654114375
1241646	1218132	23514	15678	32834982	32877398	36145688662303
435270	412780	22490	7117	15454126	14948670	36145705021841
1194330	1166592	27738	12293	25641096	26059874	36145732326641
1251512	1226426	25086	16789	34721078	35108764	36145768783547
522604	497314	25290	10914	23174476	22632216	36145792950481
212326	174546	37780	19153	39780626	38802898	36145833413855
1198464	1156466	41998	1515	4497216	4507542	36145839579943
564554	506492	58062	11040	23499326	22923468	36145864113863
226160	166666	59494	19496	40035068	39497840	36145904847135
1195986	1172526	23460	3415	8344642	8351474	36145914858881
1181626	1156168	25458	9104	19643436	19675596	36145936154357
0	0	0	0	0	0	0
326226	301378	24848	13186	27913652	26977780	36145993696475
1183724	1160946	22778	14864	31206428	31192310	36146026557735
1191412	1167406	24006	13823	28907726	29116632	36146057149161
991640	968600	23040	9098	19201600	19467502	36146077813215
1210400	1163382	47018	15155	31353032	31798862	36146110847775
823228	799094	24134	13875	28824874	28853066	36146140968303
1192924	1158984	33940	9861	21203784	21200972	36146163835841
1187452	1165070	22382	7928	16964658	17324226	36146182458227
1007678	978072	29606	110	1693056	1508352	36146185640415
1180822	1156880	23942	11900	25275418	25261470	36146212567343
853662	829380	24282	9545	20361450	20222386	36146234278055
640772	610092	30680	3369	7807028	7658646	36146243209067
953486	930582	22904	7297	16062874	15827242	36146260697663
726532	699884	26648	19406	39869778	39817794	36146301764405
778798	726286	52512	5787	13038952	12632282	36146316052515
1185118	1160212	24906	8521	18509304	18508274	36146336252663
0	0	0	0	0	0	0
1182736	1159630	23106	16318	33901704	34103422	36146378669973
1189018	1164682	24336	14294	29720858	30056656	36146410051987
1182676	1158838	23838	5824	13202502	13111326	36146424907573
0	0	0	0	0	0	0
1192574	1159088	33486	17680	36369786	36833326	36146498292863
806072	782314	23758	11094	23396274	23275474	36146522978161
1317646	1293156	24490	18047	37580784	37692504	36146562349413
1190282	1157260	33022	10162	21806780	21795588	36146585831893
1315788	1164300	151488	1420	4094852	4437816	36146591713317
1180682	1156354	24328	16616	34569714	34694028	36146627935903
1180874	1156046	24828	4621	10402320	10705518	36146639992075
