# Loop @ Start frequency 1200000Hz took 1782.10 cycles
# Interval [1767 ; 1797]
# Q1 : 1766 ; Q3 : 1770
# Loop @ Target frequency 2100000Hz took 1014.75 cycles
# Interval [1010 ; 1019]
# Q1 : 1008 ; Q3 : 1012
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
954100	905138	48962	3567	418915008	418516840	1121015667072089
1440524	1410590	29934	4812	10232308	11438988	1121015678994435
2117062	2089472	27590	907	3496026	4306196	1121015684856881
1631622	1601606	30016	3036	7631918	8076862	1121015694375361
920496	888628	31868	4996	11545448	11285846	1121015707086167
2004160	1973040	31120	2463	6480484	7306320	1121015715815775
1811158	1782614	28544	4156	9868440	10498244	1121015727740667
1525350	1485010	40340	3982	8994466	9870932	1121015738504841
920988	887788	33200	4075	9574004	9446572	1121015749244383
1849804	1821784	28020	3998	9560944	10228954	1121015760901045
903578	875176	28402	3427	7896992	8132258	1121015769950807
1706832	1679502	27330	2191	5932284	6462534	1121015777833983
1725334	1629398	95936	4544	10459906	11188474	1121015790264379
1560400	1529240	31160	3891	9344406	9716540	1121015801413395
1911888	1777410	134478	4101	9775308	10499134	1121015813344759
1556962	1525706	31256	3295	7660904	8523936	1121015822807777
1394982	1365878	29104	2535	6199954	6838822	1121015830651727
946858	918662	28196	27	1665376	1375282	1121015833509553
1402504	1289976	112528	2511	6656506	6798814	1121015841813145
1420996	1390628	30368	4626	10320422	11058452	1121015853799517
1563522	1532978	30544	4697	10957970	11331942	1121015866565943
1642400	1615050	27350	4859	11272634	11735450	1121015879726731
922816	894486	28330	1572	4182210	4446006	1121015885077097
199942	167602	32340	447	2448362	1469746	1121015887970207
1589500	1560100	29400	3556	8666802	9077304	1121015898471675
1559102	1529476	29626	4871	10870614	11675130	1121015911147167
1325300	1286020	39280	3275	7571440	8252000	1121015920289339
1648850	1619082	29768	1540	4239906	5103170	1121015926422821
1443892	1400326	43566	3078	7480044	7975652	1121015935591801
1622034	1590502	31532	1572	4709416	5142216	1121015942167915
1672450	1644270	28180	1286	3879034	4619956	1121015947964245
1364084	1334532	29552	4158	9870968	10055718	1121015959443813
1184994	1156882	28112	156	1028626	1872642	1121015961902693
1245428	1216956	28472	590	2549842	2800046	1121015965945167
1124990	1097526	27464	1788	5131840	5075370	1121015972444581
1636334	1607968	28366	4822	10498702	11655718	1121015984827893
1184636	1156710	27926	271	1365948	2102734	1121015987648175
1908318	1879832	28486	2722	7008176	7725348	1121015996809857
1683824	1654782	29042	3041	7000586	8139908	1121016005743203
1579698	1546268	33430	1519	3941202	4992074	1121016011509003
1306138	1275958	30180	1506	4313716	4698368	1121016017373389
1604818	1575978	28840	4306	10176880	10595998	1121016029400047
1035762	1007690	28072	3273	8220236	7963630	1121016038900911
1286000	1256264	29736	1904	4661106	5469764	1121016045097045
2086334	2047226	39108	2294	5807296	7048840	1121016053235391
1159664	1130844	28820	1597	4772440	4733774	1121016059412613
2155966	2011648	144318	2113	5794250	6766682	1121016067606907
1185976	1157806	28170	412	1773636	2384376	1121016070810861
1221934	1156154	65780	138	1711802	1872734	1121016074004795
2007672	1978456	29216	3347	8253104	9076722	1121016084508451
1187252	1158792	28460	16	868922	1595256	1121016086810011
2157852	2128736	29116	1746	4873774	6026092	1121016094090607
2116858	2086518	30340	4935	11583292	12361484	1121016108035449
1630910	1599372	31538	3464	7859048	8943710	1121016117769441
2278296	2247990	30306	3745	8665826	10149410	1121016128958735
1219966	1191930	28036	2732	7016460	7057402	1121016137444307
1356552	1325572	30980	1498	4601516	4777510	1121016143646841
1350870	1321918	28952	4146	9844548	10016874	1121016155087149
2228920	2098582	130338	1096	2882694	4795100	1121016160443121
1562410	1532772	29638	1260	3173352	4463250	1121016165422551
2025672	1995946	29726	4117	9704964	10640030	1121016177397771
2205056	2177672	27384	2011	5392672	6609052	1121016185241091
813638	784832	28806	172	1936212	1537038	1121016188235603
1636108	1607830	28278	2268	6089482	6546844	1121016196206049
1804734	1776616	28118	4094	9072994	10374806	1121016207328545
1084822	1056698	28124	745	2896524	2948628	1121016211554677
1698500	1668466	30034	2672	5998166	7416746	1121016219496271
1592436	1559904	32532	3355	8154876	8682808	1121016229488093
1959230	1929056	30174	1239	3612282	4812100	1121016235304905
1320248	1290588	29660	4099	9179858	9893944	1121016246049813
1502154	1473960	28194	3278	8110836	8432760	1121016255907575
1938066	1909282	28784	2673	6511450	7682358	1121016264601507
2205454	2021290	184164	2143	5099430	6866064	1121016272150795
1982642	1954714	27928	1737	5079752	5830902	1121016279457951
2080356	2045990	34366	1406	3532716	5265846	1121016285315595
1982160	1952726	29434	797	2558566	3951360	1121016290101351
1909876	1881128	28748	643	2841288	3572170	1121016295097045
1327318	1282242	45076	3558	7936100	8818982	1121016304604433
2061606	2032784	28822	4047	9240188	10528734	1121016316150665
1970944	1942664	28280	882	2733702	4109514	1121016321099915
2004830	1959864	44966	2473	5614162	7326324	1121016328963705
955096	927076	28020	1585	4495922	4500086	1121016334663965
1316306	1286446	29860	2540	6642098	6773158	1121016342867107
1962602	1932206	30396	4264	10106948	10865320	1121016355185331
1405114	1376006	29108	2738	6553168	7255680	1121016363387735
1412732	1383888	28844	2733	7040106	7274942	1121016372085353
1140960	1112810	28150	4271	10096462	10056684	1121016383567419
1498486	1468802	29684	2902	6532622	7677322	1121016391842917
1933254	1902774	30480	3628	8808798	9562994	1121016402829603
1154202	1125200	29002	3111	7149610	7749760	1121016411382461
715796	687952	27844	266	2089416	1626846	1121016414432061
1152992	1122772	30220	4833	11306114	11193288	1121016427135137
574056	494916	79140	157	1876376	1262970	1121016429830205
1920552	1889812	30740	226	2147752	2746578	1121016434142647
7469990	7464264	5726	1531	4603364	10908294	1121016446458505
1415342	1384682	30660	3004	7465498	7799492	1121016455583311
1590688	1562494	28194	3731	8784326	9432492	1121016466202583
1993130	1964250	28880	4131	9831982	10629246	1121016478272911
1392712	1360242	32470	3481	7777930	8734650	1121016487688461
787580	759378	28202	587	2045080	2337280	1121016490765229
2115548	2086742	28806	4252	10061312	10994922	1121016503191163
1546924	1518538	28386	3693	7981604	9305832	1121016512964423
2129060	2100124	28936	3638	8831500	9778350	1121016524174445
975044	933080	41964	2737	6179916	6829504	1121016531574369
690038	660468	29570	1854	5264274	4771614	1121016537773309
703866	674346	29520	262	2082752	1602286	1121016540805111
1237988	1207764	30224	2312	6191224	6236928	1121016548483173
1853114	1824372	28742	533	2369588	3294792	1121016552950303
1399698	1364716	34982	3593	8249266	8959676	1121016562860807
769924	742038	27886	99	1760886	1343044	1121016565641073
1183030	1150722	32308	4288	10127406	10133096	1121016577196041
1889802	1808852	80950	4109	9783950	10488640	1121016589114757
1069372	1035074	34298	2408	6103408	6260902	1121016596532183
1221206	1191792	29414	3027	7611456	7649490	1121016605610001
887854	858986	28868	4985	11570030	11232720	1121016618312575
2232106	2090556	141550	678	2919394	3962832	1121016623708747
2046300	2015930	30370	2117	5569288	6664026	1121016631568875
608008	580464	27544	2293	5350722	5569664	1121016637772529
824454	795968	28486	1789	5131744	4776688	1121016643972949
2204646	2133112	71534	914	3386536	4406492	1121016649809071
1878616	1850704	27912	4153	8945354	10578140	1121016660877755
907750	878260	29490	1515	4589358	4311250	1121016666624059
1750986	1722506	28480	1040	3807746	4205284	1121016672427307
2221014	2191218	29796	4496	9902336	11587448	1121016684795243
1626900	1465470	161430	3415	7616338	8831650	1121016694286981
2077416	2048930	28486	4104	9232134	10659096	1121016705841421
1394272	1366412	27860	3390	8193800	8548102	1121016715674273
1689894	1659432	30462	3186	7992180	8437850	1121016725601781
1347182	1319872	27310	4864	10726814	11450312	1121016737920923
1818244	1789104	29140	3823	9316796	9839516	1121016749301885
1716450	1687744	28706	4098	9624728	10288084	1121016760888059
1181800	1153846	27954	155	1022836	1866532	1121016763341371
1473294	1444314	28980	3875	9319544	9604754	1121016774378835
1684810	1656496	28314	4861	11297502	11781586	1121016787606181
1989560	1960786	28774	2928	6902006	8221120	1121016796742905
1188444	1157554	30890	110	855638	1784074	1121016799051755
1876662	1837912	38750	1900	5101022	6053126	1121016806273987
1812948	1778708	34240	4545	10218180	11278138	1121016818550047
1173246	1143420	29826	3369	7607732	8288390	1121016827576341
1442876	1412700	30176	2297	6149644	6410726	1121016835413905
1804950	1775170	29780	4406	10358066	11015338	1121016847821859
1822730	1793116	29614	787	2410250	3771452	1121016852299591
1425460	1397650	27810	3521	7850256	8848834	1121016861820305
2168586	2139796	28790	2005	5075666	6558072	1121016869309321
1818232	1790098	28134	1318	3331080	4829854	1121016874702983
2264026	2235270	28756	4294	9392520	11227344	1121016886604715
1771274	1722576	48698	824	2967170	3793254	1121016891587895
1350930	1322812	28118	1278	4150990	4280874	1121016897335515
1998002	1969826	28176	2680	6917938	7738720	1121016906496511
1794394	1659212	135182	1094	3746874	4358234	1121016912282833
1549900	1513968	35932	3047	7140358	8019264	1121016921218249
523350	494876	28474	162	1798734	1222806	1121016923785731
2127012	2096954	30058	1420	4615628	5341922	1121016930773343
1403022	1373892	29130	1616	4147054	5010196	1121016936573301
1488906	1455556	33350	4621	10699866	11105842	1121016949007067
1731920	1702636	29284	1886	5448594	5878766	1121016956432071
1860570	1830740	29830	4189	9935026	10613762	1121016968472621
1853334	1821954	31380	4642	10209022	11513740	1121016980779245
1788514	1759530	28984	2200	5404064	6563974	1121016988220389
1875956	1844672	31284	4100	9762742	10449942	1121017000103731
1950880	1920538	30342	3859	8467286	10052138	1121017010766599
550296	522204	28092	1704	4876662	4330896	1121017016445885
1544046	1515206	28840	4153	9860788	10225470	1121017028095591
2102788	2073934	28854	3768	9179314	10013272	1121017039622273
1823760	1691192	132568	2718	7012178	7635576	1121017048703151
1425224	1397136	28088	3756	8906010	9311384	1121017059278595
1470470	1443112	27358	1692	4974366	5234936	1121017065967691
1536180	1506276	29904	4481	10519164	10872366	1121017078267401
2012952	1951346	61606	1863	5281542	6113842	1121017085806051
1835360	1806856	28504	2575	6173216	7366780	1121017094060401
1652978	1625898	27080	1574	4703896	5175218	1121017100661957
1484636	1455762	28874	4855	11092028	11568706	1121017113483497
1183798	1155926	27872	44	1432910	1650672	1121017116344657
1941824	1911014	30810	4716	10972038	11747750	1121017129502565
1425984	1397104	28880	3488	7859380	8776688	1121017139032683
2203926	2176782	27144	2537	6551454	7652496	1121017148032601
1868788	1840048	28740	3773	9039002	9790304	1121017159185283
1210240	1160016	50224	320	1517682	2223104	1121017162158705
1010758	982814	27944	1013	3589044	3411248	1121017167003243
1945422	1911392	34030	613	2781388	3547852	1121017171971841
967086	932090	34996	4795	11079258	10932914	1121017184263459
1658076	1629592	28484	1000	3558442	4033308	1121017189724387
2077700	2048130	29570	2181	5935090	6814180	1121017197981931
1463592	1435080	28512	4979	11493372	11796622	1121017211183701
2030354	2001670	28684	1799	5251636	6007344	1121017218710505
1566296	1517550	48746	1483	4006448	4907600	1121017224528361
1051056	1021216	29840	1306	4035310	4037822	1121017229859111
1956792	1928566	28226	1083	2754158	4497632	1121017234814731
1435800	1408064	27736	2629	6172574	7068076	1121017242671745
1888910	1859724	29186	847	3253790	3958806	1121017248058795
1440984	1409932	31052	3437	7756268	8696048	1121017257500773
2112792	2083996	28796	2324	5848522	7136720	1121017265706511
1935188	1907238	27950	2335	5703200	6985468	1121017273588877
1775300	1747176	28124	4813	11179872	11774396	1121017286788831
2177072	2077096	99976	4546	9966298	11644012	1121017299180513
1811792	1780970	30822	3083	6946418	8351816	1121017308183271
1505148	1475604	29544	4348	9805534	10575094	1121017319738449
1576690	1427280	149410	1639	4835950	5228264	1121017326395911
1544350	1516370	27980	4708	10972880	11334292	1121017339157521
1729636	1697744	31892	3991	9536708	10085630	1121017350668765
1779044	1750804	28240	895	2503114	3942694	1121017355196045
1185104	1157830	27274	130	1828088	1825200	1121017358454075
1233078	1202410	30668	3547	10919856	8700020	1121017370861959
1808586	1776936	31650	2350	6257692	6882720	1121017379183471
1004832	970706	34126	3611	8282810	8599262	1121017388715601
1328870	1299490	29380	3071	7808710	7845312	1121017398097571
1011902	984076	27826	3121	7797978	7628380	1121017407152551
1938726	1910046	28680	3537	8630954	9387240	1121017417967255
1107786	1079086	28700	1541	4428610	4565444	1121017423748295
1638548	1578852	59696	4851	11365032	11713892	1121017436997013
1916144	1886086	30058	3520	8434890	9330410	1121017447592475
1874048	1845952	28096	3752	9062076	9752884	1121017458772333
1893106	1861816	31290	1926	4629478	6119466	1121017465545315
1686356	1657724	28632	4751	10160026	11563246	1121017477636455
1093660	1063904	29756	2108	5282198	5683778	1121017484257699
2151466	2122362	29104	3409	8371712	9343342	1121017495025431
1430224	1402622	27602	1582	4473624	4967958	1121017501174183
1362644	1334038	28606	1307	4176784	4359068	1121017506958533
1656902	1629746	27156	3269	7219242	8569182	1121017516084671
1730400	1701202	29198	1444	3826592	5000026	1121017521886201
247964	220140	27824	367	1543102	1356184	1121017523921685
1907612	1771036	136576	4526	10603846	11334806	1121017536677281
2095870	2067908	27962	1010	3075698	4488778	1121017542093509
1584332	1555172	29160	3218	7584650	8393702	1121017551507841
2076034	2029574	46460	4507	10034810	11464050	1121017563863475
1699284	1671368	27916	3592	7902900	9256914	1121017573710633
2025936	1995176	30760	4429	10086144	11268996	1121017586067181
2089024	2058050	30974	2363	5515422	7195296	1121017593916215
2071086	2040808	30278	3697	8388104	9847198	1121017604620187
2407226	2338218	69008	765	3083908	4311992	1121017610356367
1798230	1745010	53220	3037	6729986	8273220	1121017619128999
1348320	1317864	30456	1186	3408666	4097108	1121017624131329
1403458	1374498	28960	2722	7002344	7222682	1121017632784393
2070380	2042902	27478	2586	6725608	7616402	1121017641833221
862252	833460	28792	2562	9590650	6361310	1121017652531041
1699892	1671050	28842	3618	8792818	9310866	1121017663268561
1856876	1827306	29570	410	2385244	3059190	1121017667755615
1576122	1548702	27420	4858	10634548	11666282	1121017680210741
944456	916562	27894	1582	4722644	4482680	1121017686122941
1169662	1141196	28466	3846	9252346	9235856	1121017696790111
2002922	1974242	28680	3808	9243444	9995376	1121017708285331
1831844	1803390	28454	616	2158170	3437610	1121017712520165
1581298	1550292	31006	730	2393498	3415056	1121017716739637
794770	764270	30500	4975	11624962	11121114	1121017729408949
928064	899868	28196	3171	7905798	7651118	1121017738488213
1204718	1173244	31474	3263	8083462	8105874	1121017748020769
1913968	1884392	29576	3658	8870298	9605178	1121017759049927
1803816	1774906	28910	2970	6625166	8118136	1121017767723721
1932670	1904070	28600	1899	5272614	6105920	1121017775174461
1836286	1805390	30896	4467	9862164	11146460	1121017787117941
2125386	2095946	29440	4256	9961060	11011134	1121017799449021
1448680	1420712	27968	1769	4493684	5361960	1121017805636321
2108458	2079762	28696	4276	9608026	11035922	1121017817597983
1187360	1160120	27240	301	1232752	2165626	1121017820262805
1850918	1822284	28634	3424	8362000	9074518	1121017830720359
1239716	1210112	29604	2861	7282232	7337280	1121017839487031
1924522	1895646	28876	4112	9787438	10533118	1121017851443747
1931120	1903788	27332	4151	9869728	10613082	1121017863490291
1803672	1774518	29154	2256	5486638	6690842	1121017871024747
1369980	1339520	30460	4034	9526714	9813256	1121017882168951
1278784	1249844	28940	4903	11364948	11458534	1121017895057745
1444426	1413782	30644	1688	4927998	5195638	1121017901675297
1804800	1775174	29626	2109	5330754	6420840	1121017909055629
1499046	1471010	28036	1608	3962692	5089576	1121017914761791
1998262	1970494	27768	962	3482014	4298654	1121017920490983
2187316	2038610	148706	3338	8239906	9239238	1121017931163467
1997084	1957132	39952	735	3028560	3841180	1121017936433729
1182914	1153474	29440	1482	4298826	4528116	1121017942160445
1535596	1505950	29646	3071	7707690	8053772	1121017951648111
1635440	1606188	29252	4014	9559334	10038474	1121017963087859
1919504	1882830	36674	1443	3628078	5180970	1121017968879835
1645116	1616236	28880	1781	4191204	5580614	1121017974965431
1439816	1412642	27174	2561	6148548	6937032	1121017982802087
1504870	1477080	27790	2849	7362330	7576860	1121017991919045
1588704	1437040	151664	1244	4058394	4452300	1121017997810775
1785296	1757566	27730	2967	7422604	8094722	1121018007263367
1519276	1490664	28612	1604	4010340	5102166	1121018013037305
1185170	1156806	28364	39	1408900	1636606	1121018015875181
1846862	1819782	27080	1695	4955794	5611630	1121018022922801
1825990	1797980	28010	4374	10310736	10955828	1121018035311129
2122398	2092096	30302	3531	8619734	9565460	1121018046298111
1881648	1853608	28040	2513	6582420	7282528	1121018055007329
1969670	1940974	28696	2483	5966142	7311206	1121018063187375
1163360	1134496	28864	4695	10967478	10945750	1121018075562905
1818276	1790328	27948	2080	5714128	6352322	1121018083339727
1289476	1251970	37506	4985	10808606	11633732	1121018095682831
1458160	1428990	29170	4703	10987862	11238668	1121018108373419
1812762	1784934	27828	3532	8621506	9251258	1121018119051993
878982	848872	30110	2604	10438590	6463672	1121018130614161
1239264	1094384	144880	4218	9988208	10050754	1121018142086325
