# Loop @ Start frequency 1700000Hz took 1250.69 cycles
# Interval [1249 ; 1252]
# Q1 : 1246 ; Q3 : 1248
# Loop @ Target frequency 3700000Hz took 708.74 cycles
# Interval [707 ; 710]
# Q1 : 706 ; Q3 : 708
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1779622	1738014	41608	8567	329434108	330159024	38639466298919
1297956	1274010	23946	14812	31087748	31203036	38639498876951
1662994	1639402	23592	5907	13272018	13759328	38639514003897
1540550	1385122	155428	18036	37108196	37894878	38639552841191
1549052	1524192	24860	14996	31549106	31820616	38639586131361
1724832	1667960	56872	2463	6385264	6930338	38639594429113
796568	770536	26032	9156	19572520	19388020	38639614986689
1627576	1603202	24374	8982	18710584	19871468	38639635513497
1539006	1491172	47834	9075	19086580	19969080	38639656326807
1471158	1446910	24248	3998	9424942	9746442	38639667410879
718546	666306	52240	8427	18339020	17856546	38639686656121
1397392	1373398	23994	7191	15365932	16058738	38639703606833
1132136	1108338	23798	14544	30544510	30500874	38639735471307
872080	848660	23420	8891	19240842	18938126	38639755773101
1381558	1358636	22922	14101	29657176	29863846	38639787000341
716144	691172	24972	3295	8050606	7585726	38639795954813
1513296	1453638	59658	17535	36533444	36863136	38639834189639
959146	934698	24448	5027	11509186	11294414	38639846845421
1676832	1651122	25710	12511	26477768	26978768	38639875190923
1513828	1488580	25248	9626	20116684	21047010	38639897009741
1525064	1500546	24518	9697	20859664	21199890	38639919582793
1763954	1740762	23192	4859	10828876	11762238	38639932363557
1494860	1470196	24664	6572	13854220	14918988	38639947900341
1411956	1388806	23150	5447	12382784	12585480	38639961883349
1529944	1506268	23676	3556	8567418	8922038	38639972169195
0	0	0	0	0	0	0
1636972	1611872	25100	8275	18008118	18469158	38640003920001
0	0	0	0	0	0	0
1423906	1400376	23530	18078	37505674	37859608	38640069548437
1397546	1374386	23160	1572	4651954	4821086	38640075785995
1567380	1540948	26432	11286	23991586	24418962	38640101533617
1390228	1365784	24444	9158	19789114	19994620	38640122900351
1291406	1267858	23548	156	1595640	1884364	38640125979487
1474798	1449834	24964	5590	12637204	12935742	38640140278783
1725188	1701560	23628	11788	25026776	25582828	38640167218945
0	0	0	0	0	0	0
1131306	1098272	33034	271	1891446	1953712	38640182354901
807836	746576	61260	2722	6899322	6530930	38640190273377
1527080	1502694	24386	8041	17538394	17888614	38640209526509
1605584	1580952	24632	16519	34105744	34924106	38640245426609
1400728	1377062	23666	16506	34470364	34696736	38640281485585
959288	935408	23880	19306	40099250	39856806	38640322731817
1363354	1338934	24420	18273	38018790	38189720	38640362301569
1579108	1552954	26154	16904	34518832	35671740	38640398587063
1527468	1424156	103312	2294	6047286	6395000	38640406349323
1715176	1691292	23884	11597	24798438	25189080	38640433050833
874540	851500	23040	7113	15071122	15381438	38640449184041
0	0	0	0	0	0	0
1183202	1160456	22746	138	1733064	1740330	38640455502685
1484774	1461836	22938	3347	8096554	8464852	38640465272157
1247084	1223248	23836	15016	31121306	31558876	38640497828197
480198	455658	24540	6746	14947366	14250850	38640513443173
1208324	1183004	25320	9935	21329270	21361190	38640536169175
1714202	1690814	23388	8464	18005378	18922754	38640556076835
659656	634800	24856	18745	38569592	38429342	38640595494311
1441964	1403946	38018	2732	6929254	7192440	38640604054227
0	0	0	0	0	0	0
1404414	1380076	24338	4146	9685658	9977842	38640621528569
0	0	0	0	0	0	0
1712144	1688786	23358	6260	13980190	14513380	38640652210063
1429956	1393316	36640	9117	19703270	19943202	38640673531685
1516606	1471472	45134	17011	35073290	35818236	38640710310101
1669212	1544256	124956	15172	31805208	32293224	38640743972413
1439222	1414246	24976	7268	15982236	16255534	38640761582247
757302	733574	23728	14094	29560374	29229902	38640792088091
1501132	1478286	22846	5745	12948806	13272914	38640806725827
1401926	1378576	23350	17672	36495906	37026016	38640844812297
1113014	1086440	26574	18355	38200284	38103244	38640884317077
1722476	1698364	24112	16239	33932814	34481170	38640920160313
1534744	1508272	26472	19099	39130706	40010066	38640961014221
775454	750928	24526	8278	17647216	17610428	38640979624797
0	0	0	0	0	0	0
1340320	1317360	22960	17143	35743612	35906696	38641044865161
1135448	1111684	23764	11737	24928024	24889508	38641071120069
1708118	1684304	23814	1406	4268262	4801966	38641077284681
1657996	1634756	23240	15797	33057532	33536348	38641112188257
1534558	1510336	24222	10643	22357680	23100244	38641136268667
1037192	1014252	22940	8558	18504616	18434090	38641155999133
0	0	0	0	0	0	0
1632492	1610044	22448	10882	23227336	23678242	38641191792133
1280848	1256908	23940	12473	25938782	26511570	38641219200311
1727622	1704116	23506	1585	4722474	5186990	38641225838997
1603358	1576754	26604	12540	26536086	26962964	38641254166521
1574044	1550746	23298	14264	29474356	30382146	38641285402949
1072768	1048694	24074	7738	16840006	16833406	38641303503535
825314	768054	57260	12733	26925018	26575108	38641331441829
1411490	1384530	26960	14271	30013556	30245686	38641363073787
1294698	1269922	24776	12902	27266648	27378682	38641391822773
1403484	1380546	22938	3628	8712764	8939394	38641402127429
1415980	1393592	22388	8111	17684534	17919174	38641421415815
707454	683920	23534	10266	21997782	21531280	38641444309109
1571564	1545036	26528	14833	31126372	31517136	38641477194945
726470	703196	23274	15157	31188480	31320084	38641509297585
1076088	1054308	21780	5226	11925038	11825808	38641522486797
0	0	0	0	0	0	0
1453276	1428782	24494	13004	27463106	27741648	38641587309789
1556988	1533198	23790	3731	8925420	9304330	38641597979413
1436706	1410088	26618	4131	9840680	9978852	38641609445055
1759686	1733374	26312	3481	8359424	9012352	38641619751959
966078	942484	23594	10587	22284796	22425478	38641643190133
1399248	1375762	23486	4252	9968144	10182770	38641654745185
527924	500966	26958	3693	8905006	8193212	38641664369813
1679014	1654710	24304	8638	18819482	19235904	38641685056785
1426134	1388042	38092	2737	6261336	7180482	38641692931795
1720934	1698658	22276	16854	35161604	35708182	38641730002283
1427420	1393354	34066	5262	11587252	12231468	38641743204729
0	0	0	0	0	0	0
1412654	1382060	30594	5533	12243302	12758156	38641774325709
1346970	1322250	24720	13593	28609592	28813670	38641804469785
1052712	1030268	22444	99	1664798	1532120	38641807375523
1542132	1517432	24700	14288	30035402	30403204	38641839140633
722766	683672	39094	14109	29672266	29221206	38641869723061
1573030	1540000	33030	12408	25816478	26667850	38641897301113
1238700	1213136	25564	8027	17514466	17577586	38641916242587
0	0	0	0	0	0	0
1203268	1179736	23532	15678	32811630	32839684	38641973422719
1733594	1710632	22962	7117	15694958	16252160	38641991038929
1555794	1523592	32202	12293	25683748	26420334	38642018466869
1670610	1647380	23230	16789	34467572	35528490	38642054793417
1724086	1701826	22260	10914	23083590	23832662	38642079792717
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1492098	1462500	29598	11040	23493450	23853402	38642151378163
1410836	1386114	24722	19496	39979608	40683756	38642192956585
1500884	1475984	24900	3415	8281304	8610832	38642202926513
1612066	1588780	23286	9104	19665140	20100246	38642224391581
1620256	1582220	38036	13390	28245796	28681248	38642254445503
1552744	1527758	24986	13186	27465540	28204678	38642283651733
1348670	1325702	22968	14864	30782524	31356936	38642315971423
1438000	1412794	25206	13823	29099648	29363458	38642346696535
1201472	1177886	23586	9098	19718818	19677692	38642367803787
1660306	1638074	22232	15155	31772718	32251722	38642401424383
1565470	1542226	23244	13875	29259276	29607246	38642432437327
0	0	0	0	0	0	0
1547452	1521104	26348	7928	16735872	17684040	38642473445009
1184340	1161502	22838	110	1683076	1686890	38642476499833
1664228	1641178	23050	11900	25169808	25744200	38642503521487
1051212	1028360	22852	9545	19975196	20422580	38642524736301
1497706	1474546	23160	3369	8192742	8515212	38642534618721
1377684	1351858	25826	7297	15634706	16250680	38642551818553
1412592	1387216	25376	19406	40267698	40504342	38642593687179
1573236	1548468	24768	5787	12643276	13431788	38642608091685
920562	896028	24534	8521	17970636	18242876	38642627170857
1405686	1381462	24224	2005	5471836	5695954	38642634235935
1705694	1680168	25526	16318	33931902	34621654	38642670061689
1450050	1422892	27158	14294	29871918	30317572	38642701571773
1049218	1025068	24150	5824	13111908	12977838	38642715920907
1452600	1427000	25600	16278	34009958	34288148	38642751571949
1651026	1609662	41364	17680	37086490	37292332	38642790497997
1432290	1407822	24468	11094	23656458	23901672	38642815775127
0	0	0	0	0	0	0
1491100	1466366	24734	10162	21724596	22099642	38642878404057
1407322	1384616	22706	1420	4124112	4528176	38642884123573
1723032	1695092	27940	16616	34732836	35236002	38642920767013
1444418	1419410	25008	4621	9983840	10966446	38642932388287
0	0	0	0	0	0	0
1636058	1610604	25454	19189	39690972	40294588	38642990501461
1641634	1615530	26104	19642	40287644	41206338	38643032618715
1033412	1009470	23942	12200	25863570	25713522	38643059704259
905420	882440	22980	4100	9654734	9385554	38643070452209
1397282	1374070	23212	8859	18708512	19394876	38643090745919
1147884	1125628	22256	16704	34863044	34835232	38643126948181
1071362	1047024	24338	14153	29788062	29658184	38643157995431
1573872	1550920	22952	3768	8534308	9394038	38643168291861
1666064	1643588	22476	17718	36891448	37380706	38643207037795
1343038	1320112	22926	8756	18969878	19133870	38643227538599
564298	533394	30904	1692	4969326	4228170	38643233259803
1637480	1593966	43514	9481	20417946	20879752	38643255502807
1621028	1597848	23180	1863	5190248	5634048	38643262502289
1677950	1651864	26086	12575	26083366	27108222	38643290450993
0	0	0	0	0	0	0
830072	806516	23556	19855	41166362	40820308	38643347792639
1428212	1402972	25240	5044	11545434	11794368	38643360954699
1551014	1526998	24016	19716	40524994	41262980	38643403219167
1670714	1647962	22752	3488	8437158	8928816	38643413514777
935064	909958	25106	7537	16328980	16293016	38643430966973
1260808	1236308	24500	18773	38999118	39086142	38643471414431
1409560	1384548	25012	5320	12105460	12334860	38643485117109
1493024	1470086	22938	1013	3234872	3800852	38643490032507
1592070	1545598	46472	613	2681264	3097608	38643494493503
1684558	1658846	25712	14795	30674648	31555414	38643527041719
1590758	1566374	24384	16000	32865544	33869806	38643561685701
0	0	0	0	0	0	0
1434018	1410072	23946	4979	11479560	11672920	38643592246647
1705440	1681294	24146	16799	35051404	35582904	38643629191781
1550204	1526154	24050	11483	23782536	24797138	38643654712393
1472462	1444498	27964	11306	23911302	24365812	38643680284433
1593772	1570166	23606	11083	23631536	24039320	38643705697521
1738716	1715618	23098	2629	6780330	7277520	38643714404411
1488916	1466436	22480	5847	12641100	13461904	38643728722527
1409788	1385388	24400	18437	38248958	38563362	38643768573057
1416526	1391632	24894	7324	16109722	16343684	38643786287641
0	0	0	0	0	0	0
1542614	1514852	27762	4813	11079818	11449292	38643826719461
788228	762756	25472	19546	40058830	40158186	38643867758731
1583856	1554994	28862	13083	27631678	28031132	38643897162103
1563408	1538776	24632	9348	19434330	20539790	38643918347473
1521500	1493510	27990	1639	4812296	5078506	38643924869501
1581016	1557308	23708	19708	40872496	41275566	38643967514697
1575320	1550984	24336	13991	29408732	29842036	38643998686737
918386	895458	22928	10895	23244994	22988312	38644023037629
795070	770246	24824	10130	21735408	21335618	38644045756147
1765450	1742866	22584	13547	28550452	29139206	38644076260287
1404088	1379600	24488	17350	35945822	36383262	38644113798643
1695646	1671664	23982	8611	18685476	19196432	38644134368021
596754	573130	23624	13071	27036204	27017958	38644162188915
981778	957880	23898	13121	27706982	27502618	38644191065741
1428472	1404804	23668	13537	28540320	28782386	38644221222121
0	0	0	0	0	0	0
923860	899734	24126	9851	21159640	20906704	38644269413155
1402554	1375542	27012	3520	8064262	8722962	38644279067771
1452268	1429500	22768	3752	8960164	9237594	38644289667403
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1704042	1679466	24576	12108	25678738	26199220	38644366274595
1666628	1642802	23826	13409	27711824	28764350	38644395840957
870538	847548	22990	6582	14467668	14313334	38644411366705
1451484	1383940	67544	1307	4081358	4349664	38644417087601
1805748	1780374	25374	18269	37954244	38623940	38644457035589
1646444	1623532	22912	6444	14341928	14815446	38644473212141
0	0	0	0	0	0	0
1538784	1514466	24318	14526	30506086	30871058	38644518526121
1717126	1691728	25398	16010	32987180	34017848	38644553418209
490114	466136	23978	18218	37688396	37206230	38644591784863
1470618	1446738	23880	9507	20473994	20765428	38644613917229
1444138	1406818	37320	3592	8639408	8908838	38644624188659
1645080	1620188	24892	9429	20324094	20783044	38644646345443
786724	762272	24452	2363	5585132	5793656	38644652905033
1079728	1051718	28010	8697	18849266	18755162	38644673021831
1527658	1503392	24266	10765	22985620	23337426	38644697723607
1568504	1544802	23702	13037	27530246	27922232	38644727010187
1643850	1619476	24374	11186	23811272	24295556	38644752653381
738232	712246	25986	2722	6872102	6462508	38644760451629
1652472	1627672	24800	12586	26635920	27105376	38644788927713
1427566	1402992	24574	12562	25949310	26830760	38644816492527
1672280	1647994	24286	18618	38698076	39188318	38644857050969
1454052	1430700	23352	15410	31843956	32555244	38644890536441
1681468	1658012	23456	9858	21183800	21677272	38644913589733
830794	806314	24480	6582	14160628	14277124	38644928768877
1343414	1318610	24804	8846	19146512	19315546	38644949449347
1765434	1556812	208622	3808	9083998	9668168	38644960487281
860128	835504	24624	5616	12598070	12372148	38644974133843
969960	946208	23752	15730	32919638	32710114	38645008211397
644974	620262	24712	4975	11403646	10875242	38645020448385
1397682	1374152	23530	18171	37796298	38021016	38645059830777
1521858	1482304	39554	18263	38013550	38327332	38645099554615
1227956	1066162	161794	13658	28251590	28824002	38645129222483
1658814	1633476	25338	17970	36951748	37879480	38645168021025
1495068	1471420	23648	1899	5276312	5573948	38645174981217
1411628	1387552	24076	19467	40025260	40626532	38645216605453
1617670	1594542	23128	14256	29886318	30408948	38645248303237
1573882	1547222	26660	16769	34565974	35392588	38645284631211
1403016	1379764	23252	4276	9933882	10236990	38645296156211
1509722	1485268	24454	10301	21632070	22390854	38645319486763
1521598	1483378	38220	13424	28097790	28655326	38645349294413
1634802	1610256	24546	2861	7146130	7642266	38645358263489
1448416	1424444	23972	9112	19499176	19952076	38645379398953
561772	537092	24680	4151	9653794	9157968	38645389802241
1517630	1492428	25202	17256	35984516	36309690	38645427491785
1683808	1659620	24188	19034	39534016	40041708	38645468897637
1402018	1377838	24180	9903	21272598	21489698	38645491759673
1556000	1532310	23690	1688	4841480	5210982	38645498345577
1628434	1602134	26300	17109	35585952	36125836	38645535747731
1511920	1488720	23200	11608	24673648	25006652	38645562121001
1239306	1213308	25998	15962	33385768	33444380	38645596934129
0	0	0	0	0	0	0
0	0	0	0	0	0	0
963492	938896	24596	11482	24419042	24206738	38645656751827
1532086	1508710	23376	13071	27595740	27953446	38645686070183
1363878	1332262	31616	14014	29027442	29671062	38645716649713
1725880	1701506	24374	1443	4341902	4891734	38645722905695
0	0	0	0	0	0	0
1553934	1530980	22954	12561	26595940	26955664	38645777009369
1445170	1421092	24078	12849	26663482	27423078	38645805306373
0	0	0	0	0	0	0
1644048	1620648	23400	17967	36905806	37858232	38645879912609
1437448	1411806	25642	1604	4218188	4929260	38645885755981
0	0	0	0	0	0	0
851228	827234	23994	6695	14860182	14521466	38645904581623
956552	931852	24700	14374	30202684	29984458	38645935928653
690504	667090	23414	13531	27984838	28086492	38645964792403
1510966	1484532	26434	17513	36481686	36817720	38646002980589
1160278	1136220	24058	7483	16350168	16405932	38646020679761
1534294	1510818	23476	9695	20847306	21202738	38646043249589
1659254	1637056	22198	2080	5606240	6099736	38646050702471
0	0	0	0	0	0	0
706464	682930	23534	14703	30969260	30392078	38646104835293
1519608	1496146	23462	18532	38516314	38862970	38646145066059
642580	556768	85812	17604	36267700	36130598	38646182164781
1400086	1374350	25736	9218	19893436	20115954	38646203646147
1700116	1677158	22958	15596	32563670	33173516	38646238097893
1626448	1596614	29834	14133	29381326	30171888	38646269293975
1408532	1381718	26814	19664	40747218	41021892	38646311637675
1079112	1056136	22976	8903	19298482	19165872	38646332204113
946622	920258	26364	1905	4594536	5037022	38646337933553
