# Loop @ Start frequency 1300000Hz took 1638.22 cycles
# Interval [1636 ; 1641]
# Q1 : 1630 ; Q3 : 1634
# Loop @ Target frequency 2500000Hz took 853.10 cycles
# Interval [848 ; 858]
# Q1 : 848 ; Q3 : 850
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
0	0	0	0	0	0	0
1696278	1667746	28532	4812	10765968	11669290	1121339392390661
359474	332370	27104	907	2651030	2522524	1121339395619885
1413936	1386364	27572	3036	7533262	7836798	1121339404804279
958428	931428	27000	4996	11556646	11308004	1121339417534623
1193858	1165598	28260	2463	6454744	6471732	1121339425397985
1133532	1104644	28888	4156	9823640	9796284	1121339436569591
0	0	0	0	0	0	0
881358	854504	26854	4075	9679532	9381592	1121339457969251
0	0	0	0	0	0	0
1396214	1363670	32544	3427	8255678	8608508	1121339478975961
1659268	1631714	27554	2191	5501182	6392038	1121339486350937
667814	615666	52148	4544	10617688	10106324	1121339497855455
1611512	1511438	100074	3891	9311182	9744686	1121339508993033
1164020	1136168	27852	4101	9740916	9728524	1121339520113431
1646208	1540074	106134	3295	7440420	8587236	1121339529415533
1405898	1378210	27688	2535	6211116	6831906	1121339537247157
1141244	1114130	27114	27	1581086	1544622	1121339540184497
1441550	1411944	29606	2511	6552218	6814494	1121339548392767
1718488	1689774	28714	4626	10820048	11321956	1121339561149573
1434346	1407012	27334	4697	10714680	11184814	1121339573513351
0	0	0	0	0	0	0
1397496	1370964	26532	1572	4127160	4892050	1121339591930383
0	0	0	0	0	0	0
930578	902268	28310	3556	7806114	8393330	1121339604981423
0	0	0	0	0	0	0
468132	440436	27696	3275	8077184	7368592	1121339626416721
1712910	1683982	28928	1540	4662774	5144464	1121339633011515
1243246	1215150	28096	3078	7146326	7749452	1121339641615727
1696098	1657258	38840	1572	4681446	5195526	1121339648208287
647698	620390	27308	1286	4011206	3569652	1121339653082071
1502486	1475068	27418	4158	9853114	10175692	1121339664652863
1185358	1159388	25970	156	1852752	1848536	1121339667905657
1927000	1900456	26544	590	2719918	3459408	1121339672789267
1654840	1628282	26558	1788	4366486	5581700	1121339679025053
1408228	1379494	28734	4822	10644550	11402352	1121339691292353
0	0	0	0	0	0	0
1814514	1786406	28108	2722	6972046	7609532	1121339703392493
1582910	1552920	29990	3041	6788504	8016790	1121339711978875
1402066	1374404	27662	1519	4576010	4791904	1121339718171991
1807548	1779812	27736	1506	4545598	5171558	1121339724739399
708246	668218	40028	4306	10140002	9670452	1121339735802011
1439088	1410672	28416	3273	7719148	8335866	1121339745174763
0	0	0	0	0	0	0
1562818	1407556	155262	2294	6376556	6573590	1121339760655785
1596740	1473872	122868	1597	4730544	5142868	1121339767198215
1407240	1380544	26696	2113	5740720	5984556	1121339774560727
765064	622480	142584	412	8089944	1939640	1121339783630463
1029106	1002506	26600	138	1936220	1655214	1121339786810459
1211302	1184564	26738	3347	8232308	8262998	1121339796468657
1104622	1077860	26762	16	1563576	1487626	1121339799355895
1685714	1657222	28492	1746	5022872	5529644	1121339806278971
1443056	1407424	35632	4935	11401708	11664970	1121339819338211
2198176	2131308	66868	3464	8454352	9478046	1121339830205223
1472996	1443250	29746	3745	8242964	9313864	1121339840136003
1418626	1391376	27250	2732	6914470	7234636	1121339848683511
1071642	970528	101114	1498	4438948	4417272	1121339854408517
1522832	1494430	28402	4146	9822932	10167420	1121339865973647
1455350	1429648	25702	1096	3726846	3999974	1121339871370037
873828	846444	27384	1260	3915728	3745154	1121339876374577
811502	762302	49200	4117	9759438	9395892	1121339887164121
1460798	1435198	25600	2011	5551856	5833570	1121339894391337
595082	568378	26704	172	1436986	1289726	1121339896641629
1697382	1601212	96170	2268	6061862	6583336	1121339904615903
1214440	1186314	28126	4094	9716056	9752880	1121339915760813
1672876	1644688	28188	745	3013230	3511522	1121339920661231
745640	719206	26434	2672	6870248	6439490	1121339928491971
