# Loop @ Start frequency 2600000Hz took 817.15 cycles
# Interval [816 ; 818]
# Q1 : 814 ; Q3 : 816
# Loop @ Target frequency 1000000Hz took 2137.81 cycles
# Interval [2131 ; 2144]
# Q1 : 2120 ; Q3 : 2124
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
744664	708140	36524	3567	240728748	239677154	1124864821679373
1325452	1304506	20946	4812	11255764	11157338	1124864834708045
1187590	1167908	19682	907	3598134	3204474	1124864839922181
0	0	0	0	0	0	0
700880	683022	17858	4996	11977596	10895418	1124864861971293
0	0	0	0	0	0	0
325914	307796	18118	4156	9844326	8828952	1124864881022057
1184180	1165324	18856	3982	10022468	9343060	1124864892646209
0	0	0	0	0	0	0
1177540	1161222	16318	3998	9805368	9367008	1124864915397421
964516	946866	17650	3427	8463460	8009620	1124864925262333
0	0	0	0	0	0	0
1183088	1166598	16490	4544	10686348	10463638	1124864945330749
1061336	1045032	16304	3891	9393872	9034838	1124864956202897
0	0	0	0	0	0	0
1186988	1171162	15826	3295	8308580	7968502	1124864977052389
1193388	1175668	17720	2535	6745508	6455072	1124864985408737
1179760	1163372	16388	27	1184344	1425270	1124864988197073
702308	683854	18454	2511	6282340	5936500	1124864995599701
0	0	0	0	0	0	0
1199172	1180178	18994	4697	11196236	10795722	1124865020570349
522300	498332	23968	4859	11464740	10444614	1124865032987385
1192830	1175194	17636	1572	4404756	4539772	1124865039015885
655028	636796	18232	447	2795268	1752148	1124865042896069
1190046	1172536	17510	3556	8348562	8511272	1124865052860881
321764	287940	33824	4871	11374916	10255598	1124865064974481
658518	641188	17330	3275	8509938	7400492	1124865074559189
1179058	1162774	16284	1540	4525958	4451766	1124865080681673
1180674	1162938	17736	3078	7634106	7528268	1124865089915201
1186200	1167132	19068	1572	4493224	4521068	1124865096010721
1188370	1171196	17174	1286	3957702	3957230	1124865101574809
1176864	1159200	17664	4158	10399304	9684416	1124865113577229
1229850	1165858	63992	156	1459450	1734244	1124865116694197
0	0	0	0	0	0	0
1185982	1168490	17492	1788	4876518	4986238	1124865127286385
0	0	0	0	0	0	0
1181312	1161106	20206	271	1776532	1928100	1124865143451577
1188588	1170626	17962	2722	7379092	6840704	1124865152456793
1181326	1161960	19366	3041	8047794	7468092	1124865162115333
1174330	1157716	16614	1519	4807930	4403166	1124865168516297
330488	314442	16046	1506	4507710	3533912	1124865173772381
1312590	1166002	146588	4306	10278810	10117728	1124865185782417
1179392	1163562	15830	3273	8205108	7920934	1124865195583145
1219242	1201374	17868	1904	5832962	5219042	1124865203061041
0	0	0	0	0	0	0
1183472	1165894	17578	1597	4857712	4582050	1124865217367157
1179866	1158726	21140	2113	5549150	5608872	1124865224535505
402576	384264	18312	412	2860588	1429796	1124865228226193
1133730	1116228	17502	138	1665574	1612558	1124865231455329
1122366	1102866	19500	3347	8398570	8020374	1124865241427865
0	0	0	0	0	0	0
1180866	1162176	18690	1746	4576906	4877848	1124865250550193
1187336	1170184	17152	4935	11522688	11248788	1124865263676617
0	0	0	0	0	0	0
875946	859614	16332	3745	9252174	8558448	1124865284641041
0	0	0	0	0	0	0
1266722	1249002	17720	1498	4609862	4453408	1124865299469661
0	0	0	0	0	0	0
566384	548938	17446	1096	4022824	2949408	1124865316493245
717834	700968	16866	1260	4328050	3429114	1124865321958613
1187010	1168958	18052	4117	9895742	9613050	1124865333459713
1187494	1171586	15908	2011	5233814	5402026	1124865340306113
371592	240564	131028	172	2170308	907044	1124865343266233
0	0	0	0	0	0	0
0	0	0	0	0	0	0
864224	846196	18028	745	2777600	2546868	1124865365466681
1179458	1162070	17388	2672	7039746	6714336	1124865374113853
1180340	1162614	17726	3355	8401508	8081988	1124865384112661
1183950	1161568	22382	1239	3974974	3853612	1124865389688205
1158732	1128038	30694	4099	9852332	9551500	1124865401134905
1177808	1160310	17498	3278	8388628	7925550	1124865411119905
549366	533082	16284	2673	7050902	6087218	1124865419137409
1122800	1106922	15878	2143	5772612	5601668	1124865426450801
1219048	1171606	47442	1737	5182736	4885222	1124865433268961
783924	767508	16416	1406	4667128	3787082	1124865439137817
0	0	0	0	0	0	0
1177322	1160904	16418	643	2950278	2655842	1124865448607137
584792	567606	17186	3558	8698540	7891876	1124865458308549
0	0	0	0	0	0	0
1145002	1123178	21824	882	3395470	3101490	1124865473602641
1190260	1173038	17222	2473	6545132	6328440	1124865481763833
1181918	1165602	16316	1585	4833206	4548046	1124865488195457
366906	349346	17560	2540	6477618	5638290	1124865495456373
1185348	1169038	16310	4264	10371112	9904164	1124865507440709
1220428	1172332	48096	2738	6972172	6889950	1124865516057881
1180618	1162236	18382	2733	7325698	6849676	1124865524993877
1193916	1174812	19104	4271	10139936	9938896	1124865536757201
1186510	1165124	21386	2902	7575306	7193088	1124865545947717
253528	233520	20008	3628	8936408	7713504	1124865555566561
1374546	1322906	51640	3111	7879956	7787532	1124865565245759
1194568	1174600	19968	266	2414664	1930974	1124865569285561
371142	223420	147722	4833	11726946	10244308	1124865581814081
250720	233226	17494	157	2090612	767606	1124865584583673
642444	625060	17384	226	1846640	1298070	1124865587503325
1187790	1168624	19166	1531	4474370	4453950	1124865593604629
1182118	1161850	20268	3004	7412682	7394386	1124865602652881
656768	636680	20088	3731	9231948	8322338	1124865612971461
1045354	1028808	16546	4131	9983986	9509360	1124865624429841
738274	720136	18138	3481	8733266	7892472	1124865634318677
0	0	0	0	0	0	0
1175244	1158656	16588	4252	10392164	9869862	1124865650877525
0	0	0	0	0	0	0
1019998	1003296	16702	3638	9017858	8491406	1124865672134113
723200	705328	17872	2737	6955360	6389494	1124865680229361
1230436	1209256	21180	1854	5459108	5141676	1124865687348529
0	0	0	0	0	0	0
1299102	1172352	126750	2312	6030658	6126290	1124865698077133
0	0	0	0	0	0	0
1318330	1300734	17596	3593	10769226	8708646	1124865715008229
1179394	1161736	17658	99	1648982	1580612	1124865718265249
1264742	1162348	102394	4288	9656414	10048452	1124865729616409
1183942	1167586	16356	4109	9899662	9592598	1124865741135529
1205110	794006	411104	2408	6175358	6211900	1124865748932653
0	0	0	0	0	0	0
