# Loop @ Start frequency 800000Hz took 2670.41 cycles
# Interval [2666 ; 2675]
# Q1 : 2650 ; Q3 : 2652
# Loop @ Target frequency 900000Hz took 2380.20 cycles
# Interval [2366 ; 2395]
# Q1 : 2352 ; Q3 : 2360
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1360502	1158850	201652	3567	578650854	579515570	1119742736247641
1201814	1159924	41890	4812	11198228	11352966	1119742749132855
1258474	1139746	118728	907	3048056	3610944	1119742753917375
1197042	1157040	40002	3036	7654834	7796520	1119742763245961
824396	786664	37732	4996	11729916	11340794	1119742776277165
1195706	1159006	36700	2463	6177484	6644484	1119742784136485
1192438	1154290	38148	4156	9712598	10030640	1119742795519019
463554	426066	37488	3982	9517760	8953206	1119742805976155
1197310	1160222	37088	4075	9441650	9872282	1119742817091761
1302826	1154528	148298	3998	9352396	9834018	1119742828223267
1195994	1158972	37022	3427	8529454	8574914	1119742838426303
1391462	1246792	144670	2191	5939236	6298222	1119742846255761
1193988	1154696	39292	4544	10845584	10809296	1119742858772187
770734	733294	37440	3891	9515684	9097212	1119742869534773
0	0	0	0	0	0	0
1127856	1090648	37208	3295	8335948	8253608	1119742890645747
1196440	1159180	37260	2535	6795618	6802822	1119742899124241
1201274	1163682	37592	27	1730902	1803284	1119742902533163
1202032	1163744	38288	2511	6526938	6750082	1119742910745743
1204604	1165466	39138	4626	10910256	10992554	1119742923358255
1219682	1158376	61306	4697	10906210	11140466	1119742935961307
1026160	988130	38030	4859	11239078	11267700	1119742948701679
508326	470156	38170	1572	4889012	4199396	1119742954587775
1195752	1157954	37798	447	2667924	2672784	1119742958939063
1192844	1154434	38410	3556	8836364	8839046	1119742969444115
768458	729568	38890	4871	11007116	11055936	1119742981695717
906944	868164	38780	3275	7813364	7982554	1119742990892103
562324	523644	38680	1540	4814934	4180376	1119742996745375
287312	249862	37450	3078	7897906	6991672	1119743005430321
1217542	1177912	39630	1572	4423040	4898894	1119743011546623
1191786	1155418	36368	1286	4282850	4287396	1119743017498677
1294172	1255690	38482	4158	9993948	10137682	1119743029263001
1329566	1291378	38188	156	1815340	2188566	1119743032882427
738442	699972	38470	590	2468566	2443394	1119743036565213
712732	675824	36908	1788	4962588	4815154	1119743042727533
559700	521820	37880	4822	11383940	10751002	1119743055172401
677666	641444	36222	271	2260134	1743566	1119743058586245
1203622	1159350	44272	2722	7166138	7182442	1119743067442241
1196084	1158914	37170	3041	7344816	7811316	1119743076460535
1202684	1163932	38752	1519	4333716	4765264	1119743082481143
1196176	1158958	37218	1506	4504878	4732716	1119743088668437
1318064	1178622	139442	4306	10296654	10465642	1119743100782293
1309616	1187706	121910	3273	7985116	8381694	1119743110551795
1044964	1006794	38170	1904	5259556	5377124	1119743117355183
1304586	1262766	41820	2294	5972886	6442624	1119743125106725
1193302	1152172	41130	1597	4924946	4913612	1119743131701413
1178922	1140272	38650	2113	5911540	5932112	1119743139266983
261276	221416	39860	412	2096634	1624566	1119743142101235
686844	650204	36640	138	2001032	1487682	1119743145264783
546574	509444	37130	3347	8525540	7766706	1119743154812475
1203360	1167352	36008	16	1297526	1760172	1119743157791201
1199464	1154126	45338	1746	4700048	5215956	1119743164167295
750276	714044	36232	4935	11107862	11146024	1119743176502045
1309264	1158052	151212	3464	8665606	8762590	1119743186976853
874182	835152	39030	3745	9237756	8913882	1119743197563681
1192284	1154266	38018	2732	7185848	7184046	1119743206417795
1198502	1158902	39600	1498	4603948	4720494	1119743212715863
1212474	1158864	53610	4146	9704408	10030726	1119743224119855
683072	642232	40840	1096	3844074	3400580	1119743229122413
546794	508782	38012	1260	4241748	3591842	1119743234388103
1192572	1155422	37150	4117	9561418	9953044	1119743245625693
593954	557934	36020	2011	5636498	5142492	1119743252333093
478394	441024	37370	172	2068006	1348336	1119743255379495
1196456	1157584	38872	2268	5858576	6270784	1119743262911455
1196794	1159432	37362	4094	9902514	9922302	1119743274487823
969226	932106	37120	745	3071366	2985026	1119743279012135
938560	899510	39050	2672	7088806	6820510	1119743287517441
1014734	978386	36348	3355	8041734	8249844	1119743297049535
1210952	1168480	42472	1239	4206426	4224192	1119743302943681
1227430	1154620	72810	4099	9933166	9959760	1119743314580161
836876	792906	43970	3278	8111610	7918266	1119743324029407
1194322	1156724	37598	2673	7142512	7067056	1119743332842915
304134	265014	39120	2143	6008498	5124074	1119743339632615
758672	719664	39008	1737	5188638	4757974	1119743346055133
1199976	1162460	37516	1406	4527556	4537340	1119743352260289
1201356	1162606	38750	797	3258738	3321814	1119743357197655
1206856	1168334	38522	643	2926362	3090714	1119743361807125
1203144	1164354	38790	3558	8537650	8844146	1119743372023355
742996	704596	38400	4047	9757408	9361044	1119743383001125
1341986	1281616	60370	882	3499556	3648308	1119743388318117
1216062	1178414	37648	2473	6550138	6687082	1119743396570143
1197840	1156640	41200	1585	4906894	4901292	1119743403159841
431274	392184	39090	2540	6510104	6049216	1119743410577205
1205104	1164254	40850	4264	10258690	10268290	1119743422540915
1199782	1159344	40438	2738	6852404	7201252	1119743431089573
426494	387644	38850	2733	6998386	6437254	1119743438990205
1045026	1007236	37790	4271	10275866	10126016	1119743450786667
1202482	1164264	38218	2902	7542166	7543644	1119743460008053
923532	885182	38350	3628	8975824	8703342	1119743470386983
1066546	1028758	37788	3111	7490418	7813728	1119743479429987
577394	538592	38802	266	2251490	1635704	1119743482734703
937616	900966	36650	4833	11406050	11141206	1119743495578907
600676	563586	37090	157	2038368	1441628	1119743498693827
815564	777994	37570	226	2187948	1807012	1119743502196765
235096	196604	38492	1531	4779664	3822584	1119743507688255
1208454	1168244	40210	3004	7273398	7741336	1119743516645515
1201374	1160754	40620	3731	8876168	9188006	1119743527208395
521962	484874	37088	4131	9947768	9311274	1119743538154943
472462	436102	36360	3481	8677636	7960370	1119743547781281
1249726	1212654	37072	587	2893296	2950994	1119743552400645
1197006	1159056	37950	4252	10220340	10227504	1119743564303755
1323384	1164864	158520	3693	9103066	9235704	1119743575218125
1341984	1301194	40790	3638	8600108	9169616	1119743585638555
1167412	983200	184212	2737	6996696	7164322	1119743594279961
1196412	1154482	41930	1854	5421074	5431020	1119743601396921
1182344	1141874	40470	262	2168206	2230112	1119743605224813
376890	225522	151368	2312	6352644	5527940	1119743612431201
1196754	1159764	36990	533	2783560	2788034	1119743616899155
1438290	1401060	37230	3593	8797830	9159902	1119743627612561
795522	754962	40560	99	6587330	1525042	1119743635471693
204852	167562	37290	4288	10306684	9306018	1119743646460933
1201076	1162226	38850	4109	9495136	9943486	1119743657643067
303162	258914	44248	2408	6351528	5643604	1119743664775063
703578	665546	38032	3027	7795654	7305498	1119743673749467
1053298	1014928	38370	4985	11686564	11548896	1119743686965187
1203364	1164314	39050	678	3164702	3093812	1119743691809053
250002	210752	39250	2117	5646694	5010772	1119743698183783
1194348	1155336	39012	2293	6020608	6304748	1119743705875957
1200420	1159972	40448	1789	5376426	5303542	1119743712927961
1200826	1163226	37600	914	3398116	3573586	1119743718004445
238742	201542	37200	4153	9657240	9069084	1119743728376263
1191436	1154686	36750	1515	4310006	4746066	1119743734362837
273718	231178	42540	1040	3320162	2879918	1119743738441187
1293174	1159492	133682	4496	10235092	10811312	1119743750470413
1197246	1159144	38102	3415	8334088	8552344	1119743760500455
494774	453156	41618	4104	9441366	9228394	1119743770977915
1197544	1159154	38390	3390	8492448	8503134	1119743781298575
1195972	1156952	39020	3186	7978426	8094112	1119743790951013
610206	572914	37292	4864	11257666	10875546	1119743803295095
785614	748902	36712	3823	9455408	8957164	1119743814012343
1200586	1162878	37708	4098	9913108	9924438	1119743825601267
1197588	1160308	37280	155	1876164	2031438	1119743829152357
1202624	1163764	38860	3875	9241188	9492566	1119743840071315
1287438	1160916	126522	4861	11488326	11535918	1119743853323897
1198082	1158942	39140	2928	7578348	7579414	1119743862576493
1194580	1154160	40420	110	1726646	1940716	1119743865999041
1201340	1158332	43008	1900	5373038	5525300	1119743873049801
381354	244552	136802	4545	10870962	9997922	1119743884779623
841102	801964	39138	3369	8005556	8104742	1119743894103293
1234406	1154574	79832	2297	6313728	6355276	1119743902126495
1197036	1158226	38810	4406	10535896	10534494	1119743914337035
795850	759022	36828	787	2923196	2897270	1119743918539841
615244	578084	37160	3521	8853934	8191452	1119743928497213
1196692	1159194	37498	2005	5885918	5744592	1119743936066623
1330354	1156082	174272	1318	3956378	4491024	1119743941830253
1196130	1158532	37598	4294	10358910	10311262	1119743953861921
303804	265082	38722	824	3381338	2478494	1119743958025543
1193644	1154834	38810	1278	3877996	4275314	1119743963573295
1201388	1162528	38860	2680	6588614	7105396	1119743971838997
734202	696090	38112	1094	3863612	3445472	1119743976911761
1195692	1158426	37266	3047	7819890	7823886	1119743986403157
1055074	1017582	37492	162	1881324	1924694	1119743989824733
1197032	1159922	37110	1420	4101866	4562212	1119743995600463
1190938	1153936	37002	1616	4526406	4948208	1119744001794277
468508	430896	37612	4621	10769274	10236938	1119744013507827
1189166	1149970	39196	1886	5504008	5484564	1119744020676375
1172040	982340	189700	4189	10118574	10098402	1119744032467241
1122852	1085624	37228	4642	11000736	10931502	1119744045075823
1195272	1158164	37108	2200	6134332	6119074	1119744052882245
1199114	1159196	39918	4100	9523014	9925274	1119744064080085
1098136	1060606	37530	3859	9120810	9340696	1119744074774947
1190250	1153110	37140	1704	5133298	5133690	1119744081572961
385330	348234	37096	4153	9926378	9218574	1119744092362095
0	0	0	0	0	0	0
1195252	1156342	38910	2718	7160706	7155374	1119744119235653
952452	913982	38470	3756	9068788	9010232	1119744129732863
486472	445832	40640	1692	5098284	4395104	1119744135792743
1325460	1154350	171110	4481	10673106	10811320	1119744148267721
1191940	1155440	36500	1863	5229580	5444672	1119744155178081
1441426	1402154	39272	2575	6763286	7129586	1119744163859535
1230936	1154316	76620	1574	4787384	4903186	1119744170353045
1247974	1154592	93382	4855	11135372	11482414	1119744183235943
1195404	1158544	36860	44	1788996	1807712	1119744186695413
1190836	1154226	36610	4716	10432874	11148386	1119744199076715
1256906	1159374	97532	3488	8710402	8757384	1119744209520655
458698	421898	36800	2537	6872676	6057916	1119744217328437
413634	377092	36542	3773	8978366	8498822	1119744227195223
496482	460544	35938	320	2358256	1661914	1119744230526013
1225394	1154654	70740	1013	3753156	3782946	1119744235989925
771456	734514	36942	613	2813486	2522514	1119744240050965
223106	182324	40782	4795	11315484	10337946	1119744252064605
1193192	1155550	37642	1000	3268366	3719030	1119744257002561
1200452	1159292	41160	2181	6109944	6110652	1119744264787783
226416	188516	37900	4979	11273296	10710276	1119744276763627
943962	825164	118798	1799	4850226	5066212	1119744283035143
1199574	1159354	40220	1483	4265238	4714202	1119744288976813
1192864	1155926	36938	1306	4122118	4353094	1119744294767995
1192624	1154982	37642	1083	3452402	3882742	1119744299887783
1146930	1110530	36400	2629	6733896	6928572	1119744308243921
726944	690034	36910	847	3371624	2945312	1119744312817863
893676	855574	38102	3437	8147516	8292894	1119744322336615
265022	210980	54042	2324	5965476	5439062	1119744329065921
1214630	1176212	38418	2335	6410036	6431390	1119744337165361
622560	431370	191190	4813	11089618	10790790	1119744349353321
1242904	1205604	37300	4546	10416554	10879962	1119744361489503
1196146	1154326	41820	3083	7890284	7887026	1119744371052675
704172	665320	38852	4348	10442734	9946612	1119744382674641
1195428	1157568	37860	1639	5046124	5023456	1119744389413877
1191674	1154146	37528	4708	10788560	11150354	1119744401869995
1197568	1156230	41338	3991	9344520	9705788	1119744412889769
1201452	1163770	37682	895	3779552	3519192	1119744418347601
1198354	1159296	39058	130	1965108	1982634	1119744421998485
1204810	1168410	36400	3547	8406648	8822120	1119744432086801
1196074	1159092	36982	2350	6427364	6419964	1119744440186133
645060	606690	38370	3611	8732914	8391080	1119744450038921
1201572	1161472	40100	3071	7433554	7868224	1119744459151481
898746	861016	37730	3121	7690936	7676756	1119744468216575
