# Loop @ Start frequency 1200000Hz took 1777.37 cycles
# Interval [1774 ; 1780]
# Q1 : 1766 ; Q3 : 1770
# Loop @ Target frequency 800000Hz took 2689.49 cycles
# Interval [2668 ; 2711]
# Q1 : 2650 ; Q3 : 2652
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1229480	1179606	49874	8567	425091022	424919850	22107749369491
742880	712514	30366	14812	30898460	30737728	22107781554609
1189700	1159470	30230	5907	13378740	13373406	22107796655351
1199674	1170444	29230	18036	37567436	37643400	22107835944979
1002862	973446	29416	14996	31562808	31375976	22107869033851
1186582	1157056	29526	2463	6024740	6483780	22107876765531
1188276	1159672	28604	9156	19541676	19871292	22107898015041
1167352	1110300	57052	8982	19202880	19512232	22107918908001
1172856	1123586	49270	9075	19716264	19694312	22107940317311
850422	822116	28306	3998	9562828	9215742	22107951252801
1195168	1163074	32094	8427	18419092	18419880	22107971397369
1090098	1061850	28248	7191	15943752	15843404	22107988970189
0	0	0	0	0	0	0
240626	212140	28486	8891	19352416	18391964	22108041006251
0	0	0	0	0	0	0
655062	626626	28436	3295	7808920	7616736	22108080802391
1188316	1158320	29996	17535	36633122	36629190	22108119143389
460980	430096	30884	5027	11560500	10885570	22108131685921
473412	441400	32012	12511	26608198	25887422	22108159300181
1201584	1170140	31444	9626	20815736	20825898	22108181850069
760032	731702	28330	9697	20811930	20530698	22108203944343
1168370	1126680	41690	4859	11297030	11266336	22108216928621
1252632	1163080	89552	6572	14704628	14767862	22108233406721
941432	902558	38874	5447	12248856	12205812	22108247141417
1230590	1194776	35814	3556	8672702	8713156	22108257564561
1295536	1185160	110376	4871	11313496	11408132	22108270707361
512778	482504	30274	8275	18192282	17434964	22108289932439
664420	621870	42550	11540	24630822	24123600	22108315747921
407374	312128	95246	18078	37194418	36932520	22108353882529
928450	896426	32024	1572	4774092	4463702	22108360105551
1200830	1164290	36540	11286	24151458	24144224	22108385977779
352366	322226	30140	9158	19341904	19038740	22108406193061
793066	764736	28330	156	1876664	1476506	22108409381771
1040186	934500	105686	5590	12739864	12590976	22108423702801
1254950	1164068	90882	11788	24669728	25202060	22108450157379
1199330	1169932	29398	4822	10943982	11316796	22108462821651
1079896	1051750	28146	271	2026666	1991110	22108466448141
1183582	1153996	29586	2722	6540518	7007160	22108474693781
1197180	1157606	39574	8041	17654830	17649846	22108494067211
1210936	1180860	30076	16519	34331896	34631262	22108530130691
708200	679600	28600	16506	34594728	34090248	22108565953729
908734	878314	30420	19306	40315244	39891904	22108607697909
1185910	1157878	28032	18273	37622668	38102774	22108647038759
721444	691658	29786	16904	34959466	34900048	22108683240039
1203226	1173920	29306	2294	6149278	6161280	22108691123739
1194370	1162168	32202	11597	24486608	24759640	22108717324659
934306	905080	29226	7113	15550224	15531260	22108734354441
276126	247610	28516	412	2418664	1470604	22108737570231
1189198	1161254	27944	138	1346160	1834790	22108740635339
1203890	1175508	28382	3347	7767938	8270108	22108750127889
