# Loop @ Start frequency 3200000Hz took 709.08 cycles
# Interval [708 ; 710]
# Q1 : 706 ; Q3 : 708
# Loop @ Target frequency 3000000Hz took 707.80 cycles
# Interval [707 ; 709]
# Q1 : 706 ; Q3 : 708
# Warning: confidence intervals overlap, we can not state any thing, need to do the t-test
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
25164	1598	23566	8567	620370724	211927512	78850295918273
19260	1600	17660	14812	29805328	29808326	78850325912121
16540	1594	14946	5907	11995542	11996408	78850338091293
17002	1600	15402	18036	36256210	36255788	78850374531479
21796	3242	18554	14996	30175584	30179474	78850404896067
18446	1640	16806	2463	5115846	5111036	78850410198669
143576	1620	141956	9156	18565884	18624460	78850429077665
18706	1624	17082	8982	18155034	18151490	78850447420667
20980	1638	19342	9075	18334738	18339940	78850465946789
18008	1650	16358	3998	8185224	8185040	78850474321735
18754	1640	17114	8427	17042384	17043392	78850491554375
20898	3280	17618	7191	14571900	14573272	78850506318381
16624	1652	14972	14544	29279028	29276266	78850535785885
20446	3296	17150	8891	17971334	17973538	78850553949565
18274	3284	14990	14101	28389802	28391548	78850582529141
20556	3296	17260	3295	6832024	6781374	78850589553389
19092	1650	17442	17535	35258126	35260104	78850625001637
19752	1646	18106	5027	10247564	10249064	78850635440233
17574	1646	15928	12511	25217082	25209908	78850660845861
23396	4946	18450	9626	19440720	19446042	78850680481495
19460	1642	17818	9697	19582784	19583476	78850700255409
17986	1636	16350	4859	9905198	9905580	78850710349873
32996	1646	31350	6572	13334066	13347680	78850723888763
23320	1650	21670	5447	11089328	11087726	78850735173021
17180	1640	15540	3556	7356524	7300618	78850742720797
100698	1644	99054	4871	9929400	10012488	78850752922261
18912	3294	15618	8275	16742186	16741788	78850769854323
17660	1648	16012	11540	23267298	23268110	78850793310877
22956	4934	18022	18078	36344806	36350108	78850829849883
17316	1648	15668	1572	3329728	3331202	78850833368245
18346	1642	16704	11286	22761242	22759812	78850856319073
17568	1650	15918	9158	18502406	18504010	78850875010155
17578	1636	15942	156	564696	504450	78850875764183
19962	1646	18316	5590	11482648	11370804	78850887438423
22332	4934	17398	11788	23764472	23769414	78850911396627
17532	1644	15888	4822	9835866	9832436	78850921421753
18368	3310	15058	271	730880	731552	78850922342589
17468	1646	15822	2722	5632300	5632866	78850928163629
96874	3292	93582	8041	16268550	16349446	78850944700915
137706	1656	136050	16519	33224718	33345872	78850978235467
16676	1646	15030	16506	33202354	33199588	78851011626177
143368	1640	141728	19306	38799420	38926216	78851050740569
19180	1654	17526	18273	36788372	36736548	78851087720101
17088	1644	15444	16904	33994596	33994500	78851121903733
24708	3294	21414	2294	4777188	4784188	78851126877325
18554	1636	16918	11597	23383562	23383166	78851150450979
18972	1648	17324	7113	14529620	14415100	78851165171293
16744	1648	15096	412	1016256	1011292	78851166379041
19994	4928	15066	138	463632	467100	78851167034293
20970	1636	19334	3347	6886000	6887924	78851174113211
17244	1644	15600	15016	30222512	30219906	78851204525255
16946	1648	15298	6746	13786586	13679988	78851218500809
18504	1646	16858	9935	20057558	20059286	78851238748227
16886	1562	15324	8464	17116034	17115558	78851256052471
17456	1636	15820	18745	37677262	37678166	78851293918737
17270	1638	15632	2732	5654492	5652480	78851299762511
17744	1642	16102	1498	3183236	3184404	78851303134961
84354	1630	82724	4146	8481760	8547588	78851311875481
18130	1648	16482	6096	12381574	12379836	78851324447189
17716	1644	16072	6260	12707958	12709110	78851337344675
18250	1648	16602	9117	18420422	18422698	78851355955021
18254	1640	16614	17011	34210002	34210636	78851390354797
20736	1648	19088	15172	30531360	30534948	78851421079021
