# Loop @ Start frequency 1700000Hz took 1250.96 cycles
# Interval [1249 ; 1253]
# Q1 : 1246 ; Q3 : 1248
# Loop @ Target frequency 2700000Hz took 789.03 cycles
# Interval [784 ; 794]
# Q1 : 784 ; Q3 : 786
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1340916	1304534	36382	3567	321826622	321800684	1122489319730509
1545136	1520286	24850	4812	10955898	11453602	1122489332438617
0	0	0	0	0	0	0
790910	768772	22138	3036	7653740	7145590	1122489345634299
0	0	0	0	0	0	0
1624780	1599582	25198	2463	6486530	6833690	1122489367111995
912248	824714	87534	4156	9743522	9507988	1122489377971405
1361226	1338046	23180	3982	9429724	9608646	1122489388966315
887482	773786	113696	4075	9615136	9320164	1122489399672459
0	0	0	0	0	0	0
1398896	1376404	22492	3427	8322630	8535992	1122489420775721
1667622	1644828	22794	2191	5933138	6332658	1122489428580349
1671088	1647844	23244	4544	10422736	11042862	1122489440877753
1013396	857416	155980	3891	9047336	9079464	1122489451141973
1669192	1645716	23476	4101	9660886	10154614	1122489462675669
1399250	1372002	27248	3295	7547386	8277144	1122489471825653
1607920	1579422	28498	2535	6447446	6960500	1122489480084309
1082492	1059420	23072	27	1516866	1424034	1122489482886835
1601900	1578364	23536	2511	6485880	6907972	1122489491178161
1664228	1640798	23430	4626	10066632	11198362	1122489503112445
1200586	1177174	23412	4697	10808386	10877838	1122489515324675
960412	936918	23494	4859	11186176	10962104	1122489527674423
0	0	0	0	0	0	0
431880	408918	22962	447	2352394	1609300	1122489536017835
1412254	1369690	42564	3556	8642718	8813780	1122489546276115
1451978	1408606	43372	4871	11206110	11483472	1122489559137759
1271324	1248420	22904	3275	8016804	8105414	1122489568629021
671238	643788	27450	1540	4536918	4034812	1122489574040889
0	0	0	0	0	0	0
1493746	1470594	23152	1572	4048114	4920260	1122489589219281
1122912	1098708	24204	1286	4032990	3978840	1122489594578435
1538106	1414108	123998	4158	9778566	10137914	1122489606099489
1605070	1580938	24132	156	1945516	2208048	1122489609854411
1848142	1825618	22524	590	2167862	3311310	1122489614073473
1516066	1493486	22580	1788	4326302	5374212	1122489620119327
1534678	1511144	23534	4822	10676030	11462746	1122489632533849
1183670	1160218	23452	271	1407676	2008910	1122489635328859
737110	675076	62034	2722	6894568	6464752	1122489643164173
0	0	0	0	0	0	0
1569296	1539274	30022	1519	4492678	4889364	1122489657740259
1414342	1389654	24688	1506	4471246	4709812	1122489663829269
1367970	1344460	23510	4306	10202252	10263210	1122489675602811
635822	612600	23222	3273	8010612	7465820	1122489684456655
1619114	1596446	22668	1904	4703044	5709406	1122489690981889
584748	559484	25264	2294	5859278	5456100	1122489697629429
1780190	1647164	133026	1597	4200376	5342112	1122489703817513
737314	712816	24498	2113	5248472	5245620	1122489710007925
329056	306396	22660	412	2285044	1435896	1122489712825611
1419652	1395160	24492	138	1737538	1979908	1122489716186229
1455932	1430262	25670	3347	8160652	8438608	1122489726006429
805862	782314	23548	16	1534384	1161522	1122489728550143
1568624	1544624	24000	1746	4956448	5344326	1122489735279053
1596404	1572350	24054	4935	11128344	11748596	1122489748206725
0	0	0	0	0	0	0
793730	770452	23278	3745	8840702	8566312	1122489767441873
1881736	1736892	144844	2732	6514584	7628506	1122489776041867
723836	637748	86088	1498	4312370	4001524	1122489781281861
1437800	1371706	66094	4146	9750340	10014066	1122489792673749
0	0	0	0	0	0	0
