# Loop @ Start frequency 1500000Hz took 1424.62 cycles
# Interval [1412 ; 1438]
# Q1 : 1412 ; Q3 : 1416
# Loop @ Target frequency 1900000Hz took 1122.27 cycles
# Interval [1117 ; 1127]
# Q1 : 1114 ; Q3 : 1118
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
2025924	1984044	41880	3567	353469476	354143302	1121865867389347
1746282	1720414	25868	4812	11118072	11682816	1121865880517589
2732724	2703038	29686	907	2790766	4857924	1121865886302011
1304676	1279910	24766	3036	7566220	7688660	1121865895437891
1394808	1367994	26814	4996	11486230	11699036	1121865908581905
1722926	1698452	24474	2463	6282248	6960834	1121865916847967
1831652	1803218	28434	4156	9806762	10460150	1121865928746649
2608748	2584206	24542	3982	9227246	10883628	1121865940845595
1767758	1741000	26758	4075	9460094	10230022	1121865952334531
2288270	2262228	26042	3998	9490184	10595280	1121865964378961
1291562	1264204	27358	3427	8350424	8459220	1121865974286171
2927754	2796950	130804	2191	5872782	7621838	1121865983352357
1541476	1515876	25600	4544	10583164	10941178	1121865995737957
2671424	2645272	26152	3891	9275636	10764474	1121866007945775
2301884	2277558	24326	4101	9694144	10816918	1121866020202199
875366	850204	25162	3295	8330998	7778970	1121866029669565
712196	685222	26974	2535	5683100	6100218	1121866036326343
795270	768674	26596	27	1650770	1160884	1121866039037395
1435738	1272140	163598	2511	6619434	6770244	1121866047355783
1711944	1681692	30252	4626	10743554	11275982	1121866060071883
1540006	1411038	128968	4697	10884928	11245430	1121866072757875
1711204	1685810	25394	4859	11206862	11757244	1121866085936951
1753842	1727306	26536	1572	4181688	5211150	1121866092135561
2701522	2676692	24830	447	2416872	3908648	1121866097515203
2609280	2585682	23598	3556	8605614	10032702	1121866108990859
2057346	1777296	280050	4871	10359644	12110204	1121866121668871
1850854	1823702	27152	3275	7784458	8713474	1121866131564249
1789192	1762752	26440	1540	4580576	5181808	1121866138194579
1534434	1507244	27190	3078	7795186	8002144	1121866147785735
1259228	1234132	25096	1572	4638774	4714818	1121866153944489
1911408	1887962	23446	1286	4062032	4794386	1121866160178581
2199418	2174790	24628	4158	9805944	10826670	1121866172444501
1198446	1159458	38988	156	1768066	1823074	1121866175689521
2699084	2674758	24326	590	2370926	4191912	1121866181026125
2765866	2608126	157740	1788	5117678	6700394	1121866189170889
1727184	1703028	24156	4822	11138190	11682558	1121866202300051
1302584	1279256	23328	271	1190694	2157422	1121866205059423
1278576	1254570	24006	2722	7162700	7042388	1121866213761567
1720504	1693798	26706	3041	7573978	8115116	1121866223319243
1434732	1405456	29276	1519	4526248	4783952	1121866229541419
1380558	1351862	28696	1506	4508092	4705340	1121866235693171
2422872	2396850	26022	4306	10105644	11347350	1121866248485381
3136910	3111606	25304	3273	8034586	9994384	1121866259917345
2517940	2491868	26072	1904	5405424	6637900	1121866268104283
2707946	2682480	25466	2294	6140896	7608118	1121866277214241
1506216	1480182	26034	1597	4689356	5013162	1121866283670503
2957550	2926610	30940	2113	5718520	7496742	1121866292607689
2842374	2815964	26410	412	2335916	3978542	1121866298048525
741622	715592	26030	138	1769604	1329000	1121866300819749
2272284	2246242	26042	3347	8206906	9300474	1121866311560365
910136	885106	25030	16	1528686	1253736	1121866314260109
2301970	2275256	26714	1746	4745982	6105890	1121866321579961
1392122	1366670	25452	4935	11373580	11574880	1121866334605989
3062492	2935816	126676	3464	8210284	10301878	1121866346142297
2192696	2167764	24932	3745	8978204	9993972	1121866357576395
2211044	2185040	26004	2732	6954492	7987348	1121866367004691
2292256	2265874	26382	1498	3641898	5600724	1121866373201823
2347542	2320084	27458	4146	9789192	10951764	1121866385599049
2295396	2271222	24174	1096	3732122	4799546	1121866391886881
2296932	2216392	80540	1260	3122452	5138242	1121866397566287
