# Loop @ Start frequency 1400000Hz took 1519.55 cycles
# Interval [1518 ; 1521]
# Q1 : 1514 ; Q3 : 1516
# Loop @ Target frequency 3600000Hz took 711.35 cycles
# Interval [707 ; 716]
# Q1 : 706 ; Q3 : 708
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
633010	589210	43800	3567	369322740	368606290	1121741031486115
1030020	1004284	25736	4812	11132296	10984646	1121741043843009
1408132	1381100	27032	907	3325408	3558472	1121741048767105
1301242	1270954	30288	3036	7450928	7703120	1121741057710119
1538846	1512312	26534	4996	11498404	11860788	1121741070937657
698890	670782	28108	2463	6450784	5955510	1121741078277681
1654368	1628492	25876	4156	9390792	10302624	1121741089513053
1559564	1530912	28652	3982	9360788	9853068	1121741100624189
508074	481200	26874	4075	9287642	8988544	1121741110610577
1417830	1391796	26034	3998	9375306	9743954	1121741121594293
863188	836988	26200	3427	8366124	8046596	1121741131013593
1716548	1639028	77520	2191	5912144	6428122	1121741138832881
1654080	1628846	25234	4544	10431512	11073104	1121741151108277
1467156	1440082	27074	3891	9271560	9579312	1121741162037265
861540	836062	25478	4101	9740800	9393182	1121741172829589
1128872	1104036	24836	3295	8099914	8048124	1121741182248837
858314	830798	27516	2535	6704720	6259078	1121741190002257
919562	893432	26130	27	1567520	1309922	1121741192679459
1700258	1671486	28772	2511	6528132	7051638	1121741201098089
1567748	1522348	45400	4626	10121014	11148048	1121741212977441
1808874	1781888	26986	4697	10869988	11532298	1121741225846571
715642	690190	25452	4859	10573182	10763456	1121741237325249
943200	916734	26466	1572	4652868	4416802	1121741243114753
196950	171396	25554	447	2402550	1421270	1121741245904449
1654336	1626552	27784	3556	8663294	9139322	1121741256411753
1636534	1610248	26286	4871	11259410	11708420	1121741269497893
1443272	1415572	27700	3275	7443406	8324034	1121741278574545
1424794	1398786	26008	1540	4596410	4834732	1121741284785971
1598516	1553782	44734	3078	7672806	8084724	1121741294247595
1673024	1627460	45564	1572	4665206	5146420	1121741300776137
1154682	1127154	27528	1286	4088768	4055628	1121741306209687
1479240	1452624	26616	4158	9825228	10124130	1121741317704127
1186020	1160164	25856	156	1660516	1829764	1121741320740981
1078398	1049056	29342	590	2657480	2587984	1121741324667249
1407610	1374348	33262	1788	4549526	5312436	1121741330814401
984928	959932	24996	4822	11153976	10958836	1121741343143665
962570	937242	25328	271	2065034	1834396	1121741346361313
1655458	1629006	26452	2722	7239216	7429910	1121741355460143
1405116	1378562	26554	3041	6971952	7816786	1121741364027683
1418080	1392710	25370	1519	4501054	4806018	1121741370136641
1556944	1529398	27546	1506	4449934	4907564	1121741376333429
726716	699130	27586	4306	9668912	9674356	1121741386919089
1572584	1545478	27106	3273	8063640	8448696	1121741396744929
1227958	1200868	27090	1904	4729274	5366158	1121741402892257
1463040	1437404	25636	2294	6093956	6380016	1121741410639217
985742	960056	25686	1597	4497302	4511218	1121741416311921
1418960	1391598	27362	2113	5730330	5974592	1121741423651063
1729608	1703644	25964	412	2139224	2883108	1121741427709701
1181918	1156900	25018	138	1224378	1790092	1121741430306009
1435422	1408240	27182	3347	8214264	8460174	1121741440145405
1185198	1158478	26720	16	1540666	1547396	1121741443061229
1563272	1536492	26780	1746	4824708	5384028	1121741449639177
654586	628456	26130	4935	11378538	10853466	1121741461862377
1163090	1136414	26676	3464	8467676	8442686	1121741471682847
1580504	1456506	123998	3745	9000974	9401750	1121741482454223
1740704	1704626	36078	2732	7047140	7534850	1121741491432297
1507920	1482404	25516	1498	4388924	4832766	1121741497519477
1388860	1363296	25564	4146	9813864	10010990	1121741508912369
1298684	1272684	26000	1096	3084680	3821666	1121741513486109
1460840	1435562	25278	1260	4029644	4309810	1121741519166233
804674	778046	26628	4117	9321128	9367884	1121741529481977
471474	426948	44526	2011	5533196	4824548	1121741535676719
1152562	1116964	35598	172	1866308	1827776	1121741538885799
1438380	1409792	28588	2268	6052056	6302924	1121741546589577
1323250	1295604	27646	4094	9695378	9842326	1121741557798389
886292	860420	25872	745	2606366	2706020	1121741561481333
841448	777000	64448	2672	6735866	6516218	1121741569248489
1125794	1097692	28102	3355	8218822	8164808	1121741578786733
1686482	1647898	38584	1239	3920296	4493606	1121741584583391
