# Loop @ Start frequency 3500000Hz took 707.92 cycles
# Interval [707 ; 709]
# Q1 : 706 ; Q3 : 708
# Loop @ Target frequency 2100000Hz took 1013.86 cycles
# Interval [1012 ; 1016]
# Q1 : 1008 ; Q3 : 1012
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
909052	878766	30286	3567	319485736	218680050	1127396823183045
860442	843472	16970	4812	11345804	10669556	1127396835630333
947620	920930	26690	907	3781048	2947064	1127396840597465
217178	178306	38872	3036	8061216	6475274	1127396849114983
921196	902920	18276	4996	11785284	11099080	1127396862060881
924460	907002	17458	2463	6958116	6035254	1127396870182083
1175616	1158028	17588	4156	9697036	9673250	1127396881293157
1175600	1158470	17130	3982	9811580	9324874	1127396892518957
1215158	1199144	16014	4075	9910780	9541662	1127396903874421
1172900	1156590	16310	3998	9819584	9342196	1127396915094093
1176212	1160460	15752	3427	8533690	8203142	1127396925031301
1028506	1011958	16548	2191	5978640	5583760	1127396932265671
1175966	1158312	17654	4544	10466978	10448520	1127396944151053
1206730	1157746	48984	3891	9677636	9174594	1127396955273703
1178872	1160352	18520	4101	10016928	9565958	1127396966707749
1176394	1158930	17464	3295	8017078	7952138	1127396976139243
366780	349672	17108	2535	6663144	5620992	1127396983407565
1186680	1168338	18342	27	1834944	1425490	1127396986667437
1310818	1293064	17754	2511	6388912	6517664	1127396994605505
669734	651314	18420	4626	11055814	10093630	1127397006566331
863460	845864	17596	4697	11239486	10445518	1127397018907975
589494	572748	16746	4859	11514520	10492834	1127397031249889
1237056	1219736	17320	1572	4575984	4567108	1127397037301401
841668	818198	23470	447	2518858	1921240	1127397040900019
729056	711854	17202	3556	8430470	8039578	1127397050297315
700582	681426	19156	4871	11504032	10627336	1127397062744725
1168266	1149198	19068	3275	8220768	7907102	1127397072372343
1174720	1157952	16768	1540	4992040	4443266	1127397078780771
1177836	1158754	19082	3078	7833214	7518578	1127397088029779
1105950	1087160	18790	1572	5101796	4434046	1127397094475877
1177708	1160916	16792	1286	4260524	3936002	1127397100151607
1175188	1156986	18202	4158	9749894	9675678	1127397111316999
1304194	1160834	143360	156	2264556	1801126	1127397115125951
1176300	1159150	17150	590	2425988	2562048	1127397118966041
1194404	1168538	25866	1788	4953504	4958816	1127397125352111
1078102	1060100	18002	4822	11438782	10907340	1127397138109685
1059948	1043476	16472	271	2029562	1786662	1127397141437513
1173070	1156308	16762	2722	6621248	6802700	1127397149470569
1176182	1158064	18118	3041	8124474	7444284	1127397159009621
403902	385962	17940	1519	5019944	3627468	1127397164671259
373914	351258	22656	1506	4671822	3574014	1127397169955271
1189960	1173558	16402	4306	10279654	9977666	1127397181660015
612612	595814	16798	3273	8464522	7330308	1127397190963805
414232	398324	15908	1904	5508736	4406554	1127397197125369
1274374	1256318	18056	2294	6307160	6046504	1127397204945423
241740	224438	17302	1597	4937022	3621206	1127397210362751
282066	264112	17954	2113	5807320	4693322	1127397216695061
435920	419444	16476	412	2629010	1445352	1127397220000877
1026938	1010322	16616	138	1641162	1488108	1127397222907861
1302958	1285466	17492	3347	8536996	8182154	1127397232985835
1002470	984144	18326	16	1729134	1220582	1127397235955317
898482	881760	16722	1746	4874862	4576290	1127397241967289
436032	419176	16856	4935	11575242	10491288	1127397254216729
1229532	1212640	16892	3464	8565464	8342066	1127397264250157
1178400	1159616	18784	3745	9421218	8853024	1127397275092929
1177602	1160486	17116	2732	7319010	6827164	1127397283828055
1180946	1162750	18196	1498	4350626	4361594	1127397289597371
1177198	1159594	17604	4146	10078168	9653740	1127397301093565
1173600	1157668	15932	1096	4028788	3551038	1127397306533893
245208	215764	29444	1260	4241398	2953528	1127397311259481
1168624	1147840	20784	4117	10148608	9587632	1127397322814809
1172624	1155892	16732	2011	5962842	5380302	1127397330188757
234846	217556	17290	172	2104478	764966	1127397332766951
1203012	1160622	42390	2268	5984726	5924832	1127397340193073
1174550	1156296	18254	4094	10344084	9551224	1127397351950515
1067422	1049894	17528	745	2995064	2742582	1127397356251367
1182730	1165006	17724	2672	7071498	6712558	1127397364746595
358070	340204	17866	3355	8658164	7252132	1127397374001851
1253954	1235586	18368	1239	4024994	3916950	1127397379519699
311820	295494	16326	4099	9593204	8695238	1127397389665507
1174386	1157796	16590	3278	8197070	7916510	1127397399275965
1191460	1158392	33068	2673	7057182	6722256	1127397407763005
1176290	1156926	19364	2143	6210424	5647314	1127397415387783
1004218	985856	18362	1737	5167034	4662656	1127397421797629
609216	592190	17026	1406	4605236	3606478	1127397427252599
907026	889212	17814	797	3216462	2686650	1127397431614397
1173682	1157266	16416	643	3112806	2646100	1127397436138983
228986	210212	18774	3558	8959300	7529886	1127397445566235
1183936	1162778	21158	4047	10070630	9462928	1127397457059089
1173832	1157252	16580	882	3737542	3124044	1127397462208925
334074	319122	14952	2473	6743614	5453358	1127397469525011
1175984	1158394	17590	1585	4715440	4520082	1127397475643633
1086274	1069466	16808	2540	7073920	6338878	1127397484031229
1092468	1075674	16794	4264	10380936	9805632	1127397495743327
1175106	1158448	16658	2738	7085504	6836310	1127397504241903
426640	406976	19664	2733	7323460	6078266	1127397512237383
1173558	1156598	16960	4271	10550456	9903862	1127397524204183
1298500	1162302	136198	2902	7417958	7288796	1127397533159153
773728	757210	16518	3628	9089002	8215176	1127397543252311
636982	612960	24022	3111	7997652	7043978	1127397552127403
560684	544208	16476	266	2490472	1278312	1127397555417089
619676	602876	16800	4833	11029080	10470974	1127397567303991
1087516	1066226	21290	157	2165852	1587150	1127397570795819
936980	919434	17546	226	1817380	1575146	1127397573789255
1185136	1164852	20284	1531	4964872	4431432	1127397580177369
1177942	1157318	20624	3004	7702482	7370314	1127397589296099
1175766	1158106	17660	3731	9063354	8823080	1127397599773829
963002	945436	17566	4131	9973684	9410624	1127397610948981
1172700	1156218	16482	3481	8616468	8318800	1127397620976625
1175728	1158064	17664	587	3042466	2535106	1127397625433591
1175312	1159434	15878	4252	10065628	9863946	1127397636912971
704866	688918	15948	3693	8998926	8264160	1127397646844451
435504	418900	16604	3638	8919436	7884292	1127397656427021
1180300	1162756	17544	2737	7132174	6826546	1127397664969757
1177910	1163088	14822	1854	5112334	5062688	1127397671487285
862804	846566	16238	262	2446946	1559196	1127397675024165
1174444	1157294	17150	2312	6099346	5984238	1127397682535867
1192438	1172628	19810	533	3079144	2442758	1127397687045823
1176612	1159248	17364	3593	8845028	8547406	1127397697305943
897022	879040	17982	99	4863616	1279270	1127397703308287
340384	322604	17780	4288	9942740	9102280	1127397713829565
1283212	1159852	123360	4109	9992476	9685608	1127397725346329
