# Loop @ Start frequency 3100000Hz took 707.76 cycles
# Interval [707 ; 709]
# Q1 : 706 ; Q3 : 708
# Loop @ Target frequency 3000000Hz took 709.03 cycles
# Interval [708 ; 711]
# Q1 : 706 ; Q3 : 708
# Warning: confidence intervals overlap, we can not state any thing, need to do the t-test
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
21574	1564	20010	8567	205330390	205126088	76555104142221
100978	1564	99414	14812	29820342	29886064	76555134227381
92728	4684	88044	5907	11993074	12069678	76555146477037
31290	1586	29704	18036	36251884	36265158	76555182923315
18010	1574	16436	14996	30170408	30172648	76555213275799
21412	3152	18260	2463	5107354	5110704	76555218571149
18134	3152	14982	9156	18493480	18494622	76555237247729
17498	3172	14326	8982	18144416	18144970	76555255576949
17374	1618	15756	9075	18484166	18331328	76555274244705
29310	1592	27718	3998	8178330	8190866	76555282618569
18100	1608	16492	8427	17127536	17038214	76555299931221
15918	1606	14312	7191	14564628	14563772	76555314678913
132388	1606	130782	14544	29270328	29386672	76555344249181
21002	4848	16154	8891	17965412	17969956	76555362403637
18608	3248	15360	14101	28387648	28388522	76555390979033
18470	1628	16842	3295	6775278	6777898	76555397942869
17194	1646	15548	17535	35254856	35255670	76555433385291
16958	1646	15312	5027	10246824	10242750	76555443820983
19950	3288	16662	12511	25209294	25213114	76555469221797
18208	1648	16560	9626	19442752	19440078	76555488855885
17400	1644	15756	9697	19580554	19581986	76555508624921
17486	1646	15840	4859	9907274	9905392	76555518720929
19164	1648	17516	6572	13333144	13333532	76555532244397
17026	1632	15394	5447	11082798	11081620	76555543516255
17302	1632	15670	3556	7299554	7299748	76555551004479
18154	1646	16508	4871	9931318	9932924	76555561125253
18354	1638	16716	8275	16740440	16741640	76555578055317
17628	1646	15982	11540	23265900	23267520	76555601510413
17724	1648	16076	18078	36344740	36343584	76555638044209
16370	1648	14722	1572	3332466	3330648	76555641564853
