# Loop @ Start frequency 2600000Hz took 817.83 cycles
# Interval [816 ; 819]
# Q1 : 814 ; Q3 : 816
# Loop @ Target frequency 900000Hz took 2374.19 cycles
# Interval [2368 ; 2380]
# Q1 : 2352 ; Q3 : 2360
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
500226	477560	22666	8567	234999098	234208356	61329320958507
1255206	1164090	91116	14812	31458632	31064060	61329354129213
1270870	1161244	109626	5907	13406698	13271052	61329369260773
1179980	1162224	17756	18036	37733300	37439878	61329408639575
884854	867768	17086	14996	31537052	31065980	61329441516227
1189874	1161148	28726	2463	6769708	6306890	61329449947183
1174382	1158244	16138	9156	19987680	19676510	61329471565503
1197834	1178786	19048	8982	19373486	19351672	61329492608773
556308	539582	16726	9075	19361718	18897186	61329512983121
0	0	0	0	0	0	0
1090276	1072620	17656	8427	18451524	18134382	61329543782835
886254	866730	19524	7191	16017850	15459386	61329561144677
1180328	1161414	18914	14544	30690836	30457506	61329593472481
750362	733786	16576	8891	19728568	18723230	61329614418343
1177302	1158700	18602	14101	29804174	29570012	61329645857041
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1193236	1174232	19004	5027	11662492	11437590	61329707426503
1179688	1163236	16452	12511	26831160	26396308	61329735906725
1174520	1157916	16604	9626	20850368	20617656	61329758387373
944662	926922	17740	9697	20801228	20529352	61329780589375
1176700	1158518	18182	4859	11312750	11083700	61329793533295
1179360	1161180	18180	6572	14658532	14514414	61329809839813
367370	350802	16568	5447	12353856	11454146	61329823017681
1177274	1160664	16610	3556	8999126	8479074	61329833651521
1014916	998276	16640	4871	11401360	10950530	61329846523063
952760	936832	15928	8275	18400636	17693884	61329866332757
438474	421440	17034	11540	24895118	23709216	61329892122295
1019324	1002802	16522	18078	38036258	37364674	61329931632823
626376	609884	16492	1572	5009424	3960366	61329937723835
1259982	1170854	89128	11286	24175338	24025862	61329963615195
0	0	0	0	0	0	0
706672	690842	15830	156	1926536	1209620	61329988293693
708150	690878	17272	5590	12559700	12078996	61330002017103
1230042	1160426	69616	11788	25389498	24996338	61330029092755
212434	177928	34506	4822	11450144	10046378	61330041211063
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1175588	1157798	17790	8041	17515126	17447638	61330072349995
1178566	1159456	19110	16519	34760950	34406402	61330108744623
1179518	1159024	20494	16506	34604678	34382040	61330144985303
1187442	1159442	28000	19306	40264912	39989432	61330186892915
0	0	0	0	0	0	0
1180728	1161960	18768	16904	35433782	35178908	61330263261587
892648	874548	18100	2294	5920960	5670324	61330270549475
1176102	1160278	15824	11597	24818942	24560650	61330297000725
1180830	1162408	18422	7113	15829334	15597006	61330314467321
0	0	0	0	0	0	0
804108	788248	15860	138	2037776	1272814	61330321744547
1174870	1159064	15806	3347	8073370	8060582	61330331449201
193432	174050	19382	15016	31669838	30416192	61330363791515
0	0	0	0	0	0	0
1175364	1157734	17630	9935	21563112	21235992	61330403715103
1187856	1170476	17380	8464	18575582	18306438	61330423935453
953540	936682	16858	18745	39394414	38633990	61330464738835
1220920	1166080	54840	2732	6857172	6875052	61330473274155
1179126	1162578	16548	1498	4946274	4369112	61330479872285
1184964	1168880	16084	4146	9696476	9669934	61330491210063
1178228	1161412	16816	6096	13350242	13560640	61330506211173
0	0	0	0	0	0	0
1186414	1168608	17806	9117	19837976	19609858	61330542593097
1182442	1162528	19914	17011	35441696	35393648	61330579670801
0	0	0	0	0	0	0
0	0	0	0	0	0	0
614306	596170	18136	14094	29826784	28992248	61330661926023
1176848	1159724	17124	5745	13156860	12856816	61330676716441
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1176770	1158174	18596	16239	34360990	33846054	61330790979463
648708	632526	16182	19099	39898932	39036132	61330831983085
0	0	0	0	0	0	0
287240	266826	20414	12673	26815378	25824752	61330879489245
1184108	1166506	17602	17143	36091002	35666244	61330917227813
