# Loop @ Start frequency 2300000Hz took 923.52 cycles
# Interval [922 ; 925]
# Q1 : 920 ; Q3 : 924
# Loop @ Target frequency 3000000Hz took 708.00 cycles
# Interval [707 ; 709]
# Q1 : 706 ; Q3 : 708
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1442582	1418184	24398	8567	246939774	247052772	54806405113133
1270158	1253420	16738	14812	34347906	31093444	54806440898413
742042	706928	35114	5907	13187728	12755944	54806454992191
747248	730000	17248	18036	37441584	37017322	54806493347093
1387058	1369644	17414	14996	31364210	31578998	54806526262661
1611618	1593924	17694	2463	6133796	6738224	54806534173157
1552012	1535634	16378	9156	19323024	20065698	54806555213405
1167650	1150276	17374	8982	19232128	19333162	54806575778859
707368	688994	18374	9075	19220504	19059186	54806595872409
1558130	1541052	17078	3998	9368974	9755098	54806606965099
1489822	1470350	19472	8427	18112898	18545602	54806626732667
1437078	1418418	18660	7191	15696658	16020252	54806644031769
1637742	1621108	16634	14544	30417258	30926582	54806676252193
1398502	1381054	17448	8891	18528072	19386252	54806696344799
1460496	1443112	17384	14101	29180236	29865380	54806727152575
1669826	1653606	16220	3295	7538078	8465262	54806736527821
1093276	1076590	16686	17535	36285968	36366568	54806774074981
1502976	1485124	17852	5027	11438828	11761058	54806787184553
973302	955916	17386	12511	26441312	26208508	54806814766673
1659374	1642042	17332	9626	20629518	21115292	54806837224585
1616574	1512170	104404	9697	20785004	21216076	54806859795621
1575476	1556546	18930	4859	11088824	11504542	54806872630439
1689436	1669974	19462	6572	14077366	15040738	54806888568277
1091130	1073928	17202	5447	11829756	12191276	54806901659807
1707810	1690062	17748	3556	8508336	9030616	54806912046465
1395220	1376362	18858	4871	11155614	11352278	54806924767739
1527844	1509550	18294	8275	18030602	18285332	54806944498197
1626198	1607448	18750	11540	24361516	24914934	54806970658353
1396870	1376700	20170	18078	37083324	37760946	54807009310731
1204124	1186618	17506	1572	4134840	4558254	54807014821965
1409218	1378020	31198	11286	23951914	24191468	54807040354859
1631962	1614636	17326	9158	19704586	20156206	54807061863393
758484	739262	19222	156	1702342	1279344	54807064495919
772332	752820	19512	5590	12561812	12161048	54807078001663
1318778	1289158	29620	11788	24957468	25103638	54807104449887
1435334	1415010	20324	4822	11023424	11287012	54807117080355
2386362	2368868	17494	271	1935862	3137674	54807121577353
1392130	1373864	18266	2722	5867522	7044338	54807129009031
1583962	1564874	19088	8041	17339284	17873290	54807148106725
1392140	1372934	19206	16519	34359634	34638630	54807184030613
949114	930872	18242	16506	34394480	34168984	54807219545335
1713310	1695588	17722	19306	39998774	40533450	54807261429181
1646628	1629108	17520	18273	37242416	38401768	54807300490213
1390642	1371732	18910	16904	35030944	35406840	54807337083891
1723244	1704964	18280	2294	5966688	6518852	54807344948459
1436882	1417006	19876	11597	23876758	24839038	54807370433881
1521144	1491526	29618	7113	15617698	15955982	54807387744049
1322702	1304490	18212	412	2206810	2359048	54807391445553
707948	689584	18364	138	1665318	1193298	54807393990761
1504868	1486324	18544	3347	8076324	8408146	54807403743615
521006	502438	18568	15016	31022432	30761536	54807435459517
1504048	1403258	100790	6746	14881508	15204892	54807452016413
1628166	1493260	134906	9935	21259632	21708094	54807475076337
1273990	1255780	18210	8464	18316838	18410816	54807494842051
969438	951054	18384	18745	38870068	38667136	54807534853147
3645592	3626720	18872	2732	6849098	9319032	54807545519253
1348612	1331552	17060	1498	3846276	4552144	54807550886213
822310	803724	18586	4146	9673924	9323940	54807561553831
1410712	1392920	17792	6096	12931328	13811560	54807576068123
1635228	1616380	18848	6260	13917204	14363812	54807591792501
1539764	1521616	18148	9117	19250890	19982506	54807612754855
1399568	1382198	17370	17011	35293986	35629114	54807649620385
1542756	1523104	19652	15172	31315130	32095320	54807682649329
1676152	1657838	18314	7268	15885214	16420376	54807700382569
1278048	1259204	18844	14094	28966096	29677510	54807730798201
1209190	1191816	17374	5745	12871774	12906842	54807745051257
1686628	1666910	19718	17672	36735852	37240266	54807783648385
1390450	1370842	19608	18355	37691114	38309584	54807822901885
951452	932506	18946	16239	33477178	33637062	54807857502633
1597628	1573192	24436	19099	39578280	40004262	54807898850469
1433154	1413284	19870	8278	17582404	18197190	54807918037815
1599152	1579252	19900	12673	26733232	27153366	54807946541603
1779330	1760418	18912	17143	35554866	36273198	54807984047517
1406078	1386596	19482	11737	24225266	25089312	54808009850033
709754	692148	17606	1406	4192230	3730732	54808014923693
1483780	1464174	19606	15797	32971078	33285168	54808049549419
1530262	1512626	17636	10643	22495754	23024368	54808073755743
1548568	1531454	17114	8558	18477352	18876564	54808093953877
1559516	1542552	16964	4047	8964094	9861432	54808104648741
1692960	1669594	23366	10882	23252290	23664382	54808129765955
1566632	1548750	17882	12473	26331562	26725906	54808157835403
1118084	1100342	17742	1585	4433778	4500156	54808163558805
1539898	1522210	17688	12540	26461578	26828442	54808191732421
833858	816332	17526	14264	29924004	29574152	54808222662137
590562	571338	19224	7738	16860440	16275990	54808240284721
705210	687602	17608	12733	26845698	26378172	54808268007125
1612352	1593726	18626	14271	29920492	30362410	54808299712007
1425714	1408652	17062	12902	27193984	27442410	54808328503137
1283466	1265428	18038	3628	8482238	8748504	54808338440853
1611026	1592952	18074	8111	17600874	18042286	54808357824251
1412020	1392778	19242	10266	21879406	22153040	54808381287049
1425620	1407190	18430	14833	30998240	31301348	54808413882401
1444466	1423106	21360	15157	31848616	31966924	54808447346973
1435872	1418986	16886	5226	11839100	12097024	54808460794293
1539814	1496016	43798	16531	34466406	34809068	54808496971933
1680454	1662524	17930	13004	27387172	27895456	54808526214343
1440716	1421336	19380	3731	8211948	9114924	54808536038485
1695606	1677588	18018	4131	9591398	10165566	54808547497317
1148328	1129636	18692	3481	7786550	8318610	54808556603935
709706	692072	17634	10587	22556106	22093478	54808580041137
1486756	1390582	96174	4252	9885068	10199240	54808591584115
1406556	1389452	17104	3693	8769484	9005432	54808601931857
651750	634110	17640	8638	18524908	18135936	54808621280871
1197498	1180002	17496	2737	6858400	6879506	54808629508547
1009312	990456	18856	16854	35088884	34924988	54808665778097
1620380	1602260	18120	5262	11911118	12358600	54808679481081
1400934	1383188	17746	7312	16005568	16233888	54808697059469
1396990	1379376	17614	5533	12396194	12671640	54808711027413
1554638	1534178	20460	13593	28183670	28949648	54808740940801
2065738	2045882	19856	99	1451354	2471272	54808744629877
1681466	1661922	19544	14288	29108304	30468996	54808775591397
1666818	1647238	19580	14109	29242614	30092284	54808806672493
1476044	1456484	19560	12408	25533198	26500656	54808833853517
1018648	1000018	18630	8027	17299786	17285528	54808852343939
1451088	1427240	23848	9985	21349666	21628782	54808875316187
1507572	1489758	17814	15678	32738518	33071992	54808909734453
1488900	1470984	17916	7117	15619246	15935822	54808927013611
643184	623344	19840	12293	25971828	25437724	54808953803697
621120	603522	17598	16789	34959522	34406598	54808989555325
1397328	1377916	19412	10914	23207652	23432584	54809014331357
680246	643766	36480	19153	39556492	39193720	54809054739957
1526162	1507752	18410	1515	4414170	4765272	54809060851797
1507902	1490404	17498	11040	22984226	23796084	54809085515361
1391474	1373870	17604	19496	40389506	40592860	54809127468579
1462378	1443978	18400	3415	7847634	8500920	54809136949433
1121392	1041638	79754	9104	19052980	19537152	54809157298281
1392796	1374106	18690	13390	27664912	28381080	54809186527457
1581620	1562596	19024	13186	27877156	28162126	54809216158057
1727696	1695932	31764	14864	30986260	31664532	54809249043877
1326904	1309872	17032	13823	28663594	29180964	54809279208821
1688264	1670520	17744	9098	19579294	20093004	54809300648047
749746	732110	17636	15155	31555800	31268268	54809333125235
1512820	1487522	25298	13875	29128592	29470494	54809363938101
1175322	1157994	17328	9861	20767650	21109918	54809386052437
1508116	1488392	19724	7928	17238598	17571706	54809404971035
