# Loop @ Start frequency 3400000Hz took 707.99 cycles
# Interval [707 ; 709]
# Q1 : 706 ; Q3 : 708
# Loop @ Target frequency 1300000Hz took 1642.76 cycles
# Interval [1636 ; 1649]
# Q1 : 1630 ; Q3 : 1634
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
248326	223590	24736	8567	818946358	212494522	81565224383707
1176242	1161662	14580	14812	31504672	30966188	81565257391371
1179648	1164092	15556	5907	13578312	13159536	81565272476697
918070	900202	17868	18036	37602324	37154798	81565311322813
1251372	1162920	88452	14996	31585314	31410922	81565344493857
1174804	1160044	14760	2463	6614062	6269560	81565352611229
372306	357010	15296	9156	20090506	18852732	81565373402537
941974	879648	62326	8982	19564190	19075152	81565394238045
1176818	1160128	16690	9075	19880854	19495408	81565415630753
1177830	1162548	15282	3998	9744136	9343788	81565426887681
1197698	1178194	19504	8427	17923994	18222584	81565446341419
1178828	1163406	15422	7191	15683822	15735192	81565463536389
1186878	1168538	18340	14544	30856184	30445176	81565495916193
566282	550556	15726	8891	19263848	18520014	81565516077445
1176772	1161186	15586	14101	30199766	29548974	81565547783659
889018	871684	17334	3295	7983920	7649618	81565556993857
1081856	1066364	15492	17535	36771790	36322930	81565595178393
1174368	1158652	15716	5027	11717910	11399162	81565608400777
309744	273592	36152	12511	26757732	25502648	81565635799925
1172106	1156954	15152	9626	21043528	20598590	81565658352127
614814	599240	15574	9697	20932868	20178954	81565680230659
1176352	1160644	15708	4859	11620954	11066792	81565693360113
652376	635502	16874	6572	15098778	13968196	81565709441987
570202	554720	15482	5447	12812122	11636140	81565723155731
1182774	1165830	16944	3556	8866264	8465736	81565733536211
1174264	1158812	15452	4871	11586578	11088014	81565746635601
730182	712630	17552	8275	18515802	17451734	81565766213371
815278	797726	17552	11540	24995746	24066792	81565792356275
1189938	1174798	15140	18078	37933622	37516338	81565831810613
1179200	1163772	15428	1572	4715366	4494782	81565838043817
624348	607176	17172	11286	24127076	23371224	81565863126777
1191556	1175892	15664	9158	20029208	19678488	81565884677805
1021542	867208	154334	156	2162872	1505922	81565888193767
1177298	1161656	15642	5590	12269764	12528364	81565901971427
1178928	1162938	15990	11788	25182976	24929700	81565928664847
1193002	1177798	15204	4822	11476106	11007596	81565941664805
1169262	1148168	21094	271	2156522	1882394	81565945327047
1305874	1163706	142168	2722	6814644	6939552	81565953779583
543064	521958	21106	8041	17729620	16795248	81565972390605
1174828	1157064	17764	16519	34951102	34383324	81566008848097
443530	427322	16208	16506	34276988	33626922	81566043900513
1181264	1162468	18796	19306	40324164	39968378	81566085737909
1172812	1156400	16412	18273	38235724	37889594	81566125485131
1176572	1160564	16008	16904	35178010	35155522	81566162172641
807412	792128	15284	2294	6466166	5566194	81566169777411
1177646	1161980	15666	11597	24917738	24542326	81566196209411
838858	813740	25118	7113	15906446	15235802	81566213286499
915512	899018	16494	412	2628146	1909776	81566217161133
931976	914860	17116	138	1965562	1379454	81566220389577
781714	766402	15312	3347	8060060	7646822	81566229561231
1177130	1161610	15520	15016	31682200	31379234	81566262758387
1186704	1169074	17630	6746	15237928	14848836	81566279513811
270914	255368	15546	9935	21544040	20312042	81566301659847
272938	255694	17244	8464	18507538	17373108	81566320879739
1180380	1164294	16086	18745	39269634	38840574	81566361660881
1172288	1157396	14892	2732	6778510	6806902	81566369948697
1179838	1163686	16152	1498	4595330	4349688	81566376054227
1215972	1160328	55644	4146	9345698	9679636	81566386946257
1179992	1161988	18004	6096	13815038	13542458	81566402272161
388390	372014	16376	6260	14374146	13079008	81566417366439
1174096	1158616	15480	9117	19876408	19579874	81566438747979
708592	692074	16518	17011	35587584	34902164	81566475376177
1108348	1092860	15488	15172	32244734	31623004	81566509059681
1178226	1159626	18600	7268	16142580	15884886	81566526711383
1187128	1171692	15436	14094	29669062	29546560	81566557898069
1174432	1159362	15070	5745	13189588	12838608	81566572593239
293708	276550	17158	17672	36667750	35807776	81566609886229
1178088	1162276	15812	18355	38446856	38084224	81566649842281
652514	637374	15140	16239	34254628	33305032	81566685086439
744388	728644	15744	19099	39965894	39114308	81566726127989
1176418	1161364	15054	8278	18501700	17902430	81566746137879
1179352	1163262	16090	12673	27073566	26695256	81566774722577
1176906	1158790	18116	17143	36244968	35633296	81566812475817
572314	556870	15444	11737	25168902	24216326	81566838547035
709014	686380	22634	1406	4666576	3692538	81566844253659
1005320	989118	16202	15797	33443058	32770860	81566879033721
954418	938890	15528	10643	22955158	22411110	81566903274611
331808	316234	15574	8558	18596718	17619514	81566922533879
829694	814018	15676	4047	10034144	9095734	81566933727651
1176090	1158914	17176	10882	24507524	23111320	81566959757833
403706	385476	18230	12473	26544030	25521210	81566987043269
627748	612060	15688	1585	4776868	3969082	81566992777245
1176978	1160414	16564	12540	26688772	26428482	81567020974259
1172358	1156344	16014	14264	30095446	29870156	81567052573399
1152094	1125994	26100	7738	16934828	16798322	81567070990979
1174204	1158526	15678	12733	27383616	26811006	81567099880853
1087182	1071486	15696	14271	30094190	29800418	81567131393573
355182	338632	16550	12902	27454084	26330430	81567159535347
1176676	1161724	14952	3628	9179118	8604736	81567170230747
1180128	1162116	18012	8111	17645996	17576072	81567189388085
1180384	1160440	19944	10266	22511608	21884000	81567213410153
826982	812108	14874	14833	31183436	30664366	81567245750497
1172378	1156682	15696	15157	32286460	31658362	81567279545611
1173978	1157134	16844	5226	12166426	11797704	81567293223107
1178364	1162418	15946	16531	34650740	34411706	81567329383207
192260	169302	22958	13004	27778126	26371104	81567357684861
1183074	1167506	15568	3731	9414434	8818848	81567368621617
1174558	1158330	16228	4131	10029990	9607946	81567380157007
1171232	1155954	15278	3481	8795970	8304034	81567390455613
1178100	1162340	15760	10587	23014418	22524316	81567414980279
888796	872632	16164	4252	10399850	9564976	81567426600873
1182732	1157848	24884	3693	9334264	8739616	81567437448721
1186212	1169856	16356	8638	19041980	18633918	81567458008033
1177488	1160508	16980	2737	7457944	6821718	81567466975267
1177706	1160756	16950	16854	35417464	35057326	81567503901165
371372	353468	17904	5262	12196892	11069938	81567516800715
715258	699080	16178	7312	16555138	15511624	81567534402481
1174848	1158812	16036	5533	12963032	12411430	81567548871961
464220	447100	17120	13593	29204088	27821440	81567578871101
1047972	1032706	15266	99	1829542	1416114	81567582078827
958366	943220	15146	14288	30670664	29705252	81567614038961
1175298	1157580	17718	14109	30050376	29564276	81567645595633
1171404	1155596	15808	12408	26537942	26158802	81567673651513
1178682	1163002	15680	8027	17260894	17404876	81567692428651
628584	612634	15950	9985	21626660	20768834	81567715014399
1186624	1170110	16514	15678	33087478	32714230	81567749618131
188428	171970	16458	7117	15899212	14594054	81567766043807
1173490	1157194	16296	12293	26338292	25930858	81567793886673
1172580	1156380	16200	16789	35323860	34923732	81567830715481
1185102	1169282	15820	10914	23758778	23184440	81567855991783
1178136	1161976	16160	19153	39854162	39656954	81567897354509
1176574	1160402	16172	1515	4827654	4378188	81567903690885
726238	710236	16002	11040	24046836	22981640	81567928802355
594864	579200	15664	19496	40644844	39758198	81567970372633
766392	751048	15344	3415	8505686	7767800	81567979974113
716488	697822	18666	9104	19579428	19111404	81568000602013
1097120	1059768	37352	13390	28767498	28049120	81568030798451
727360	711104	16256	13186	28022742	27271352	81568059906435
1181016	1165988	15028	14864	31489808	31089182	81568092909817
1189580	1157744	31836	13823	29532620	29006260	81568123964137
1176566	1159834	16732	9098	19599800	19544462	81568145072999
1218998	1161058	57940	15155	31682356	31699898	81568178305131
315874	299492	16382	13875	29597630	28236944	81568208549761
1177984	1160826	17158	9861	21395022	21071062	81568231455715
617770	601940	15830	7928	17537934	16645404	81568249943339
965424	945508	19916	110	1930522	1359240	81568253170993
1181130	1159678	21452	11900	24996078	25152674	81568279678471
367424	352082	15342	9545	20865680	19628750	81568301248583
774540	759100	15440	3369	8373504	7683208	81568310727645
985754	970208	15546	7297	16252268	15750918	81568328296707
606222	590518	15704	19406	40567704	39588694	81568369800839
634828	619426	15402	5787	13381200	12382316	81568384153347
1096864	1080374	16490	8521	18833960	18310372	81568404415229
1319988	1304556	15432	2005	5730398	5500960	81568411796293
1176216	1160026	16190	16318	34380608	33984970	81568447734241
1174784	1158768	16016	14294	30139758	29934234	81568479390577
1176004	1160704	15300	5824	13169362	12996322	81568494065669
1180096	1163936	16160	16278	34248762	33905974	81568529825453
1017482	884198	133284	17680	37163684	36552348	81568568344565
1173090	1157376	15714	11094	23728434	23533290	81568593577963
934620	918640	15980	18047	37949622	37199340	81568632797161
1179904	1162444	17460	10162	22204818	21675342	81568656512259
228688	211060	17628	1420	4605900	3240096	81568661677027
440286	424770	15516	16616	35205350	33846598	81568697662315
1156890	1136442	20448	4621	10892416	10570202	81568710048859
1189730	1165034	24696	6886	15541342	15131798	81568727111553
514382	497852	16530	19189	40175984	39062682	81568768133847
1176150	1160454	15696	19642	41150164	40630866	81568810791327
1174756	1157786	16970	12200	26373008	25745948	81568838671685
1047700	1031732	15968	4100	9983484	9419020	81568850034561
1174472	1158974	15498	8859	19299378	19066712	81568870839153
753866	736798	17068	16704	35324612	34333008	81568907248267
1184306	1159134	25172	14153	30330370	29660496	81568939094453
905312	889460	15852	3768	9152188	8612440	81568949483373
1178958	1163146	15812	17718	37235350	36785644	81568988228727
974722	959082	15640	8756	19201360	18657752	81569008736327
486202	410752	75450	1692	5288516	4040904	81569014841747
1249308	1161230	88078	9481	20540232	20381686	81569036962687
861462	845580	15882	1863	5519928	4758028	81569043674789
1174532	1158086	16446	12575	26231004	26495488	81569071417633
1179078	1163048	16030	6574	14564372	14497666	81569087492051
188396	172230	16166	19855	41127802	40069240	81569129141017
218338	202422	15916	5044	11764942	10477806	81569141454899
1178016	1162406	15610	19716	41354906	40780422	81569184318219
1095256	1079240	16016	3488	8672360	8242152	81569194417377
327406	309678	17728	7537	16856612	15572664	81569211931395
599524	584058	15466	18773	39442614	38375806	81569252305171
1178178	1161848	16330	5320	12315508	11988858	81569266129719
1178358	1163206	15152	1013	3808172	3376314	81569271447867
1173118	1158260	14858	613	2990360	2570000	81569275942617
289146	272866	16280	14795	30948050	30049762	81569307510367
1184356	1167456	16900	16000	33948618	33354856	81569342981329
341948	327044	14904	7181	16147428	14875642	81569359802753
1176372	1159710	16662	4979	11824490	11304974	81569373145091
1174834	1158034	16800	16799	35510874	34942670	81569410161263
1186290	1170432	15858	11483	24734282	24322960	81569436414493
1310964	1160242	150722	11306	26013012	24093442	81569464068971
231344	205348	25996	11083	24072804	22568874	81569488705139
1178658	1159280	19378	2629	7180560	6609162	81569497396419
1176002	1158866	17136	5847	13278546	13042054	81569512183607
1172954	1157264	15690	18437	38568398	38218566	81569552258251
1178582	1162508	16074	7324	16569270	15998856	81569570337749
1177180	1159938	17242	12335	26211610	26017736	81569598058127
1064972	1049114	15858	4813	11153828	10863964	81569610607761
1182454	1163852	18602	19546	40920094	40445024	81569653040977
1186874	1168764	18110	13083	27762094	27523088	81569682321161
569338	553764	15574	9348	20186984	19436856	81569703409447
1195902	1180742	15160	1639	5184474	4644198	81569710121971
855688	774516	81172	19708	40774306	40443076	81569752083411
1181244	1163772	17472	13991	29569708	29333270	81569783164713
1177132	1160560	16572	10895	23315000	23137530	81569807988435
1175192	1159032	16160	10130	22199478	21606680	81569831694309
858132	840752	17380	13547	28850010	28123300	81569861741001
1254998	1161616	93382	17350	36358470	36125934	81569899691549
1180320	1163920	16400	8611	18959420	18572954	81569920170733
1174800	1159422	15378	13071	27597712	27489938	81569949274993
695360	678300	17060	13121	27910846	27109514	81569978213291
815088	788796	26292	13537	28796400	28059796	81570008156773
1178088	1159546	18542	11541	24916106	24430754	81570034581601
555136	539094	16042	9851	21120412	20428700	81570056588469
1175328	1160448	14880	3520	8790600	8386318	81570066886595
1174736	1157764	16972	3752	9142544	8849220	81570077535921
1220688	1159074	61614	6926	15268192	15244274	81570094373687
765390	748604	16786	14751	31317438	30438608	81570126788183
1174062	1158412	15650	12108	26161678	25561380	81570154454613
1178054	1161880	16174	13409	28635220	28168176	81570184600353
484414	469236	15178	6582	14999708	13819046	81570200416619
1175906	1161062	14844	1307	4296882	3960926	81570206220063
1171136	1155600	15536	18269	38480214	37879920	81570246200937
1183668	1166026	17642	6444	14574584	14242728	81570262291389
1180052	1162848	17204	5367	11815870	12085740	81570275617653
1176302	1160106	16196	14526	30915676	30402470	81570308047659
946960	916244	30716	16010	33429542	33139254	81570342756041
536266	519704	16562	18218	38177964	37143944	81570381801035
1176728	1161274	15454	9507	20872192	20361392	81570404187293
1284906	1161298	123608	3592	9233570	8641284	81570415037423
1241426	1165366	76060	9429	20833376	20272450	81570437443733
1175082	1160426	14656	2363	6302278	6073622	81570445251325
1173064	1157848	15216	8697	19046786	18738350	81570465801183
1171158	1155580	15578	10765	23092310	22872950	81570490405079
1179790	1164272	15518	13037	27993992	27424186	81570519911377
723850	708182	15668	11186	24190288	23266494	81570545157327
1172962	1157966	14996	2722	7247574	6788344	81570553908371
1175784	1159462	16322	12586	26668060	26519406	81570582082943
1178334	1163394	14940	12562	26999728	26472518	81570610593275
1173548	1156704	16844	18618	38936530	38579990	81570651034171
986716	968894	17822	15410	32553992	31978400	81570684905081
799058	782604	16454	9858	21484068	20685202	81570707519241
1174244	1158538	15706	6582	14842898	14510040	81570723874315
561644	546256	15388	8846	19113948	18426154	81570743881525
1174628	1158756	15872	3808	9532262	8961800	81570754920445
1174472	1158492	15980	5616	12474426	12577946	81570768900165
507256	491690	15566	15730	33241842	32137458	81570802980685
878356	859164	19192	4975	11821092	10998998	81570816011693
1175992	1158740	17252	18171	38245628	37690348	81570855764993
1175522	1158428	17094	18263	38174634	37871008	81570895454223
1207806	1190170	17636	13658	29146044	28694054	81570926140275
690074	671858	18216	17970	37849104	36801148	81570965010229
204892	173778	31114	1899	5661284	4173752	81570971207011
1179284	1160502	18782	19467	40837534	40284522	81571013555057
1172374	1155926	16448	14256	29927086	29855740	81571044991893
997318	980300	17018	16769	35256750	34705680	81571081576543
1189490	1172158	17332	4276	10299750	9912478	81571093408613
559056	540688	18368	10301	22308246	21332686	81571116608033
746716	730132	16584	13424	28414858	27764966	81571146101427
414440	397330	17110	2861	7522558	6307226	81571154369107
1175186	1158636	16550	9112	20035530	19570600	81571175911663
1177776	1162580	15196	4151	9764900	9651684	81571187184161
1173336	1157620	15716	17256	36166760	35856878	81571224855457
246186	230090	16096	19034	39817466	38484878	81571265249939
1131116	1115120	15996	9903	21580318	21109098	81571288292715
989310	972992	16318	1688	5042208	4535922	81571294654873
1008874	993376	15498	17109	36140870	35397926	81571332136139
1171188	1155634	15554	11608	25145754	24557246	81571358784229
1009714	992400	17314	15962	33602620	33103392	81571393728473
402920	387698	15222	3338	8289966	7251112	81571402759607
1171856	1156266	15590	10735	23053578	22812940	81571427316373
383606	368256	15350	11482	24790140	23518142	81571452821925
1174252	1158636	15616	13071	27769594	27487254	81571482096353
1285116	1165286	119830	14014	29734022	29483824	81571513446937
1183674	1165048	18626	1443	4748524	4240842	81571519709473
616874	602088	14786	11781	25387248	24353076	81571546050453
1173616	1158836	14780	12561	26837342	26467234	81571574392953
584554	568520	16034	12849	27444942	26452796	81571602753697
1175060	1159520	15540	16244	34321854	33835142	81571638581891
1266990	1250252	16738	17967	37692982	37372208	81571677873531
1175636	1157898	17738	1604	5019804	4554700	81571684400121
1189254	1163522	25732	39	1261202	1439720	81571687181719
1177666	1161690	15976	6695	14954124	14738034	81571703643995
1173350	1157848	15502	14374	30144026	30091710	81571735301429
1179828	1163820	16008	13531	28554934	28413424	81571765367687
645544	626860	18684	17513	36553756	35841630	81571802899093
1173246	1157644	15602	7483	16636536	16311008	81571821038645
1173640	1157896	15744	9695	21217092	20735252	81571843760869
1181584	1164264	17320	2080	5880010	5516360	81571851158737
1088634	1073710	14924	9985	21718504	21230000	81571874297619
1179208	1164248	14960	14703	31245352	30755614	81571907053937
1113250	1096962	16288	18532	38661054	38348608	81571947159651
423806	408964	14842	17604	36952450	35802388	81571984865907
