# Loop @ Start frequency 3300000Hz took 708.68 cycles
# Interval [708 ; 710]
# Q1 : 706 ; Q3 : 708
# Loop @ Target frequency 1400000Hz took 1521.84 cycles
# Interval [1517 ; 1527]
# Q1 : 1514 ; Q3 : 1516
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1192428	1161648	30780	3567	1222121800	220970150	1126745838442801
982520	964638	17882	4812	11501774	10792888	1126745851254793
1168902	1152144	16758	907	3280418	3168458	1126745856037113
566472	549774	16698	3036	7826822	6824598	1126745864758637
385082	364326	20756	4996	11606386	10562464	1126745877077121
1200344	1176314	24030	2463	6602016	6312448	1126745885208245
1183148	1167020	16128	4156	10128772	9668182	1126745896840939
932078	881626	50452	3982	9698316	9068814	1126745907785783
1115602	1099998	15604	4075	9940108	9438482	1126745919157219
1004128	946554	57574	3998	9942736	9173122	1126745930423665
1090422	1073254	17168	3427	8306296	8118468	1126745940135897
227666	210612	17054	2191	6131268	4782444	1126745946809085
389600	374364	15236	4544	10722786	9650660	1126745958236909
264092	246436	17656	3891	9086782	8219396	1126745967903361
749966	734092	15874	4101	9695382	9124704	1126745978663133
959026	866576	92450	3295	8410474	7721848	1126745988348117
1278556	1164068	114488	2535	6774074	6522330	1126745996715601
1284080	1183894	100186	27	1668674	1510238	1126745999983105
1302510	1211592	90918	2511	6458514	6511150	1126746008075589
1177240	1158932	18308	4626	11343584	10614956	1126746020924167
1179744	1160718	19026	4697	11039916	10757994	1126746033470609
388834	370548	18286	4859	11560350	10292484	1126746045747601
365892	347824	18068	1572	5044148	3696446	1126746051484617
585400	569430	15970	447	2844746	1651770	1126746055237963
448472	430876	17596	3556	8539818	7746382	1126746064546973
459068	443236	15832	4871	11440736	10374766	1126746076761477
1279964	1264736	15228	3275	8458464	8003564	1126746086814321
610430	595248	15182	1540	4693638	3863954	1126746092432709
1160306	1132272	28034	3078	7888042	7489748	1126746101794539
1181990	1164012	17978	1572	4902108	4499102	1126746108194171
1176398	1159038	17360	1286	4049188	3922568	1126746113734671
970612	953956	16656	4158	10114380	9470984	1126746125146769
1182468	1165656	16812	156	2201058	1680448	1126746128862597
1193012	1169628	23384	590	2227212	2557812	1126746132609089
1176760	1159376	17384	1788	5395704	4938408	1126746139508797
219956	180568	39388	4822	11568718	10049662	1126746151623899
898240	879772	18468	271	2274640	1626306	1126746155124183
1300876	1284834	16042	2722	6714766	6930328	1126746163472653
1310568	1294126	16442	3041	7758716	7568570	1126746172856263
1179662	1162258	17404	1519	4802754	4391078	1126746179153303
1174346	1158824	15522	1506	4602342	4358390	1126746185251921
659268	643870	15398	4306	10213664	9444882	1126746196448785
0	0	0	0	0	0	0
1184478	1167652	16826	1904	5658534	5165634	1126746213201983
682592	650934	31658	2294	6200012	5455036	1126746220416037
366690	348720	17970	1597	4584036	3744980	1126746225694059
