# Loop @ Start frequency 1000000Hz took 2140.66 cycles
# Interval [2134 ; 2147]
# Q1 : 2120 ; Q3 : 2124
# Loop @ Target frequency 1500000Hz took 1420.93 cycles
# Interval [1416 ; 1426]
# Q1 : 1412 ; Q3 : 1416
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
677092	625768	51324	3567	481679138	480893220	1120383818668197
1199600	1165188	34412	4812	11246918	11257548	1120383831432589
543092	510436	32656	907	3267012	2788328	1120383835556117
218082	174638	43444	3036	7691168	6725082	1120383843782983
388764	355416	33348	4996	11616434	10812360	1120383856105549
1323656	1157736	165920	2463	6293160	6681896	1120383864034477
1193812	1160592	33220	4156	9584556	9939072	1120383875126525
1194454	1158182	36272	3982	9409750	9590850	1120383886043019
1198418	1165460	32958	4075	9692240	9803786	1120383897246979
1186078	1154246	31832	3998	9558054	9616670	1120383908304511
1191756	1160928	30828	3427	8253810	8490418	1120383918062149
645378	613022	32356	2191	6138268	5468726	1120383925157707
1188326	1156534	31792	4544	10707366	10707842	1120383937366487
784854	753814	31040	3891	9409420	8999146	1120383947872935
1137500	1103604	33896	4101	9824162	9773068	1120383959147549
459176	427006	32170	3295	8206074	7482306	1120383968125159
1273890	1158026	115864	2535	6361656	6776722	1120383976073787
1189112	1157868	31244	27	1696608	1690824	1120383979272965
1192140	1159884	32256	2511	6437796	6645880	1120383987213965
733148	701636	31512	4626	10556168	10417636	1120383998814917
769098	737410	31688	4697	11016438	10595954	1120384010912679
1192044	1159916	32128	4859	11400310	11342044	1120384023817581
1199758	1165270	34488	1572	4623046	4775678	1120384029957307
1191034	1159682	31352	447	2345948	2518026	1120384033806507
242764	189236	53528	3556	8514164	7785556	1120384042882181
1188072	1155728	32344	4871	11368480	11363828	1120384055751413
1193854	1160730	33124	3275	8061966	8176954	1120384065331067
1186028	1153624	32404	1540	4503570	4697732	1120384071333173
830916	797760	33156	3078	7496354	7418028	1120384079972065
1189732	1157384	32348	1572	4784908	4777760	1120384086258801
569100	536770	32330	1286	4198970	3583860	1120384091340161
1203482	1170598	32884	4158	9929894	9950870	1120384102786383
926670	894198	32472	156	1841430	1671386	1120384105867571
1188462	1155314	33148	590	2808306	2802074	1120384110177315
1193812	1155844	37968	1788	5203870	5212572	1120384116886653
896902	860806	36096	4822	11305406	10973786	1120384129401627
