# Loop @ Start frequency 2100000Hz took 1012.43 cycles
# Interval [1011 ; 1014]
# Q1 : 1008 ; Q3 : 1012
# Loop @ Target frequency 3500000Hz took 707.73 cycles
# Interval [707 ; 709]
# Q1 : 706 ; Q3 : 708
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
574542	544430	30112	8567	265679316	265720370	49673083362915
653196	633810	19386	14812	31018054	30500088	49673115207311
814784	793816	20968	5907	13213786	12852608	49673129406803
1722018	1701320	20698	18036	37486418	38015706	49673168785749
578812	538648	40164	14996	30763286	30797460	49673200300303
1728454	1664276	64178	2463	6327730	6881830	49673208527871
1399428	1375530	23898	9156	19075210	19935764	49673229174657
1500416	1480488	19928	8982	19342260	19688058	49673250189475
1465692	1445876	19816	9075	19099566	19838772	49673270926619
1533526	1514628	18898	3998	9468428	9752832	49673282100355
1539516	1521024	18492	8427	17730352	18617142	49673301542177
1019644	1000264	19380	7191	15777340	15625626	49673318514205
958308	938950	19358	14544	30548024	30269638	49673350192609
650824	621344	29480	8891	19186138	18661730	49673370200953
1487010	1468156	18854	14101	29600500	29915486	49673401460879
874030	854070	19960	3295	7642468	7689202	49673410149837
1255528	1236026	19502	17535	36476158	36553412	49673448053075
1467526	1448874	18652	5027	11454218	11746714	49673461146913
1666850	1648168	18682	12511	26352194	26913014	49673489338013
1417818	1381378	36440	9626	20256714	20892556	49673511184813
1478640	1460674	17966	9697	20796100	21096242	49673533631469
1398664	1378046	20618	4859	11134300	11340048	49673546339373
1585924	1564682	21242	6572	14533140	14958208	49673562630553
876550	858152	18398	5447	12299912	11994976	49673575979073
1559692	1540756	18936	3556	8513338	8895736	49673586224073
1046816	1028554	18262	4871	11081742	11017406	49673598525161
1693390	1675416	17974	8275	17603570	18470840	49673617993545
1496516	1478214	18302	11540	24494334	24799730	49673644156473
1676344	1658328	18016	18078	37563188	38059420	49673683568013
1517910	1497492	20418	1572	4549882	4885228	49673689811499
976526	957094	19432	11286	23909932	23771196	49673714869941
1443438	1422684	20754	9158	19712954	19983292	49673736198649
693962	675490	18472	156	1330942	1233970	49673738395233
