# Loop @ Start frequency 2800000Hz took 759.46 cycles
# Interval [758 ; 761]
# Q1 : 756 ; Q3 : 758
# Loop @ Target frequency 1100000Hz took 1944.50 cycles
# Interval [1938 ; 1951]
# Q1 : 1926 ; Q3 : 1930
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1180982	1159412	21570	8567	223536258	223153414	67106802840815
1411466	1256270	155196	14812	31009486	31210888	67106835643023
802004	786782	15222	5907	13521458	12792372	67106850353463
1179088	1163134	15954	18036	37855900	37426290	67106889768255
1186806	1161438	25368	14996	31834918	31358380	67106923177715
465380	448788	16592	2463	6626554	5569450	67106930652215
1181334	1165692	15642	9156	20023190	19671328	67106952240023
1177504	1160172	17332	8982	19640764	19320670	67106973440001
902774	885434	17340	9075	20076510	19230692	67106994801139
1183672	1167898	15774	3998	9869156	9361014	67107006237935
1182452	1167022	15430	8427	18383646	18218526	67107026186533
1184158	1163890	20268	7191	16015268	15746046	67107043768093
1178368	1159566	18802	14544	30915916	30445476	67107076252081
1218840	1165910	52930	8891	19313932	19184112	67107097168395
1198000	1167948	30052	14101	29763756	29578544	67107128513295
1183870	1167172	16698	3295	8464934	7953574	67107138545093
482444	464458	17986	17535	36493924	35731948	67107175905387
1181090	1164570	16520	5027	11848316	11418488	67107189325945
1177536	1159932	17604	12511	26641384	26378688	67107217528135
1176076	1160118	15958	9626	21047686	20607924	67107240134495
1189222	1167294	21928	9697	21027460	20766462	67107262733441
1182072	1165994	16078	4859	11386160	11079780	67107275684215
992348	976324	16024	6572	15003318	14316790	67107292068343
1185296	1167198	18098	5447	12658826	12259546	67107306295177
1202276	1173184	29092	3556	9146302	8494334	67107317026071
1187552	1170170	17382	4871	11722402	11109354	67107330319235
1176016	1160662	15354	8275	18393896	17905172	67107350271547
1166668	1145930	20738	11540	24251670	24427244	67107376072005
1177208	1160172	17036	18078	37989410	37512668	67107415620263
879134	863104	16030	1572	4846288	4203722	67107421736129
526858	509704	17154	11286	24489134	23281362	67107447141641
1185636	1166690	18946	9158	20248986	19681402	67107468960241
1154618	1139446	15172	156	1777372	1647592	67107472275213
1176204	1159984	16220	5590	12566722	12556124	67107486400659
1181964	1166380	15584	11788	24859890	24942138	67107512826241
647518	630980	16538	4822	11626420	10471506	67107525483699
1187288	1170052	17236	271	2306650	1910178	67107529359409
391290	373992	17298	2722	7127096	6015890	67107537259351
1177800	1162174	15626	8041	17696890	17439410	67107556515739
1096334	1079282	17052	16519	34842488	34314030	67107592837965
1178100	1160946	17154	16506	34707176	34369428	67107629105441
1028258	1011272	16986	19306	40269818	39819414	67107670787255
738780	722934	15846	18273	38277770	37465120	67107710187511
767386	750308	17078	16904	35641940	34755010	67107746977801
1177382	1161590	15792	2294	6428920	5945386	67107754967761
856294	839996	16298	11597	24534414	24231096	67107780740415
1203284	1175108	28176	7113	15927392	15608232	67107798253307
1179104	1163826	15278	412	2643826	2184428	67107802459095
1184200	1166600	17600	138	2006392	1639554	67107806032161
471296	453788	17508	3347	7786878	7345546	67107814673161
1186464	1168262	18202	15016	31778380	31398506	67107848020071
1182844	1166736	16108	6746	15134020	14856956	67107864718321
347730	330146	17584	9935	21631460	20396550	67107887079031
1188804	1172158	16646	8464	18882570	18297232	67107907533965
181010	164408	16602	18745	39218564	37849422	67107947315845
1193344	1176642	16702	2732	7344906	6836488	67107956238121
1046422	1029424	16998	1498	4857796	4223274	67107962525129
362862	347628	15234	4146	9946618	8834256	67107973217503
251726	233100	18626	6096	13868434	12622612	67107987720263
1180570	1163610	16960	6260	14134834	13880882	67108003426955
1177434	1160744	16690	9117	19998298	19591964	67108024985675
1221710	1163108	58602	17011	35254076	35423412	67108061843631
0	0	0	0	0	0	0
1187380	1171516	15864	7268	16301634	15904306	67108113434935
1185768	1166838	18930	14094	29669330	29552840	67108144673041
1182438	1165866	16572	5745	13409114	12853388	67108159647601
1068008	1050868	17140	17672	36781590	36591354	67108197888893
564500	547712	16788	18355	38330398	37453488	67108237173063
1184714	1169038	15676	16239	34369216	33843540	67108273110975
1177802	1161982	15820	19099	39962710	39555814	67108314635743
579570	562224	17346	8278	18100182	17315904	67108333699339
942556	923164	19392	12673	27011278	26468404	67108362044115
1086828	1069292	17536	17143	36016498	35556882	67108399530081
1189560	1165200	24360	11737	25423428	24843120	67108426526615
1179856	1161898	17958	1406	4547196	4173090	67108432636871
1180216	1161608	18608	15797	32983912	32954928	67108467184943
1216250	1200240	16010	10643	23014044	22682088	67108491798801
1174530	1158980	15550	8558	18671034	18470950	67108512032925
987920	972056	15864	4047	9898178	9262612	67108523302201
1178406	1161664	16742	10882	23691114	23121664	67108548552503
1186440	1169292	17148	12473	26573724	26312394	67108576696325
1179398	1163256	16142	1585	4629640	4529026	67108582887235
825168	805722	19446	12540	26591202	26084432	67108610686765
1179470	1163570	15900	14264	30300070	29887796	67108642548835
815910	799988	15922	7738	17202634	16471666	67108660951109
1183572	1166408	17164	12733	27448516	26829418	67108689966533
1204724	1185294	19430	14271	30456908	29926642	67108722017463
1175136	1158990	16146	12902	27471186	27162602	67108751045655
1175848	1160120	15728	3628	9038748	8612964	67108761644259
1190354	1172602	17752	8111	17755972	17592338	67108780980619
1180534	1162886	17648	10266	22128256	21892218	67108804672649
229364	210450	18914	14833	30942068	30075460	67108836227183
1191876	1160510	31366	15157	32030538	31685158	67108869833449
1177126	1161216	15910	5226	12415516	11809822	67108883818575
1052298	1035560	16738	16531	35166770	34293592	67108920427481
1189816	1172494	17322	13004	27677006	27377150	67108949676751
970462	954310	16152	3731	9006298	8612136	67108960043321
1180490	1164470	16020	4131	10083938	9622022	67108971691255
1177826	1160660	17166	3481	8182694	8320428	67108981440521
963920	947478	16442	10587	23026706	22317476	67109005814413
684342	669080	15262	4252	10150946	9369582	67109017038755
