# Loop @ Start frequency 2300000Hz took 924.06 cycles
# Interval [923 ; 925]
# Q1 : 920 ; Q3 : 924
# Loop @ Target frequency 1100000Hz took 1939.85 cycles
# Interval [1936 ; 1943]
# Q1 : 1926 ; Q3 : 1930
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1183162	1157090	26072	8567	254944714	254467180	53126897743085
1192958	1164714	28244	14812	31350664	31026946	53126930674635
381884	363048	18836	5907	13679948	12404336	53126945119419
1208516	1159510	49006	18036	38032538	37489042	53126984743761
1185656	1166966	18690	14996	31785534	31386796	53127018096613
1180538	1162404	18134	2463	6579738	6316612	53127026259415
1209888	1189666	20222	9156	20026650	19731070	53127047888613
1194648	1174118	20530	8982	19822736	19366648	53127069289219
1196874	1179288	17586	9075	19984304	19555990	53127090853289
1182264	1161148	21116	3998	9930216	9389002	53127102348555
1186472	1158706	27766	8427	18529030	18254062	53127122456613
1176962	1158434	18528	7191	16244198	15769172	53127140260943
265574	245990	19584	14544	30869892	29567552	53127171789335
854696	835666	19030	8891	19428664	18846866	53127192456267
811286	793376	17910	14101	29891834	29226100	53127223540623
1308046	1281942	26104	3295	8477420	8108282	53127233707307
1175574	1154602	20972	17535	36751128	36454670	53127272016503
1181078	1161368	19710	5027	11748230	11444500	53127285327903
379290	360114	19176	12511	26721266	25609258	53127312811925
1176400	1157552	18848	9626	21095286	20636132	53127335466859
1194982	1163772	31210	9697	21178764	20799088	53127358223275
559844	542518	17326	4859	11755342	10487628	53127370930001
1176932	1158588	18344	6572	15189840	14529734	53127387678995
1178660	1160862	17798	5447	12612216	12281496	53127401852565
1120214	1102426	17788	3556	8819254	8441896	53127412176081
416184	397316	18868	4871	11437764	10368638	53127424419943
800324	783300	17024	8275	18281096	17563434	53127443883951
1184526	1162898	21628	11540	24882794	24473770	53127470333935
1179088	1160910	18178	18078	37812312	37543314	53127509718175
1186840	1169082	17758	1572	4861948	4540088	53127516149877
1187954	1166050	21904	11286	24448202	23971926	53127542178765
1189850	1170576	19274	9158	20205354	19721016	53127563962515
1260706	1163206	97500	156	2181032	1782056	53127567787307
1185266	1166824	18442	5590	13297988	12575082	53127582653747
1189452	1167604	21848	11788	25288172	24974268	53127609515717
