# Loop @ Start frequency 1200000Hz took 1777.44 cycles
# Interval [1773 ; 1782]
# Q1 : 1766 ; Q3 : 1770
# Loop @ Target frequency 3500000Hz took 708.79 cycles
# Interval [707 ; 710]
# Q1 : 706 ; Q3 : 708
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1626230	1575280	50950	3567	417586954	418357194	1121152495032129
1668232	1639156	29076	4812	11185164	11668676	1121152508095957
1805232	1674262	130970	907	3002842	3994066	1121152513094993
1231574	1201700	29874	3036	7622376	7679054	1121152522139229
1487238	1454150	33088	4996	11550116	11855064	1121152535366839
1571568	1493560	78008	2463	6060332	6871348	1121152543189029
1558962	1531662	27300	4156	9841648	10245138	1121152554780437
531840	499768	32072	3982	9435934	8870368	1121152564939099
1633684	1605292	28392	4075	9702152	10158458	1121152576464893
599562	572056	27506	3998	9564044	8982992	1121152586818767
1677144	1643042	34102	3427	8431772	8906222	1121152597118223
1363004	1334664	28340	2191	5504674	6118856	1121152604176075
1475650	1446854	28796	4544	10647030	10938486	1121152616488615
1212388	1182424	29964	3891	9348230	9378968	1121152627239233
1464228	1435828	28400	4101	9237016	10040290	1121152638131019
1221426	1193578	27848	3295	7957106	8186722	1121152647500227
1410842	1378472	32370	2535	6634126	6855872	1121152655735513
1187252	1157660	29592	27	1215050	1616286	1121152658327901
1677846	1647452	30394	2511	6582580	7079412	1121152666778361
1602288	1573734	28554	4626	10209298	11228842	1121152678780717
1545472	1491840	53632	4697	10945120	11315380	1121152691461821
1207824	1178850	28974	4859	11274130	11300304	1121152704134035
449942	420512	29430	1572	4696220	3968602	1121152709470147
866814	839484	27330	447	2151660	2134770	1121152712678979
685534	657588	27946	3556	8684722	8172878	1121152722261669
1781398	1712680	68718	4871	11307922	11904220	1121152735541389
1464334	1373884	90450	3275	8178060	8389464	1121152745374269
1269468	1240662	28806	1540	4639680	4724448	1121152751473343
1513308	1485452	27856	3078	7704224	8043862	1121152760881133
1545796	1506664	39132	1572	4850590	5063890	1121152767467545
707924	675444	32480	1286	4119934	3653388	1121152772485643
1485052	1455594	29458	4158	9841616	10180678	1121152784002733
1189342	1161448	27894	156	1675060	1876400	1121152787056987
1378914	1350708	28206	590	2765830	2934448	1121152791392493
1243864	1214978	28886	1788	5128790	5194852	1121152797955359
1176956	1146958	29998	4822	10920434	11195826	1121152810242467
1186248	1158370	27878	271	1822910	2101394	1121152813441689
1052298	1023428	28870	2722	6901874	6871862	1121152821585653
878036	798886	79150	3041	7629620	7333310	1121152830283341
1669118	1639882	29236	1519	4705054	5187628	1121152836848337
1240964	1211614	29350	1506	4348552	4627050	1121152842628179
648028	618348	29680	4306	10173122	9633892	1121152853639107
739840	656684	83156	3273	8103630	7662170	1121152862672859
619656	589858	29798	1904	5361572	4801584	1121152868844653
1428616	1399990	28626	2294	6151868	6392234	1121152876615585
1159932	1127152	32780	1597	4343270	4735218	1121152882308863
1420832	1392658	28174	2113	5785642	6027382	1121152889705633
1721332	1692910	28422	412	2203058	2922266	1121152893820191
1186064	1156978	29086	138	1231278	1836984	1121152896430883
1762368	1730548	31820	3347	8260184	8836158	1121152906643089
1185586	1157558	28028	16	1165506	1598412	1121152909184257
1457532	1427260	30272	1746	4912344	5324960	1121152915744161
758972	731582	27390	4935	11014122	11002314	1121152927707473
1522826	1492496	30330	3464	7804820	8827396	1121152937225301
1573512	1541648	31864	3745	9047000	9437652	1121152948035877
953390	925616	27774	2732	7000262	6792232	1121152956179741
1361602	1332902	28700	1498	4620226	4737584	1121152962351863
1422092	1392602	29490	4146	9858140	10095338	1121152973822333
1528388	1386124	142264	1096	3751784	4095634	1121152979296509
1473548	1444654	28894	1260	4079636	4369178	1121152985039633
1568336	1538268	30068	4117	9790310	10177406	1121152996588327
1663702	1635870	27832	2011	5573534	6060910	1121153004015581
1187110	1157092	30018	172	1566000	1907700	1121153006959031
1648772	1603648	45124	2268	5896592	6560178	1121153014694693
1136080	1107798	28282	4094	9862816	9698394	1121153025883869
1601814	1472180	129634	745	3132668	3464810	1121153030811595
1120322	1092376	27946	2672	6904198	6836892	1121153039026057
934668	906768	27900	3355	8265936	8020216	1121153048416297
1478408	1450542	27866	1239	4033030	4336674	1121153054117977
1509452	1375106	134346	4099	9787320	10082186	1121153065604947
1664782	1636848	27934	3278	8182568	8595442	1121153075642213
1405544	1376978	28566	2673	6723176	7128318	1121153083960913
1562298	1534268	28030	2143	5672388	6223588	1121153091385599
