# Loop @ Start frequency 1900000Hz took 1121.89 cycles
# Interval [1118 ; 1126]
# Q1 : 1114 ; Q3 : 1118
# Loop @ Target frequency 2200000Hz took 969.60 cycles
# Interval [967 ; 972]
# Q1 : 962 ; Q3 : 966
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
645350	599076	46274	8567	304821878	304513114	42860228371253
611940	587676	24264	14812	31064262	30493866	42860260281577
1879092	1763520	115572	5907	12720012	13949756	42860275112631
832678	810174	22504	18036	37320788	37162550	42860313497917
1395452	1372992	22460	14996	31429266	31645712	42860346558429
860188	838204	21984	2463	6284164	6043644	42860353935059
1392928	1368770	24158	9156	19160148	19963008	42860374719685
755986	733472	22514	8982	19407174	18979310	42860395114571
1399898	1372946	26952	9075	19340108	19807200	42860416086343
1530198	1508132	22066	3998	9377974	9788092	42860427226529
1581372	1559124	22248	8427	18137192	18692144	42860447177561
1762392	1738672	23720	7191	15823200	16402070	42860464994427
1534734	1511634	23100	14544	29845988	30878628	42860496606523
1622936	1601470	21466	8891	18795456	19663314	42860517256531
1486196	1462836	23360	14101	29678418	29944358	42860548653537
864540	842562	21978	3295	7681360	7712058	42860557431837
1486512	1455660	30852	17535	36504498	36814568	42860595659535
955710	932882	22828	5027	11490810	11268066	42860608338597
1608220	1584690	23530	12511	26590728	26888098	42860636768907
839066	817522	21544	9626	20697334	20348894	42860658537561
1444932	1416986	27946	9697	20894822	21097902	42860681109263
1020922	998396	22526	4859	11155348	10996002	42860693517197
1565746	1543400	22346	6572	14582846	14967126	42860709901857
1576172	1492468	83704	5447	12216618	12727492	42860723926173
1024626	1000574	24052	3556	8560322	8398916	42860733742531
1067474	988988	78486	4871	11428708	11075114	42860746471271
1465440	1438922	26518	8275	17741028	18272496	42860765909113
654864	577174	77690	11540	24524596	23995722	42860791320319
810014	787348	22666	18078	37505540	37223678	42860829867163
1494332	1465048	29284	1572	4382282	4894914	42860835975391
1025510	1003376	22134	11286	23444806	23855100	42860860678401
1401400	1371848	29552	9158	19748042	19973854	42860882060111
1180466	1158022	22444	156	1680528	1754024	42860885153171
1412742	1390420	22322	5590	12633946	12851718	42860899431325
1556008	1524798	31210	11788	25019208	25389904	42860926242433
1233398	1210172	23226	4822	10512654	11135164	42860938219689
605260	584000	21260	271	1976286	1406300	42860941033543
1522710	1499256	23454	2722	6877186	7223770	42860949664901
875698	852770	22928	8041	17496512	17215608	42860968269731
1475854	1453816	22038	16519	33954152	34771620	42861003931631
1657000	1631936	25064	16506	34459906	34937794	42861040280501
1652758	1629704	23054	19306	40056584	40522118	42861082221879
855630	831458	24172	18273	37439120	37659624	42861120748455
1526720	1501828	24892	16904	35248510	35593516	42861157755297
1738240	1711096	27144	2294	5795140	6583570	42861165520735
1466138	1386704	79434	11597	24069950	24918632	42861191292417
1441124	1418326	22798	7113	15665648	15924310	42861208631307
2301314	2277022	24292	412	2059068	3382984	42861213223423
1041242	1020018	21224	138	1868938	1573842	42861216365309
877672	738724	138948	3347	8131050	7829410	42861225605691
1163760	1138752	25008	15016	31074338	31453552	42861258075495
1740420	1711614	28806	6746	14496276	15489922	42861274544069
1431534	1392318	39216	9935	21418972	21558976	42861297626983
1462840	1440848	21992	8464	18368106	18648636	42861317690139
1697264	1674124	23140	18745	38866682	39443900	42861358486205
1657566	1606704	50862	2732	6795048	7378504	42861367170489
1032788	1000824	31964	1498	4446290	4287894	42861372881619
1112548	1091734	20814	4146	9727398	9661596	42861383953317
1394582	1373152	21430	6096	13071028	13843896	42861398651217
1482398	1459546	22852	6260	13956940	14261248	42861414322947
1550918	1435380	115538	9117	19665558	20041952	42861435771263
1408256	1384576	23680	17011	35188878	35688256	42861472600301
1479148	1455902	23246	15172	31683916	32080838	42861505994937
1441622	1419226	22396	7268	15978884	16239920	42861523647283
601138	578386	22752	14094	29577656	29045738	42861554058541
1643758	1620094	23664	5745	12928976	13397336	42861568863045
1576906	1554678	22228	17672	36524412	37179078	42861607195901
1488058	1464588	23470	18355	37924526	38454768	42861646840719
3319050	3296336	22714	16239	34002974	36054686	42861684395413
1789750	1767286	22464	19099	39639066	40244060	42861726055825
681502	659580	21922	8278	17564354	17494648	42861744533411
1340926	1318964	21962	12673	26572294	26945400	42861772678607
1466278	1443614	22664	17143	35820872	36010006	42861810197635
1415336	1392858	22478	11737	24697260	25151192	42861836542493
1400138	1376824	23314	1406	4204586	4470280	42861842379261
1385708	1361708	24000	15797	33031836	33238320	42861877028589
911726	889990	21736	10643	22721522	22455806	42861900894385
1764654	1491974	272680	8558	18556462	19138514	42861921447205
773726	752292	21434	4047	9044628	9124512	42861931502141
1028468	967392	61076	10882	23198940	23051046	42861955968691
1581282	1559532	21750	12473	26181184	26784442	42861983963323
1700232	1678696	21536	1585	4562826	5131764	42861990458187
1680960	1649990	30970	12540	26527622	27018822	42862018898669
1400134	1374648	25486	14264	29960570	30185090	42862050491609
1636722	1614988	21734	7738	16832376	17369642	42862069192105
741080	718026	23054	12733	26791480	26464456	42862096956217
1046916	1020128	26788	14271	29974792	29847214	42862128209785
1650534	1627612	22922	12902	26917258	27714974	42862157009169
1539834	1517918	21916	3628	8169584	9053808	42862166950403
805056	783726	21330	8111	17501644	17282718	42862185489457
1408486	1383006	25480	10266	21974486	22197156	42862209114733
1477358	1453564	23794	14833	31105622	31400398	42862241929313
966142	944130	22012	15157	31270354	31537962	42862274397831
1502460	1480974	21486	5226	11453920	12215106	42862287586077
1396144	1372902	23242	16531	33890150	34715330	42862323103485
786748	760654	26094	13004	27441950	27051008	42862351563855
1281436	1259146	22290	3731	8697214	9000922	42862361774477
1177508	1156096	21412	4131	9766154	9696824	42862372950439
895888	872978	22910	3481	7936614	8115008	42862382014755
1551184	1528900	22284	10587	22204146	22982964	42862406001887
1282532	1259648	22884	4252	9979768	10049402	42862417495137
1399930	1376716	23214	3693	8379008	9042372	42862427510417
1420722	1398898	21824	8638	18548044	18953900	42862447715069
1456136	1433942	22194	2737	6477510	7187444	42862455880423
1550378	1525706	24672	16854	35146374	35519950	42862492808353
657380	634626	22754	5262	11965584	11438832	42862505663287
1014340	990750	23590	7312	16057044	15894482	42862522966105
1800022	1775946	24076	5533	12497658	13123920	42862537495657
1005128	983800	21328	13593	27969702	28448296	42862566706555
1011698	990474	21224	99	1651484	1467352	42862569601117
1646292	1621076	25216	14288	30008062	30480394	42862601487417
1394880	1371452	23428	14109	29183500	29870150	42862632301751
1105930	1083856	22074	12408	26253470	26179958	42862659892585
1486062	1464228	21834	8027	17490196	17801380	42862679100585
1165190	1144162	21028	9985	20977604	21393402	42862701475511
1561092	1532854	28238	15678	32793364	33175400	42862736067163
1828432	1807610	20822	7117	15686846	16323740	42862753814335
1398586	1372802	25784	12293	26019748	26242242	42862781464273
1693600	1671748	21852	16789	35036432	35528540	42862818431005
853774	826994	26780	10914	22852420	22943786	42862842368991
1527594	1503708	23886	19153	39280690	40096008	42862883408503
1227388	1085288	142100	1515	4342272	4514956	42862889214237
1401482	1377384	24098	11040	23445790	23739244	42862914294147
1573026	1450498	122528	19496	40352128	40821496	42862956451327
558870	536504	22366	3415	8271014	7645252	42862965513117
1477124	1455248	21876	9104	19645066	19941988	42862986871185
696086	674412	21674	13390	28174488	27733402	42863015973927
754042	669860	84182	13186	27491446	27382304	42863044451665
1465274	1422796	42478	14864	31161636	31450716	42863077310671
693256	584672	108584	13823	29088466	28595524	42863107328381
1667938	1645200	22738	9098	19070976	20121350	42863128302941
1784198	1760432	23766	15155	31750026	32350904	42863162068913
1563778	1541396	22382	13875	28544628	29569834	42863192410317
1222616	1199824	22792	9861	20624200	21205560	42863214488875
933258	888728	44530	7928	17289530	17047040	42863232943365
1178852	1157322	21530	110	1511326	1656842	42863235864957
1425404	1403210	22194	11900	25066966	25482570	42863262589307
1308330	1285506	22824	9545	20342484	20655762	42863284472061
1884062	1642916	241146	3369	7737920	8883366	42863294325717
1642162	1619576	22586	7297	15458054	16493788	42863311657699
1554256	1442082	112174	19406	40243366	40622770	42863353687425
1642812	1618210	24602	5787	12576140	13475300	42863368137897
1023342	990564	32778	8521	18475270	18322162	42863387868269
1395122	1371656	23466	2005	5452638	5667160	42863394947997
991122	968428	22694	16318	34025174	33884292	42863430195669
1633810	1611676	22134	14294	30023930	30480548	42863462086137
1751342	1727410	23932	5824	12868394	13661018	42863476937521
1251314	1229254	22060	16278	33996716	34065316	42863512417271
1338062	1317284	20778	17680	36806306	36955778	42863550793663
1613730	1591020	22710	11094	23625858	24058730	42863576265165
1116080	1093716	22364	18047	37465706	37467432	42863615079201
1628634	1606054	22580	10162	21758324	22211246	42863638697563
1322514	1300662	21852	1420	4233548	4420208	42863644529383
1693510	1668468	25042	16616	34675088	35182928	42863681130115
1614072	1592478	21594	4621	10095006	11114186	42863693070555
1535118	1465592	69526	6886	15169512	15565006	42863710007513
959304	937528	21776	19189	39353410	39595282	42863750551379
826012	801350	24662	19642	40199292	40371290	42863791807701
541564	519966	21598	12200	25938142	25203212	42863818519103
1644534	1470246	174288	4100	9636888	10102898	42863830031953
1667876	1639962	27914	8859	18967964	19644140	42863850899143
1395176	1371872	23304	16704	34842396	35060960	42863887368117
1427576	1397742	29834	14153	29304444	29991406	42863918336307
524698	502942	21756	3768	9110704	8318422	42863928203325
1719242	1696234	23008	17718	36438512	37412852	42863966593557
1744712	1712248	32464	8756	18336538	19522312	42863986906873
1423396	1401088	22308	1692	4409084	5064604	42863992971493
1286636	1264630	22006	9481	20358394	20505620	42864014848617
