# Loop @ Start frequency 2300000Hz took 924.22 cycles
# Interval [923 ; 925]
# Q1 : 922 ; Q3 : 924
# Loop @ Target frequency 3300000Hz took 708.01 cycles
# Interval [707 ; 709]
# Q1 : 706 ; Q3 : 708
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1452082	1418776	33306	3567	257195800	257302252	1124224236863641
1570746	1550644	20102	4812	11023544	11416388	1124224249646229
1251056	1231806	19250	907	2681334	3289266	1124224253764481
1594278	1462194	132084	3036	6776702	7892428	1124224262321653
1064912	1044494	20418	4996	11031692	11278776	1124224274604177
1311448	1290470	20978	2463	6327332	6459564	1124224282432669
0	0	0	0	0	0	0
1469916	1449234	20682	3982	9350414	9645226	1124224304556843
1445120	1426558	18562	4075	9534632	9806824	1124224315712105
751992	731130	20862	3998	9331188	8970660	1124224325980885
1727724	1707634	20090	3427	8258072	8803820	1124224336152537
1673652	1458994	214658	2191	5180764	6278098	1124224343192413
465448	443556	21892	4544	10495000	9779182	1124224354338137
1740494	1721530	18964	3891	8762468	9745146	1124224365027097
1147458	1126336	21122	4101	9173958	9573122	1124224375533973
1768224	1748422	19802	3295	7834766	8579112	1124224385322637
700990	681970	19020	2535	6475872	5992536	1124224392685361
0	0	0	0	0	0	0
1501948	1480246	21702	2511	6488750	6733870	1124224403436229
1501664	1483244	18420	4626	10648324	10975862	1124224415771825
1722514	1697956	24558	4697	10792668	11339176	1124224428472617
1406408	1384136	22272	4859	11120338	11345434	1124224441188437
1006474	986406	20068	1572	4157494	4373310	1124224446538433
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1546258	1528686	17572	4871	10710744	11498332	1124224473133911
1095486	1006864	88622	3275	7794180	7855592	1124224482197093
0	0	0	0	0	0	0
1746670	1726738	19932	3078	7556146	8113326	1124224497072149
864464	847178	17286	1572	3993116	4219718	1124224502103889
1282740	1265686	17054	1286	3953928	4064200	1124224507514131
1641684	1574364	67320	4158	9701948	10168446	1124224519031069
782800	648016	134784	156	1708608	1316308	1124224521708203
796930	778104	18826	590	2581592	2199076	1124224525272305
0	0	0	0	0	0	0
1565148	1544966	20182	4822	10926702	11431944	1124224544558333
1178868	1160144	18724	271	1421340	1942356	1124224547348091
1475754	1455338	20416	2722	6770460	7142290	1124224555780891
1499286	1444164	55122	3041	7342446	7802940	1124224564808377
693196	672014	21182	1519	4441368	3954170	1124224570128225
1513402	1495444	17958	1506	4409166	4746558	1124224576236295
873990	853780	20210	4306	9600748	9695386	1124224586884881
1086148	1057800	28348	3273	7950310	7854374	1124224596106989
1556716	1537186	19530	1904	4854316	5586394	1124224602703485
520452	498324	22128	2294	5851522	5330234	1124224609261157
1722390	1702346	20044	1597	4593272	5138108	1124224615763079
1246532	1227438	19094	2113	5071908	5698584	1124224622267157
430920	409918	21002	412	2227918	1477092	1124224625111557
1520616	1501112	19504	138	1805470	2022914	1124224628623161
1265608	1248002	17606	3347	7595412	8181856	1124224637670017
1210834	1193428	17406	16	1446596	1452944	1124224640501233
1219334	1200002	19332	1746	4794754	4934382	1124224646707773
1730736	1710828	19908	4935	10867148	11822480	1124224659491095
1695738	1612208	83530	3464	7944660	8849498	1124224669318003
1268784	1249696	19088	3745	8896664	8979588	1124224679668977
1786430	1663852	122578	2732	6993588	7472148	1124224688634549
794578	662926	131652	1498	3959514	4009102	1124224693574549
1194684	1175734	18950	4146	9678284	9697356	1124224704620549
1883770	1866150	17620	1096	2919516	4285632	1124224709597671
1225706	1208236	17470	1260	3902992	3957088	1124224714899555
1710040	1691838	18202	4117	9621036	10154668	1124224726403877
1737100	1717856	19244	2011	5071744	5981320	1124224733398881
1185576	1164954	20622	172	1310800	1751692	1124224736081321
1404482	1382658	21824	2268	6068374	6163242	1124224743740201
1734592	1716078	18514	4094	9585602	10144380	1124224755246229
1895780	1865938	29842	745	2491382	3607160	1124224759819365
1557994	1528456	29538	2672	6100538	7127404	1124224767663595
1531332	1509382	21950	3355	8106040	8464452	1124224777486781
1525498	1377564	147934	1239	3730802	4225110	1124224782928909
925856	908906	16950	4099	9600462	9346594	1124224793641075
1395060	1373842	21218	3278	7950660	8162590	1124224803160331
1406720	1387874	18846	2673	6653072	6979542	1124224811405921
1548672	1529954	18718	2143	5691328	6058230	1124224818831845
1472658	1453746	18912	1737	4477592	5169484	1124224824967765
1721064	1701932	19132	1406	3837116	4755670	1124224830712095
1511112	1490338	20774	797	2427348	3326588	1124224834836137
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1605212	1587586	17626	4047	9477804	9909750	1124224858805933
1166336	1148700	17636	882	2716936	3140838	1124224862863011
1399460	1380218	19242	2473	5503978	6567926	1124224869952225
1507532	1489086	18446	1585	4576870	4898624	1124224876222253
1075186	1055434	19752	2540	6476928	6378370	1124224883959811
1770518	1633194	137324	4264	9942888	10521560	1124224895859055
1400510	1378070	22440	2738	6711602	7097572	1124224904156989
1585684	1568382	17302	2733	6863688	7274774	1124224912792031
1564404	1546068	18336	4271	9406772	10317842	1124224923936651
1658434	1641390	17044	2902	7186268	7672416	1124224932954619
1482128	1464254	17874	3628	8638208	8950152	1124224943248229
813930	791946	21984	3111	7173974	7245852	1124224951409969
918552	901038	17514	266	2002752	1661500	1124224954504525
1725936	1704454	21482	4833	11077126	11618262	1124224967483945
679538	658994	20544	157	1115008	1215842	1124224969463551
1386698	1366418	20280	226	1862320	2060996	1124224972898695
634826	616266	18560	1531	4523662	3918222	1124224978242759
1396440	1376090	20350	3004	7417616	7625594	1124224987242305
1010780	989850	20930	3731	8762112	8699970	1124224997200555
889610	868698	20912	4131	9665866	9375958	1124225007941303
1696698	1676152	20546	3481	7679046	8880020	1124225017502325
0	0	0	0	0	0	0
1056086	910100	145986	4252	8766254	9782810	1124225030771511
1676280	1653384	22896	3693	8398054	9274010	1124225041019609
0	0	0	0	0	0	0
735030	713520	21510	2737	6871518	6431640	1124225059530333
1754724	1735196	19528	1854	5107000	5685676	1124225066577841
728112	707728	20384	262	1922202	1475336	1124225069417323
1663700	1641994	21706	2312	6022292	6508404	1124225077288909
848428	829220	19208	533	2146498	2136012	1124225080469587
1665030	1635134	29896	3593	8587696	9072922	1124225090948133
1245790	1160888	84902	99	1165492	1664886	1124225093544865
1179700	1159754	19946	4288	9762274	9977706	1124225104672695
1285178	1261498	23680	4109	9618526	9726430	1124225115762069
