# Loop @ Start frequency 900000Hz took 2370.43 cycles
# Interval [2367 ; 2374]
# Q1 : 2352 ; Q3 : 2360
# Loop @ Target frequency 3500000Hz took 708.42 cycles
# Interval [707 ; 710]
# Q1 : 706 ; Q3 : 708
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1458564	1405004	53560	3567	523748198	524536072	1120271285710987
1652430	1617768	34662	4812	11289758	11754718	1120271298848813
1413498	1377370	36128	907	3312302	3706552	1120271303765873
1610022	1575862	34160	3036	7555250	8157592	1120271313122227
1595108	1559514	35594	4996	11043262	12065296	1120271325951229
618094	581996	36098	2463	6128622	6020680	1120271332888237
1407420	1372084	35336	4156	9975528	10206916	1120271344461457
1682094	1644654	37440	3982	9582374	10122440	1120271355915987
1479220	1445310	33910	4075	9817238	10107048	1120271367403083
1538554	1503286	35268	3998	9725998	10012348	1120271378858349
1530200	1494718	35482	3427	8072878	8859990	1120271388651893
1747980	1712940	35040	2191	5437622	6606922	1120271396031683
1674198	1639024	35174	4544	10041770	11236144	1120271407937781
837264	802708	34556	3891	8877938	9094504	1120271417842731
879768	846198	33570	4101	9368642	9558866	1120271428281101
1741136	1705834	35302	3295	8245942	8806754	1120271438458417
561332	527114	34218	2535	6730154	6107416	1120271445940537
704346	669736	34610	27	1708138	1235668	1120271448543533
1551444	1518054	33390	2511	6679870	7050226	1120271456968569
798792	764490	34302	4626	10929924	10535890	1120271468887913
1573456	1537900	35556	4697	10693110	11443180	1120271481344403
701452	667412	34040	4859	11438772	10895852	1120271493674333
1548260	1512496	35764	1572	4386282	5194122	1120271499799163
1448986	1413706	35280	447	2547232	2819728	1120271503985781
743636	708472	35164	3556	8868444	8333694	1120271513788339
1692788	1654464	38324	4871	11334566	11911616	1120271527005429
957240	922910	34330	3275	7531228	7984426	1120271535683853
1523312	1486842	36470	1540	4383778	5090960	1120271541781735
979938	944432	35506	3078	7484370	7613578	1120271550436433
1301620	1266826	34794	1572	4801368	4923192	1120271556729993
956526	920594	35932	1286	3836384	4005206	1120271561712909
1305110	1270402	34708	4158	9971216	10097140	1120271573179385
1192212	1156288	35924	156	1497048	1978168	1120271576058453
983598	949104	34494	590	2895766	2640946	1120271580127839
1067982	1033114	34868	1788	5324570	5121394	1120271586710169
832826	797604	35222	4822	10853408	10953238	1120271598586839
333662	297870	35792	271	2193720	1351902	1120271601307657
1485714	1426548	59166	2722	7186718	7406126	1120271610169749
1675608	1639114	36494	3041	7761542	8236368	1120271619797529
868532	832666	35866	1519	4815226	4383560	1120271625672413
1267086	1232282	34804	1506	4670926	4756874	1120271631800927
1423892	1373220	50672	4306	10273922	10513620	1120271643689545
1147636	1113814	33822	3273	8160164	8169516	1120271653187317
1719250	1684686	34564	1904	5477736	6011992	1120271660574833
1459174	1423074	36100	2294	6243060	6522374	1120271668470729
1463358	1428806	34552	1597	4544336	5133648	1120271674668861
1846542	1811792	34750	2113	5879196	6547730	1120271682587917
1405196	1370720	34476	412	2481726	2703548	1120271686668623
1187652	1151972	35680	138	1863938	1938798	1120271689912959
1416094	1382570	33524	3347	8353528	8586200	1120271699897335
1214994	1181576	33418	16	1683908	1721812	1120271702986297
1100300	1066220	34080	1746	5168616	5078900	1120271709445501
1630212	1595452	34760	4935	11147332	11984910	1120271722413293
1464690	1430832	33858	3464	8135566	8869752	1120271732203717
1712534	1673622	38912	3745	9141104	9676414	1120271743247477
1533058	1497346	35712	2732	6597588	7471484	1120271751567921
1230354	1193892	36462	1498	4342866	4770376	1120271757331177
846002	811096	34906	4146	9957676	9612590	1120271768324723
1701550	1666530	35020	1096	3850210	4370978	1120271774066245
1579638	1542086	37552	1260	3521990	4575816	1120271779358261
1418004	1383378	34626	4117	9896292	10127942	1120271790862645
1180416	1146048	34368	2011	5244256	5676006	1120271797477021
791892	757154	34738	172	2001304	1612732	1120271800460377
1406858	1370630	36228	2268	6194382	6419226	1120271808251293
1475272	1441414	33858	4094	9846884	10139432	1120271819763655
1759240	1723710	35530	745	2962192	3724478	1120271824675613
1607810	1571236	36574	2672	6387344	7429800	1120271832864143
1216756	1181426	35330	3355	8367474	8412276	1120271842638889
1451570	1417414	34156	1239	4137476	4405362	1120271848421677
1801886	1669406	132480	4099	9934460	10474236	1120271860347921
1287624	1253504	34120	3278	8031958	8318814	1120271869857637
7828116	7820858	7258	2673	6408248	13659066	1120271884284081
1613200	1568648	44552	2143	5750040	6374238	1120271891836981
1069508	1031548	37960	1737	5128996	5020926	1120271898225309
672852	637910	34942	1406	4466256	3960322	1120271903554585
1450222	1414234	35988	797	3248920	3521964	1120271908443937
1413414	1378696	34718	643	2935830	3174260	1120271912983029
1449268	1408738	40530	3558	8788766	9051418	1120271923410841
687370	649752	37618	4047	9724490	9256890	1120271934012833
1642952	1609814	33138	882	3116384	3884664	1120271938962437
1475102	1343622	131480	2473	6188744	6899622	1120271946816547
1411068	1376108	34960	1585	4183352	5056406	1120271952600353
1861114	1656896	204218	2540	6584302	7417816	1120271961238337
1569762	1535790	33972	4264	9716816	10575428	1120271972714963
1579756	1543758	35998	2738	7129702	7532272	1120271981614913
905906	871866	34040	2733	7125906	6848280	1120271989837041
797496	762536	34960	4271	10214008	9813760	1120272001038413
1420712	1385486	35226	2902	7100336	7701930	1120272009749593
845334	811212	34122	3628	8772042	8593492	1120272019556395
1242056	1208172	33884	3111	7516496	7964350	1120272028504777
427570	394708	32862	266	2214382	1434330	1120272031340273
1535552	1499722	35830	4833	11210190	11703236	1120272044276197
475688	440008	35680	157	1970336	1266290	1120272046912285
760144	725610	34534	226	2126294	1711400	1120272049988797
827472	789794	37678	1531	4717310	4365276	1120272055724033
1149888	1116656	33232	3004	7674516	7634626	1120272064738373
1458260	1423660	34600	3731	9128114	9397296	1120272075514643
1544318	1508190	36128	4131	9735540	10307390	1120272086984573
880956	845106	35850	3481	8496264	8329978	1120272096551241
1495196	1460522	34674	587	2829390	3147574	1120272101069357
842120	807546	34574	4252	10392922	10048986	1120272112494267
1003052	967430	35622	3693	9055950	8865426	1120272122743147
1640482	1605998	34484	3638	8406068	9391380	1120272132980403
1620986	1584364	36622	2737	6757510	7572568	1120272141548889
1832804	1667532	165272	1854	5362546	6016374	1120272148934587
1503950	1470310	33640	262	1979174	2504500	1120272152607803
1147888	1113012	34876	2312	6078862	6247420	1120272160027675
357978	322476	35502	533	2101710	1901120	1120272162677663
1366174	1330502	35672	3593	8845990	9027436	1120272173083837
775236	741182	34054	99	1873646	1470646	1120272175922899
