# Loop @ Start frequency 1700000Hz took 1870.08 cycles
# Interval [1867 ; 1873]
# Q1 : 1864 ; Q3 : 1868
# Loop @ Target frequency 1300000Hz took 2446.11 cycles
# Interval [2441 ; 2451]
# Q1 : 2438 ; Q3 : 2442
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
179778	151586	28192	3567	576890410	576246346	12757870605272034
1163752	1148990	14762	4812	16042420	16030016	12757870623063678
179206	165000	14206	907	4278240	3357618	12757870628097760
1217618	1203050	14568	3036	11167290	10769590	12757870641062644
236780	222222	14558	4996	17055820	15677512	12757870658930986
726592	711896	14696	2463	9050344	8557210	12757870669285214
220698	206100	14598	4156	14155294	13123820	12757870684237486
1012922	998642	14280	3982	13488142	13389762	12757870699317642
1339602	1325014	14588	4075	13905636	13997654	12757870715135506
192952	178252	14700	3998	14031808	12619640	12757870729964774
727592	713206	14386	3427	11751832	11450876	12757870743018618
430312	415990	14322	2191	8434766	7451378	12757870752460052
160458	146118	14340	4544	15260834	14221190	12757870768456398
281018	266558	14460	3891	13178686	12388538	12757870782490902
330942	316354	14588	4101	13812814	13068140	12757870797208750
518704	504230	14474	3295	11633396	10867864	12757870809939746
222044	207598	14446	2535	9052802	8270266	12757870819788940
1285496	1271484	14012	27	1604216	1831998	12757870823252598
1038318	1024104	14214	2511	9295990	9017622	12757870834198846
1205240	1190866	14374	4626	15403888	15515000	12757870851383174
584600	570200	14400	4697	15600508	15102920	12757870868144982
453320	438786	14534	4859	16532814	15463308	12757870885707582
1710318	1696074	14244	1572	6208130	6880176	12757870894201314
1509104	1494858	14246	447	2832526	3313396	12757870899120972
831818	817496	14322	3556	12136218	11935048	12757870912665762
804024	789646	14378	4871	16206156	15845512	12757870930247958
1493660	1479222	14438	3275	11393344	11755520	12757870943711142
461598	447290	14308	1540	6117042	5534216	12757870950867586
581688	567194	14494	3078	10670076	10259060	12757870962692742
517704	503134	14570	1572	6198816	5683938	12757870969985326
1011992	997822	14170	1286	5363994	5324192	12757870976935106
1014956	1000394	14562	4158	14534686	13919558	12757870993060680
1499570	1485524	14046	156	2137984	2428808	12757870997274372
1158798	1144810	13988	590	3727214	3388676	12757871002736838
1657068	1642852	14216	1788	6881968	7471210	12757871011872462
1436086	1421556	14530	4822	15903706	16331964	12757871029791318
522702	508638	14064	271	2314034	1795394	12757871033205614
282168	267734	14434	2722	10135624	8894060	12757871044197310
928598	914160	14438	3041	10548552	10494130	12757871056249532
828646	814270	14376	1519	6241358	5836672	12757871063898222
