# Loop @ Start frequency 1500000Hz took 2118.20 cycles
# Interval [2116 ; 2120]
# Q1 : 2112 ; Q3 : 2116
# Loop @ Target frequency 1700000Hz took 1870.99 cycles
# Interval [1868 ; 1874]
# Q1 : 1864 ; Q3 : 1868
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
582094	552490	29604	3567	623390490	623122962	12758202713221914
500158	484174	15984	4812	16514158	15399010	12758202730692978
491458	475482	15976	907	4410690	3721646	12758202736047558
982518	966706	15812	3036	10878604	10564070	12758202748363458
1667006	1651246	15760	4996	16699978	17107878	12758202767184706
1325070	1309162	15908	2463	9309270	9182834	12758202778278470
1033410	1017622	15788	4156	14068732	13961086	12758202793834190
390184	374116	16068	3982	13543404	12797016	12758202808218268
1148806	1132954	15852	4075	13843744	13828854	12758202823665830
915132	899332	15800	3998	13616638	13368204	12758202838650840
1363562	1347806	15756	3427	11901986	12124070	12758202852372710
1602118	1586546	15572	2191	8308170	8650894	12758202862760178
576818	560886	15932	4544	15273530	14665762	12758202879063590
1674902	1658850	16052	3891	13470380	13806118	12758202894662062
1120022	1104058	15964	4101	14071498	13878066	12758202910310630
402774	386814	15960	3295	11611884	10775486	12758202922780034
966170	950426	15744	2535	9233086	9044746	12758202933432506
1203486	1188002	15484	27	1827816	1776270	12758202936917082
1583174	1567610	15564	2511	9286846	9587518	12758202948241670
226278	210730	15548	4626	15641530	14565366	12758202964563618
347274	331422	15852	4697	15683060	14893514	12758202981049694
650598	634758	15840	4859	16647878	15683666	12758202998798478
401934	386378	15556	1572	6497050	5593422	12758203006151694
1615112	1599300	15812	447	3344576	3438652	12758203011566940
906318	890402	15916	3556	12344820	12040038	12758203025271738
867018	851118	15900	4871	16624500	15932686	12758203043216658
1572098	1556050	16048	3275	11803222	11861226	12758203057045490
922340	906796	15544	1540	6626422	6015944	12758203065048064
653754	637502	16252	3078	11057554	10355618	12758203077211938
769918	754118	15800	1572	6553530	5966086	12758203084986950
593486	577850	15636	1286	5973602	4930398	12758203092005238
517946	502058	15888	4158	14216130	13452078	12758203107193518
610566	595142	15424	156	2154718	1565606	12758203110413546
1623570	1608166	15404	590	3551776	3877706	12758203116041658
1225290	1209682	15608	1788	7217878	7064210	12758203124939270
1171222	1155210	16012	4822	16556886	16095010	12758203143117770
410716	395328	15388	271	2638886	1704344	12758203146622144
1594122	1578342	15780	2722	9838218	10232818	12758203158504950
714466	698546	15920	3041	10874954	10306470	12758203170548630
170600	154860	15740	1519	6294820	5203436	12758203177465928
422578	407066	15512	1506	6364558	5419522	12758203184706230
1670854	1654994	15860	4306	14747724	15050086	12758203201577306
304428	288464	15964	3273	11671652	10592900	12758203214014048
669718	654234	15484	1904	7799274	6857442	12758203222939066
1141866	1125970	15896	2294	8964690	8498754	12758203233497126
407038	391482	15556	1597	6575310	5705238	12758203240929798
1665366	1649590	15776	2113	7947170	8475858	12758203250993238
500582	485186	15396	412	3142156	2220070	12758203255093010
747880	732456	15424	138	2156006	1649696	12758203258449808
1662238	1646370	15868	3347	11912790	12166186	12758203272478878
1495022	1479894	15128	16	1704478	2034218	12758203276129430
1158534	1142570	15964	1746	6921254	6871334	12758203284662122
905302	889550	15752	4935	16422698	16159466	12758203302443786
171030	155302	15728	3464	12280400	11027798	12758203315342070
657538	641694	15844	3745	12832198	12353006	12758203329284538
1661366	1645646	15720	2732	9876182	10340046	12758203341275298
415286	399550	15736	1498	6308036	5425122	12758203348451182
747862	731814	16048	4146	14039340	13646422	12758203363691270
150474	134754	15720	1096	5022126	3920798	12758203369319062
188734	173246	15488	1260	5492994	4449466	12758203375459702
976130	960238	15892	4117	14322994	13788958	12758203391211558
1657622	1642194	15428	2011	8127202	8169698	12758203401449178
546626	530982	15644	172	2164526	1578022	12758203404618014
526234	510566	15668	2268	8485820	7803642	12758203414082182
594558	578870	15688	4094	14057340	13335362	12758203429186702
490556	475004	15552	745	3872866	3213896	12758203434002856
1592870	1576890	15980	2672	10031650	10083854	12758203446080182
1601494	1585634	15860	3355	11815766	12132674	12758203459951642
761438	745618	15820	1239	5863130	4967346	12758203467027830
1567234	1551302	15932	4099	14197310	14325478	12758203483246938
1067580	1051796	15784	3278	11573050	11366224	12758203496340960
918132	902508	15624	2673	10106486	9434364	12758203507818720
466600	450812	15788	2143	8095738	7366340	12758203516833600
1588446	1572662	15784	1737	6903026	7278942	12758203525778874
855090	839602	15488	1406	5948272	5556238	12758203533036562
461130	445338	15792	797	4061578	3358698	12758203538011818
1136426	1121026	15400	643	4028398	3546458	12758203543628386
728542	711642	16900	3558	12524868	11861730	12758203557334842
1674630	1658934	15696	4047	13887178	14271846	12758203573353078
1165430	1149946	15484	882	4288450	4293246	12758203579263590
1665378	1649710	15668	2473	9242064	9551854	12758203590618738
1681766	1666058	15708	1585	6475658	6913094	12758203599233606
842026	826350	15676	2540	9318998	8930218	12758203609853566
1358762	1343190	15572	4264	14481538	14606990	12758203626148670
163320	147612	15708	2738	9962700	8840660	12758203636727280
