# Loop @ Start frequency 1300000Hz took 2446.60 cycles
# Interval [2444 ; 2449]
# Q1 : 2440 ; Q3 : 2444
# Loop @ Target frequency 1500000Hz took 2120.58 cycles
# Interval [2117 ; 2124]
# Q1 : 2112 ; Q3 : 2116
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
653810	621618	32192	3567	712450050	711975278	12758407327073104
1664734	1646890	17844	4812	16157906	16645586	12758407345412480
133982	113242	20740	907	4505974	3427546	12758407350564868
1233624	1215864	17760	3036	10870296	10899884	12758407363175184
1145054	1127426	17628	4996	16746234	16675274	12758407381570652
1233028	1215166	17862	2463	9054216	9181948	12758407392363988
1222644	1204798	17846	4156	14197120	14234336	12758407408290804
929724	911932	17792	3982	13599376	13422606	12758407423327284
1280938	1263130	17808	4075	13881818	14048848	12758407438996104
1311090	1293316	17774	3998	14153794	13858410	12758407454963388
502618	484842	17776	3427	12122874	11336518	12758407468092804
1655310	1637442	17868	2191	8461990	8793426	12758407478717784
782590	764838	17752	4544	15246934	14957722	12758407495257696
1668238	1650538	17700	3891	13282890	13890470	12758407510715684
919922	902214	17708	4101	13955674	13769970	12758407526101968
229506	211472	18034	3295	12067274	10670678	12758407538903552
331118	313320	17798	2535	9603546	8518030	12758407549345496
996278	979012	17266	27	1731322	1653542	12758407552575416
847122	828226	18896	2511	9397822	8940606	12758407563329400
1355502	1337670	17832	4626	15708834	15804618	12758407580894256
394748	377122	17626	4697	16257432	15032362	12758407598052336
595662	577810	17852	4859	16781902	15719210	12758407615935156
705046	687382	17664	1572	6911766	5992306	12758407624059520
478158	460338	17820	447	3117482	2393270	12758407628154336
1683818	1665782	18036	3556	12835562	12907920	12758407643175176
1221274	1203542	17732	4871	16769798	16379710	12758407661669548
1439828	1422004	17824	3275	11431152	11817984	12758407675047636
1664142	1646778	17364	1540	6516302	6851106	12758407683729900
786618	768406	18212	3078	11122198	10576338	12758407696146784
1664482	1646610	17872	1572	6504766	6946922	12758407704815148
1092066	1074268	17798	1286	5573250	5516682	12758407711988160
1664980	1647252	17728	4158	14636772	14689130	12758407728782468
717466	700034	17432	156	2162698	1762054	12758407732162680
1175826	1158134	17692	590	3605142	3517934	12758407737448620
1659716	1641882	17834	1788	7132932	7590998	12758407746746544
459490	441532	17958	4822	16192242	15466298	12758407763898656
899050	881584	17466	271	2957678	2289738	12758407768261776
585878	568108	17770	2722	9973442	9312398	12758407779342536
1542420	1524468	17952	3041	10832952	11221934	12758407792225708
889294	871728	17566	1519	6305902	6011134	12758407799949532
1487862	1469840	18022	1506	6260766	6572502	12758407808197980
625086	607290	17796	4306	15070070	14092986	12758407824391584
1184594	1166722	17872	3273	11539622	11553742	12758407837622920
1571290	1553424	17866	1904	7381850	7842794	12758407847081008
242354	224488	17866	2294	9082626	7687190	12758407856909588
154622	136806	17816	1597	6754418	5512110	12758407864321968
287914	270352	17562	2113	7947962	7188214	12758407873083712
1611626	1593956	17670	412	3159026	3419558	12758407878352132
947990	930550	17440	138	2293590	1939130	12758407882093956
1658782	1640860	17922	3347	11686222	12252586	12758407895934580
1584356	1567218	17138	16	2249124	2213400	12758407900279320
1135122	1117588	17534	1746	7202674	6937182	12758407909157188
864560	846800	17760	4935	16695012	16210566	12758407927220988
1661342	1643572	17770	3464	12400938	12604766	12758407941791000
473936	456136	17800	3745	12977016	12258818	12758407955747576
159556	141552	18004	2732	10050740	8912490	12758407966464916
1659148	1641238	17910	1498	6394136	6715782	12758407975021764
636226	618268	17958	4146	14149534	13622954	12758407990310072
1241646	1224084	17562	1096	5181742	5099112	12758407997236404
801010	783638	17372	1260	5778898	5151794	12758408004310856
1601160	1583396	17764	4117	14341664	14499402	12758408020757760
822582	805062	17520	2011	7742766	7419246	12758408029825800
660776	643030	17746	172	2196852	1752570	12758408033186576
1662840	1645256	17584	2268	8981952	9034602	12758408044337520
253514	235770	17744	4094	14196210	13083762	12758408059293176
1173162	1155566	17596	745	4266846	3979464	12758408065237956
1492686	1474884	17802	2672	9986278	10064678	12758408077220724
390186	372318	17868	3355	12090806	11010726	12758408090202780
816514	798476	18038	1239	5774046	5101632	12758408097297172
1233656	1215776	17880	4099	14145028	14079550	12758408113178576
1548986	1531234	17752	3278	11569570	11937970	12758408126800132
1664526	1646734	17792	2673	9780426	10240066	12758408138737560
233134	215142	17992	2143	8398862	7221522	12758408147868000
1193922	1176208	17714	1737	7334638	6971682	12758408156903640
751074	733694	17380	1406	6209730	5536966	12758408164361860
909546	892104	17442	797	4411262	3872322	12758408170185984
1613754	1596308	17446	643	3740478	4114046	12758408176046832
1160054	1142108	17946	3558	12391766	12385194	12758408190099700
454268	436518	17750	4047	14216356	13143702	12758408205277176
531864	514298	17566	882	4517596	3748382	12758408210834696
830862	813000	17862	2473	9058578	8807968	12758408221222680
1659174	1641308	17866	1585	6430374	6980130	12758408229814428
233076	215178	17898	2540	9306884	8411810	12758408239866036
826878	808854	18024	4264	14478618	14164914	12758408255675616
154642	136762	17880	2738	9966914	8924782	12758408266298448
1498008	1479938	18070	2733	9936520	10253978	12758408278230768
528290	510490	17800	4271	14540554	13885014	12758408293802616
1302006	1284248	17758	2902	10395042	10561640	12758408306000208
247170	230162	17008	3628	12867490	11687096	12758408319614696
400218	382718	17500	3111	10957770	10287414	12758408331477604
810876	793314	17562	266	2667388	2183206	12758408335464784
1545942	1528094	17848	4833	16149094	16586488	12758408353666200
673892	656134	17758	157	2209276	1721322	12758408357049988
565830	548444	17386	226	2866830	1823226	12758408360985444
1272396	1254508	17888	1531	6269540	6431474	12758408369033440
341704	323900	17804	3004	11183404	9913926	12758408381061840
1585160	1567178	17982	3731	13253600	13332208	12758408396407824
923732	905896	17836	4131	14406552	13863670	12758408412246148
879966	862044	17922	3481	12555850	11878838	12758408426188164
