# Loop @ Start frequency 2200000Hz took 1444.02 cycles
# Interval [1442 ; 1446]
# Q1 : 1440 ; Q3 : 1444
# Loop @ Target frequency 1700000Hz took 1869.23 cycles
# Interval [1867 ; 1871]
# Q1 : 1864 ; Q3 : 1868
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
158490	135644	22846	3567	463779284	463443032	12757130990749536
793892	781866	12026	4812	15866322	15572136	12757131007878582
643350	631884	11466	907	4693064	3733280	12757131013674940
893964	882320	11644	3036	10684914	10354228	12757131025708740
926828	915218	11610	4996	16469492	16254754	12757131043564314
803540	792020	11520	2463	8881876	8550776	12757131053706696
1189740	1178130	11610	4156	14144702	14005116	12757131069500428
1502478	1490862	11616	3982	13614730	13794726	12757131085073968
1658228	1646726	11502	4075	13794826	14228230	12757131100987356
561250	549740	11510	3998	13949048	12902590	12757131115959332
1655380	1643726	11654	3427	11822938	12286020	12757131129898962
527078	515806	11272	2191	8235858	7458998	12757131139123168
1320038	1308448	11590	4544	15336876	15293972	12757131156239418
160438	148942	11496	3891	13219336	12182282	12757131170077274
1065346	1053770	11576	4101	14218274	13712686	12757131185812062
1448860	1437328	11532	3295	11335852	11685844	12757131199056110
1129140	1117936	11204	2535	9195316	9092132	12757131209840022
1119606	1108012	11594	27	1655344	1574838	12757131213071848
884432	872922	11510	2511	9178990	8776066	12757131223596194
1666198	1654592	11606	4626	15364844	15885170	12757131241084374
1343642	1332070	11572	4697	15659962	15775496	12757131258551736
1333620	1322034	11586	4859	16081468	16249884	12757131276424246
470688	459078	11610	1572	6214332	5551418	12757131283567360
1457478	1446148	11330	447	2857510	3168914	12757131288343140
680972	669220	11752	3556	12311586	11700632	12757131301794914
764566	752984	11582	4871	16111486	15718054	12757131319126730
961948	950344	11604	3275	11305560	11137900	12757131331855334
1324592	1313006	11586	1540	6588448	6309164	12757131340226982
1001098	989638	11460	3078	10730694	10589714	12757131352419914
1662918	1651416	11502	1572	6258244	6763914	12757131360797404
710358	698774	11584	1286	5676496	4933328	12757131367647360
1652768	1641220	11548	4158	13959904	14470420	12757131383718940
845214	834048	11166	156	2111638	1685472	12757131387140294
1608858	1597420	11438	590	3523200	3749774	12757131392731560
860864	849454	11410	1788	7363784	6585580	12757131401417140
791172	779556	11616	4822	16128364	15599124	12757131418793128
549450	538184	11266	271	2331612	1734752	12757131422133904
1371266	1359552	11714	2722	10155640	9892282	12757131434119398
300768	289104	11664	3041	11094756	9781930	12757131445981186
1664132	1652422	11710	1519	6488506	6592862	12757131454599438
697128	685702	11426	1506	6113546	5583654	12757131461880794
604172	592440	11732	4306	14567946	13872568	12757131477542520
161490	149400	12090	3273	11308424	10336944	12757131489475546
988694	977090	11604	1904	7343600	7068342	12757131498272862
1432778	1421182	11596	2294	8542488	8679452	12757131508713294
375818	364014	11804	1597	6313042	5537278	12757131515868770
502310	490556	11754	2113	8124208	7204816	12757131524956056
1613668	1602310	11358	412	2805872	3229228	12757131529841510
1033598	1022166	11432	138	1888098	1827764	12757131533223978
1269270	1257528	11742	3347	11841002	11670738	12757131546799042
1180814	1169432	11382	16	1776846	1607422	12757131550220082
845770	834282	11488	1746	7004270	6452310	12757131558535762
453104	441418	11686	4935	16459854	15602378	12757131575909040
1453626	1441898	11728	3464	12358996	12204992	12757131590186118
475214	463590	11624	3745	13091156	12066372	12757131604217164
354346	342748	11598	2732	9804780	8914282	12757131614840828
647842	636028	11814	1498	6197268	5511170	12757131622152558
1093800	1081992	11808	4146	14182136	13884466	12757131637895302
1525236	1513576	11660	1096	5265984	5187888	12757131645150562
1523286	1511814	11472	1260	5521380	5678048	12757131652657828
1052316	1040612	11704	4117	13853174	13756646	12757131668028322
1480066	1468612	11454	2011	8003756	7879366	12757131677976488
905556	894052	11504	172	2047368	1801830	12757131681394652
152984	141286	11698	2268	8436270	7322806	12757131690452736
1394454	1382716	11738	4094	13741648	14026426	12757131706054190
791626	780120	11506	745	4005052	3402894	12757131711317428
546408	534792	11616	2672	9748974	8943942	12757131722074204
1659068	1647480	11588	3355	12026066	12082508	12757131736223880
157540	145904	11636	1239	5242894	4249712	12757131742093896
1649264	1637678	11586	4099	13904918	14299894	12757131758113254
1657400	1645720	11680	3278	11796244	11848764	12757131772035346
1050308	1038668	11640	2673	9578162	9434234	12757131783130560
429410	417720	11690	2143	8141942	7238094	12757131792167866
1650768	1639120	11648	1737	6816202	7228796	12757131801098820
916072	904570	11502	1406	5734406	5503492	12757131808217592
624306	612546	11760	797	4261818	3393176	12757131813567466
1301720	1290266	11454	643	3531012	3606106	12757131818865936
1280624	1268914	11710	3558	12318046	12312262	12757131832926416
525470	513760	11710	4047	14098972	13020392	12757131848039676
575924	564404	11520	882	4623326	3596378	12757131853701840
1660694	1649094	11600	2473	8967452	9441216	12757131864797860
290904	279234	11670	1585	6485320	5416604	12757131872041596
283800	272164	11636	2540	9585318	8265896	12757131882375046
875170	863490	11680	4264	14322830	14018850	12757131898035742
535586	523884	11702	2738	9840486	9110806	12757131908877696
1573702	1561894	11808	2733	9953248	10135354	12757131920869790
724828	713054	11774	4271	14500412	13886060	12757131936556734
1660026	1647706	12320	2902	10381720	10726946	12757131949062586
1290504	1278870	11634	3628	12524344	12528490	12757131963346250
1505178	1493544	11634	3111	11035040	11197686	12757131976346728
697072	685552	11520	266	2373244	1873076	12757131979899198
1649352	1637688	11664	4833	16067360	16494878	12757131998081634
713524	702104	11420	157	1981062	1564348	12757132001243090
508418	496928	11490	226	2661756	1567412	12757132004874876
579038	567582	11456	1531	6231692	5539364	12757132012149484
1190768	1179184	11584	3004	10735470	10563644	12757132024541220
1556808	1545160	11648	3731	12945728	13103806	12757132039539590
1092254	1080638	11616	4131	14175978	13837864	12757132055272674
1346218	1334092	12126	3481	12143374	12143642	12757132069228194
1369142	1357520	11622	587	3485852	3509228	12757132074548520
985414	973668	11746	4252	14213684	14093746	12757132090209770
508856	497084	11772	3693	12783092	11941484	12757132103970498
1219986	1208356	11630	3638	12477948	12487728	12757132118131762
1243932	1232302	11630	2737	10197500	9839542	12757132130040534
860526	848896	11630	1854	7550902	6806778	12757132138917202
439486	428056	11430	262	2307384	1605900	12757132142129612
949438	937888	11550	2312	8914788	8264702	12757132152456234
179788	168286	11502	533	3301970	2155306	12757132156403408
291794	280230	11564	3593	12322626	11424458	12757132169483682
983064	971622	11442	99	1951560	1660166	12757132172883526
626120	614514	11606	4288	14494918	13841576	12757132188466786
1517346	1505672	11674	4109	13998382	14195236	12757132204448298
1225060	1213524	11536	2408	8928474	8811160	12757132215065216
832564	820906	11658	3027	10897760	10274304	12757132227257866
459692	447962	11730	4985	16644952	15760928	12757132244824468
946030	934466	11564	678	3558776	3358242	12757132249794152
410302	398378	11924	2117	7953716	7126754	12757132258623258
293912	282276	11636	2293	8502560	7539066	12757132267883622
990826	979328	11498	1789	6917344	6726460	12757132276257372
160524	148940	11584	914	4375222	3276932	12757132281257196
797268	785650	11618	4153	13989932	13604332	12757132296511334
634300	622698	11602	1515	6186440	5550406	12757132303797710
407918	396222	11696	1040	4654624	3901152	12757132309323724
1586756	1575134	11622	4496	15126840	15423628	12757132326502638
1186380	1174746	11634	3415	11863592	11788294	12757132340019266
1298082	1285422	12660	4104	14267260	13961452	12757132356044274
1656354	1644616	11738	3390	11721324	12182370	12757132369885610
429896	418106	11790	3186	11124240	10363496	12757132381911678
1221566	1209762	11804	4864	16192382	16177686	12757132399786942
264774	252994	11780	3823	12973792	12089524	12757132413492336
344688	332814	11874	4098	13812022	12990540	12757132428114904
1289636	1278340	11296	155	2203190	2136258	12757132432070588
251386	239624	11762	3875	13176106	12228370	12757132445960966
1238262	1226514	11748	4861	16400424	16169048	12757132464064348
855728	844038	11690	2928	10483188	9999566	12757132475868918
1591142	1579722	11420	110	2323382	2301038	12757132480252674
1378862	1367232	11630	1900	7362270	7447536	12757132489456108
1656606	1644816	11790	4545	15257956	15663272	12757132506835282
1651004	1639180	11824	3369	11804170	12115146	12757132520755706
357800	346164	11636	2297	8359974	7612598	12757132529940696
1673046	1661270	11776	4406	14777362	15239744	12757132546851978
1262480	1250748	11732	787	3894244	3999462	12757132552475086
1662670	1650932	11738	3521	12184136	12584492	12757132566786332
275492	263906	11586	2005	7654250	6655376	12757132575182958
1672946	1661426	11520	1318	5648822	5999188	12757132582991238
471968	460110	11858	4294	14831254	13700714	12757132598763004
500200	488564	11636	824	4060040	3348946	12757132603789370
1147260	1135740	11520	1278	5506982	5351794	12757132610907176
359460	347910	11550	2680	10013600	8765198	12757132621767762
154600	142830	11770	1094	4860002	3811544	12757132627243416
1100894	1089024	11870	3047	10866312	10602670	12757132639676486
830582	819126	11456	162	2026216	1695044	12757132642997652
167244	155450	11794	1420	6233150	4797336	12757132649858496
598930	587504	11426	1616	6481324	5814076	12757132657401276
351088	339428	11660	4621	15488302	14563094	12757132673704240
630924	619274	11650	1886	7272392	6654958	12757132682070890
1671110	1659456	11654	4189	14349352	14588792	12757132698557552
1365850	1354126	11724	4642	15536652	15639960	12757132715928350
260606	248800	11806	2200	8560186	7227432	12757132725214512
194414	182594	11820	4100	14017186	12847278	12757132739894334
1486316	1474582	11734	3859	13405162	13417462	12757132755249968
1318696	1307180	11516	1704	6818208	6797158	12757132763851532
883974	872228	11746	4153	14135774	13696474	12757132779336054
224234	212558	11676	3768	12888864	11883518	12757132792913640
171450	159640	11810	2718	9669990	8688156	12757132803219262
1247304	1235260	12044	3756	12907264	12871110	12757132817840990
1000546	988822	11724	1692	6897692	6447934	12757132826201828
1650972	1639104	11868	4481	15396348	15443376	12757132843711288
1164608	1152704	11904	1863	7087976	7118690	12757132852431114
712744	701218	11526	2575	9298676	8802088	12757132862906450
