# Loop @ Start frequency 1300000Hz took 2445.86 cycles
# Interval [2443 ; 2449]
# Q1 : 2438 ; Q3 : 2444
# Loop @ Target frequency 3000000Hz took 1060.05 cycles
# Interval [1058 ; 1062]
# Q1 : 1056 ; Q3 : 1058
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1330062	1295954	34108	3567	710052330	710588892	12758262676903194
1663236	1644616	18620	4812	16247324	16630664	12758262695124390
1653684	1635476	18208	907	4887654	4935638	12758262701971524
952670	934452	18218	3036	11124090	10599348	12758262714355494
1558938	1540984	17954	4996	17131068	17075824	12758262733349902
374338	356398	17940	2463	9435020	8306724	12758262743466412
1672676	1654228	18448	4156	14629508	14695922	12758262760073414
1651956	1634022	17934	3982	13910924	14132736	12758262775944714
1667800	1649542	18258	4075	14011058	14423616	12758262791927574
1213376	1195392	17984	3998	14045324	13742406	12758262807494124
1691528	1673682	17846	3427	12315788	12510544	12758262821805262
1177180	1159300	17880	2191	8398596	8295860	12758262831688146
1370502	1352646	17856	4544	15563586	15528878	12758262848925864
1525796	1507884	17912	3891	13833740	13737878	12758262864593396
1113862	1095848	18014	4101	14339290	13951730	12758262880351808
727140	708888	18252	3295	11893220	11151834	12758262893280474
1656442	1638614	17828	2535	9767452	9810194	12758262905008074
930154	912712	17442	27	1913518	1576848	12758262908160486
1054890	1036904	17986	2511	9692328	9133844	12758262919212204
1054072	1036020	18052	4626	15946064	15465652	12758262936522130
312222	294208	18014	4697	15886212	14933502	12758262953025420
845522	827510	18012	4859	16459580	15951794	12758262970639016
893198	875166	18032	1572	6625720	6160326	12758262978462084
292794	275362	17432	447	3359728	2194052	12758262982422806
593658	575612	18046	3556	12711876	11800394	12758262996033120
649108	631248	17860	4871	16759326	15792540	12758263013749554
1654474	1636474	18000	3275	11692752	12017226	12758263027399792
620942	603112	17830	1540	6555134	5791990	12758263034883896
543712	525546	18166	3078	11191246	10319780	12758263046921798
401896	384336	17560	1572	6765130	5670552	12758263054396950
593076	575030	18046	1286	5812412	5005868	12758263061106534
1287156	1269148	18008	4158	14616374	14296236	12758263077318714
1475826	1458358	17468	156	2407002	2508366	12758263081505844
849126	831838	17288	590	3786158	3181238	12758263086448884
1662164	1644430	17734	1788	7234070	7576432	12758263095647950
1177982	1160400	17582	4822	16423670	16174802	12758263113558056
905832	888390	17442	271	2808696	2279356	12758263117577698
268714	251314	17400	2722	10033606	8981478	12758263128187770
891958	874454	17504	3041	11000540	10556710	12758263140384444
459538	442026	17512	1519	6517700	5569224	12758263147670692
444906	427064	17842	1506	6429432	5512574	12758263154847924
1011260	993144	18116	4306	15062574	14467078	12758263171228584
526302	508414	17888	3273	11775732	10885422	12758263183834440
1076008	1058064	17944	1904	7576344	7340050	12758263192794176
1263060	1245290	17770	2294	8751828	8691072	12758263203112134
1606790	1589202	17588	1597	6791460	6951420	12758263211818014
1658104	1640352	17752	2113	8355062	8543112	12758263222134862
1448854	1430936	17918	412	3202132	3243034	12758263227094200
611198	593692	17506	138	2589370	1588566	12758263230599364
583138	564938	18200	3347	11851756	11163338	12758263243341864
953496	936238	17258	16	2125708	1564268	12758263246724694
1306446	1288674	17772	1746	7102460	7118286	12758263255441140
771610	753914	17696	4935	16760856	16104570	12758263273276496
1325342	1307360	17982	3464	12464892	12259502	12758263287370040
1463306	1445458	17848	3745	13125018	13237688	12758263302265794
340790	322872	17918	2732	10113748	9079302	12758263313024994
392750	375276	17474	1498	6429660	5440320	12758263320155094
1502278	1484250	18028	4146	14349546	14474878	12758263336318884
449346	431780	17566	1096	5269490	4291574	12758263342344060
549620	531836	17784	1260	5777172	4903132	12758263348974758
1520724	1502864	17860	4117	14198938	14408078	12758263365002996
1668564	1650786	17778	2011	8225604	8258130	12758263375200924
572864	555508	17356	172	2402406	1652886	12758263378483764
1416132	1398590	17542	2268	8705802	8796252	12758263388910330
678162	660360	17802	4094	14445914	13498744	12758263404342720
1043940	1026388	17552	745	4257394	3837600	12758263409952054
1658742	1640926	17816	2672	10005254	10218274	12758263421924820
1144458	1126358	18100	3355	11900136	11752118	12758263435273684
1662392	1644780	17612	1239	5799140	5934340	12758263443043286
1668166	1650364	17802	4099	14248898	14498534	12758263459264380
1448820	1430926	17894	3278	11844592	11822348	12758263472866166
560806	542700	18106	2673	10002408	9122514	12758263483734220
1656590	1638766	17824	2143	8298866	8632790	12758263493997230
758768	741290	17478	1737	7026880	6522968	12758263502086854
1586528	1569128	17400	1406	6306614	6359108	12758263510286186
1277856	1260042	17814	797	4455162	4221612	12758263516322454
1496394	1478910	17484	643	3970880	3985074	12758263522098648
568998	551104	17894	3558	12622900	11802946	12758263535593984
1113750	1096064	17686	4047	14079290	13792086	12758263551094104
215980	198556	17424	882	4588098	3417708	12758263556203114
207342	189536	17806	2473	9573734	8176994	12758263566292320
1652916	1635086	17830	1585	6582162	6959320	12758263574831094
435698	417856	17842	2540	9569984	8604592	12758263585145336
696852	679078	17774	4264	14626232	14020092	12758263600772010
1656492	1638646	17846	2738	10077574	10416428	12758263612814186
735732	717936	17796	2733	10092732	9480390	12758263623945870
712334	694274	18060	4271	14635662	14057082	12758263639602120
1254476	1236296	18180	2902	10670182	10500734	12758263651831404
420810	403034	17776	3628	12725272	11842390	12758263665285716
1229938	1212172	17766	3111	11412290	11127882	12758263678230984
511778	494018	17760	266	2678624	1872302	12758263681729736
1220648	1202728	17920	4833	16404760	16249600	12758263699659654
724958	707428	17530	157	2445908	1759898	12758263703138516
509160	489600	19560	226	2852508	1753776	12758263706804334
