# Loop @ Start frequency 2200000Hz took 1445.36 cycles
# Interval [1443 ; 1448]
# Q1 : 1440 ; Q3 : 1444
# Loop @ Target frequency 2600000Hz took 1222.24 cycles
# Interval [1221 ; 1224]
# Q1 : 1218 ; Q3 : 1222
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
288496	265498	22998	3567	462878708	462978184	12757061284214636
893840	882234	11606	4812	16019546	15662834	12757061301484290
676380	664980	11400	907	4373116	3757952	12757061306860582
935766	924234	11532	3036	10970330	10387610	12757061319094540
742770	731406	11364	4996	16929218	16063414	12757061337092440
1184526	1173012	11514	2463	9070930	8920900	12757061347674220
1653778	1642294	11484	4156	14084828	14459152	12757061363739404
1264050	1252614	11436	3982	13521540	13549616	12757061378850016
1293990	1282540	11450	4075	13894800	13856720	12757061394365186
1657388	1645922	11466	3998	13770022	13989388	12757061410118174
1588254	1576758	11496	3427	11948074	12211972	12757061423980994
1552744	1541182	11562	2191	8267148	8476390	12757061434127438
1657934	1646570	11364	4544	15233326	15623714	12757061451345960
1446662	1435238	11424	3891	13274182	13460222	12757061466392634
1677654	1666098	11556	4101	14073996	14316684	12757061482471034
1427468	1415970	11498	3295	11481488	11656922	12757061495706930
1663778	1652378	11400	2535	9185850	9615266	12757061506882314
1421206	1410036	11170	27	2056670	1867886	12757061510686088
618284	606852	11432	2511	9511976	8497898	12757061521142454
1335128	1323732	11396	4626	15490206	15547568	12757061538293474
1657228	1645874	11354	4697	15759998	16082524	12757061556037170
420328	408910	11418	4859	16144588	15330794	12757061572928354
1663202	1651972	11230	1572	6675772	6735214	12757061581593608
1603220	1591878	11342	447	3092028	3321900	12757061586615562
656648	645302	11346	3556	12443278	11664450	12757061600040996
852182	840728	11454	4871	16556036	15796682	12757061617775024
419860	408474	11386	3275	11502062	10608368	12757061630023634
1117270	1105830	11440	1540	6579962	6092024	12757061638047566
669356	657938	11418	3078	10993788	10248388	12757061650038210
956656	945310	11346	1572	6686844	6027966	12757061658008366
1268190	1256936	11254	1286	5821834	5483430	12757061665425082
1120766	1109310	11456	4158	14104586	13943390	12757061680975416
1130550	1119420	11130	156	2437200	1962906	12757061684870020
1076720	1065568	11152	590	3665846	3208360	12757061689942980
938870	927528	11342	1788	7321682	6656358	12757061698529544
1294596	1283140	11456	4822	16075202	16092390	12757061716226122
708870	697584	11286	271	2589720	1885566	12757061719851436
289800	278430	11370	2722	9763706	8801838	12757061730230680
170914	159476	11438	3041	10936738	9636274	12757061741664496
1572498	1561170	11328	1519	6241658	6484464	12757061749806100
608944	597460	11484	1506	6186768	5483904	12757061756929424
603132	591568	11564	4306	14586522	13856380	12757061772444788
1584170	1572800	11370	3273	11636054	11749268	12757061785990020
923168	911554	11614	1904	7666176	6987288	12757061794906314
1235438	1223942	11496	2294	8838486	8467818	12757061805307664
470878	459438	11440	1597	6450362	5615308	12757061812555154
225840	214556	11284	2113	7951870	6914876	12757061821058396
277030	265646	11384	412	3075178	1897578	12757061824736932
1017238	1005906	11332	138	2158846	1795628	12757061828239660
279954	268490	11464	3347	11978278	10663090	12757061840823816
1382592	1371348	11244	16	1846994	1793874	12757061844379420
228268	216868	11400	1746	6938722	5820718	12757061851872734
468932	457532	11400	4935	16399436	15604868	12757061869068314
187378	175914	11464	3464	12349666	10921770	12757061881931560
1513700	1502166	11534	3745	13179758	13088756	12757061896950442
212606	201080	11526	2732	9778800	8757212	12757061907267876
778798	767398	11400	1498	6332896	5629672	12757061914705694
794840	783386	11454	4146	14060236	13571284	12757061929886880
1380376	1368946	11430	1096	5254358	5028552	12757061936847248
1353608	1342204	11404	1260	5741708	5490110	12757061944269780
1082614	1071220	11394	4117	14224132	13769406	12757061959903180
506418	494934	11484	2011	7988176	6891474	12757061968724620
854274	843096	11178	172	2150898	1733920	12757061972056522
1132748	1121328	11420	2268	8761162	8289488	12757061982277394
903488	892078	11410	4094	13878876	13523144	12757061997386814
1065708	1054410	11298	745	3947398	3661430	12757062002726686
397786	386482	11304	2672	9879314	8763328	12757062013330094
155126	143610	11516	3355	12010874	10561784	12757062025822286
1658098	1646660	11438	1239	5309436	5731798	12757062033116546
1663992	1652438	11554	4099	13997130	14295778	12757062049104494
289280	277804	11476	3278	11424476	10465280	12757062061144036
541760	530232	11528	2673	9757076	8906586	12757062071769856
324428	312988	11440	2143	8384072	7104298	12757062080803674
161862	150396	11466	1737	6917928	5727780	12757062088210156
1651242	1640006	11236	1406	6017854	6226500	12757062096206176
600004	588598	11406	797	4012672	3354046	12757062101146694
1037054	1025724	11330	643	3901222	3328364	12757062106411320
165606	154080	11526	3558	12311192	11179334	12757062119214436
1163024	1151604	11420	4047	14085812	13641108	12757062134793300
302130	290884	11246	882	4379452	3310520	12757062139801480
1146086	1134708	11378	2473	9096684	8914114	12757062150369368
375998	364784	11214	1585	6584936	5488388	12757062157656210
743328	731842	11486	2540	9290580	8713332	12757062168016854
769156	757776	11380	4264	14459134	13895942	12757062183572948
292022	280806	11216	2738	9828456	8852116	12757062194019922
1662942	1651554	11388	2733	9796406	10216780	12757062205827022
1195642	1184242	11400	4271	14472780	14354620	12757062221838728
1327026	1315620	11406	2902	10523380	10387044	12757062234022576
312188	300778	11410	3628	12696400	11545912	12757062247364694
900054	888644	11410	3111	11074370	10587716	12757062259672816
506428	495282	11146	266	2489104	1676802	12757062263002330
702914	691572	11342	4833	16200796	15540154	12757062280240394
1297072	1286004	11068	157	2271184	2141124	12757062284141786
