# Loop @ Start frequency 2400000Hz took 1323.80 cycles
# Interval [1321 ; 1326]
# Q1 : 1320 ; Q3 : 1324
# Loop @ Target frequency 1600000Hz took 1987.82 cycles
# Interval [1985 ; 1991]
# Q1 : 1982 ; Q3 : 1984
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
Change time (with write) [cycles]	Change time [cycles]	Write cost [cycles]	Wait time [us]	Time since last frequency change request [cycles]	Time since last frequency change [cycles]	Detected frequency change timestamp [cycles]
1091278	1069744	21534	3567	439781352	439439114	12756968377931816
1203910	1192940	10970	4812	16354802	15949854	12756968395965766
259760	249350	10410	907	4670336	3318420	12756968401378546
1254944	1244408	10536	3036	10873022	10682994	12756968413974166
320152	309612	10540	4996	16906666	15615090	12756968431661250
580700	570154	10546	2463	8863834	8296450	12756968441567956
1663766	1653100	10666	4156	14048426	14444540	12756968457741322
387080	376514	10566	3982	13415752	12649276	12756968472003796
1663854	1652660	11194	4075	13877718	14205788	12756968488011586
410628	400004	10624	3998	13578370	12718528	12756968502462230
425660	414944	10716	3427	11916656	11025878	12756968515265956
429164	418530	10634	2191	8256902	7329234	12756968524412776
857556	847416	10140	4544	15165294	14800356	12756968540898128
1014640	1004150	10490	3891	13596542	13003066	12756968555968812
261378	250910	10468	4101	14229444	12879528	12756968570919350
338156	327694	10462	3295	11816444	10542464	12756968583542332
933730	923256	10474	2535	9155462	8863716	12756968594092422
1406162	1395856	10306	27	2037264	1831612	12756968597994634
1665980	1655464	10516	2511	9154886	9545720	12756968609277372
1571284	1560794	10490	4626	15798604	15762080	12756968627110242
1086460	1075838	10622	4697	16009356	15487440	12756968644666598
464514	453838	10676	4859	16065990	15351912	12756968661657920
578354	567964	10390	1572	6335816	5627248	12756968669032560
1587680	1577088	10592	447	3287478	3267028	12756968674366640
218234	207674	10560	3556	12137642	11202554	12756968687183626
753802	743220	10582	4871	16523216	15673370	12756968704928362
1030914	1020308	10606	3275	11366276	11174978	12756968717784650
777786	767226	10560	1540	6209192	5744406	12756968725232318
505340	494794	10546	3078	10917142	10062414	12756968737114066
444542	433942	10600	1572	6328644	5494048	12756968744346930
1025478	1014954	10524	1286	5657998	5218118	12756968751497330
1676200	1665684	10516	4158	14040940	14461686	12756968767675272
767294	757120	10174	156	2021312	1577798	12756968770923496
1614418	1604088	10330	590	3245480	3722872	12756968776242000
977998	967468	10530	1788	6790420	6671688	12756968784473520
1315554	1304998	10556	4822	16196336	16091178	12756968802445370
441426	430918	10508	271	2297548	1596192	12756968805647524
947552	937134	10418	2722	9713308	9438048	12756968816775540
1439954	1429448	10506	3041	10694232	10882682	12756968829371220
356682	346198	10484	1519	6081342	5246798	12756968836270070
1603254	1592674	10580	1506	6067982	6452960	12756968844403222
1267402	1256928	10474	4306	14854684	14497868	12756968860989300
1057830	1047354	10476	3273	11309626	11197210	12756968873816896
483724	473262	10462	1904	7272276	6524644	12756968882035920
1673450	1663000	10450	2294	8808708	8879974	12756968892976576
1665178	1654578	10600	1597	6327920	6790368	12756968901435210
1441922	1431568	10354	2113	7951142	8108646	12756968911289074
301826	291470	10356	412	2837246	1879660	12756968914889722
976418	966194	10224	138	2362924	1731798	12756968918688976
248684	238128	10556	3347	11554692	10609064	12756968930953336
1614230	1603954	10276	16	2003346	2005720	12756968935029446
1664194	1653684	10510	1746	6790740	7240388	12756968943966480
1528028	1517378	10650	4935	16419520	16648882	12756968962389300
495708	484982	10726	3464	11919846	11215464	12756968975280080
866648	855948	10700	3745	13169426	12426984	12756968989789490
1272640	1261890	10750	2732	9662472	9800540	12756969001200352
1324660	1313982	10678	1498	6039106	6160090	12756969009039942
1262194	1251554	10640	4146	14232068	14021262	12756969025007502
1186870	1176440	10430	1096	4872064	4817736	12756969031543492
156060	145580	10480	1260	5358642	4277260	12756969037534032
385574	374730	10844	4117	13863860	13058810	12756969052258152
812436	801766	10670	2011	7578642	7182122	12756969061125094
784384	773920	10464	172	2105602	1649144	12756969064487966
162404	151674	10730	2268	8415526	7300182	12756969073542102
1058020	1047280	10740	4094	13828716	13661174	12756969088899436
1319632	1308978	10654	745	3755064	3920352	12756969094446530
567742	557028	10714	2672	9470802	8916618	12756969104962880
1664604	1653770	10834	3355	11842512	12055524	12756969118947262
916558	906042	10516	1239	5674442	4977792	12756969126019594
391100	380304	10796	4099	14054536	13009496	12756969140943536
1676514	1665768	10746	3278	11773566	11838188	12756969154865060
387314	376590	10724	2673	9430734	8738130	12756969165161326
1668012	1657522	10490	2143	7943422	8432156	12756969175250254
1678124	1667568	10556	1737	6873586	7227954	12756969184274966
1331338	1320658	10680	1406	5897590	5889388	12756969191985050
1306406	1295804	10602	797	4350874	4044704	12756969198119532
1599228	1588732	10496	643	3841568	3878042	12756969204059974
1143110	1132462	10648	3558	12389052	12142206	12756969218068582
1228124	1217418	10706	4047	14077596	13693520	12756969233851400
1049282	1038464	10818	882	4599478	4040188	12756969239978580
413516	402716	10800	2473	9329392	8167610	12756969250198102
171186	160668	10518	1585	6309192	5263936	12756969257150764
1049302	1038658	10644	2540	9560338	9001878	12756969268234640
649664	638986	10678	4264	14315272	13761110	12756969283676452
1288402	1277870	10532	2738	9785602	9832856	12756969295224322
1671800	1661220	10580	2733	9730000	10204896	12756969307103512
262522	251784	10738	4271	14222776	13396602	12756969322065450
1673936	1663220	10716	2902	10246342	10711530	12756969334460918
1568298	1557618	10680	3628	12452900	12776058	12756969348963590
1681134	1670484	10650	3111	10792694	11344268	12756969361909966
559994	549432	10562	266	2247428	1706318	12756969365194380
610208	599528	10680	4833	16423132	15425464	12756969382702260
759300	748860	10440	157	1958570	1579300	12756969385898112
704880	694576	10304	226	2108292	1733296	12756969389186742
1658502	1647728	10774	1531	6486438	6592776	12756969397808194
541538	530838	10700	3004	10540856	9882268	12756969409369250
1554160	1543490	10670	3731	12653908	13071444	12756969424050492
1682704	1672018	10686	4131	13957988	14411390	12756969440167126
201834	191212	10622	3481	12373180	10970898	12756969453225740
243736	233240	10496	587	3297658	2349974	12756969457242232
371796	361050	10746	4252	14195956	13450104	12756969472286992
1666704	1655970	10734	3693	12598972	13070444	12756969487025956
873388	862804	10584	3638	12550694	12112514	12756969500921900
783488	772900	10588	2737	9861420	9325356	12756969512043488
971674	961228	10446	1854	7513582	6872642	12756969521003794
670330	659724	10606	262	2587868	1807376	12756969524733862
1680662	1670074	10588	2312	8884378	8952000	12756969535776480
1614308	1603892	10416	533	3074204	3558462	12756969540944734
1084950	1074220	10730	3593	12262008	12187964	12756969554766382
999370	988960	10410	99	1803826	1644380	12756969558044828
1251516	1240840	10676	4288	14642110	14437976	12756969574413792
417272	406624	10648	4109	13787286	13067352	12756969589091704
354578	343862	10716	2408	8915992	7913334	12756969598839830
735448	724782	10666	3027	10548630	10145718	12756969610602740
1068440	1057864	10576	4985	16411586	16338086	12756969628554882
1658036	1647436	10600	678	3518742	4040072	12756969634205498
512688	501828	10860	2117	8009202	7198566	12756969643209184
1534238	1523778	10460	2293	8562950	8748278	12756969653784050
1661134	1650588	10546	1789	7023390	7368958	12756969662943540
758500	747958	10542	914	4719346	3860718	12756969668903696
1575860	1565198	10662	4153	14001840	14357524	12756969684954860
1483736	1473186	10550	1515	5997070	6369026	12756969692913682
1665250	1654690	10560	1040	4935030	5127586	12756969699990832
1670654	1659950	10704	4496	15128384	15479952	12756969717271310
