metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",5,0,7.43069,0.126644
"perf-freq",61,6006,3.79203,0.000945803
"perf-ipc",62,6106,3.92502,0.0133597
"sysfs-powercap-rapl",61,6006,263.187,1.26262
"sysfs-powercap-rapl/package-0",61,6006,138.493,0.752741
"sysfs-powercap-rapl/package-0-dram",61,6006,12.2907,0.0685544
"sysfs-powercap-rapl/package-1",61,6006,101.122,0.675795
"sysfs-powercap-rapl/package-1-dram",61,6006,11.2813,0.0581241
