metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",19,0,6.67145,0.115932
"perf-freq",64,6305,3.45089,0.0267733
"perf-ipc",65,6405,3.8666,0.0169827
"sysfs-powercap-rapl",64,6305,541.956,3.17404
"sysfs-powercap-rapl/package-0",64,6305,334.814,2.85921
"sysfs-powercap-rapl/package-0-dram",64,6305,12.2916,0.0660726
"sysfs-powercap-rapl/package-1",64,6305,183.602,1.13139
"sysfs-powercap-rapl/package-1-dram",64,6305,11.2488,0.051339
