experiment,frequency,shell,threads,utility,op1,op2,ipc-estimate,metricq,perf-freq,perf-ipc,sysfs-powercap-rapl,sysfs-powercap-rapl/package-0,sysfs-powercap-rapl/package-0-dram,sysfs-powercap-rapl/package-1,sysfs-powercap-rapl/package-1-dram
5,0,2,56,531535,0,0,0.000000,1377.140000,2.472592,5.453750,639.723679,349.840055,12.807975,265.718031,11.357391
8,0,2,56,2578,0,0,0.000000,1424.098039,2.581422,3.194441,679.597732,349.856875,40.885169,277.494204,11.361647
14,0,2,56,1598,0,0,0.000000,1400.180000,2.603133,3.668877,661.717149,349.802143,51.106980,249.452574,11.355227
13,0,2,56,1632,0,0,0.000000,1427.060000,2.991026,1.802508,683.525595,349.852391,51.667871,270.614515,11.390768
3,0,2,56,83839,0,0,0.000000,1349.306122,2.995028,2.121597,617.057641,309.530558,12.918560,283.214556,11.393813
9,0,2,56,83672,0,0,0.000000,1344.040000,2.995023,2.112138,611.079286,306.484046,12.853676,280.355091,11.386474
11,0,2,56,18666,0,0,0.000000,1294.940000,2.995046,0.064481,571.009145,266.540320,12.773084,280.290768,11.405025
6,0,2,56,77484637,0,0,0.000000,1357.580000,1.936886,3.718400,623.397660,349.820207,44.275250,217.933689,11.368987
2,0,1,112,1,0,0,0.000000,1037.857143,0.000000,-nan,354.180748,162.700017,12.816474,167.246808,11.417412
4,0,0,14,641113892,0,0,0.000000,926.673469,0.796251,2.682036,254.856515,114.795708,12.489311,116.199780,11.371670
5,0,0,14,171022,0,0,0.000000,921.142857,0.796124,5.452164,252.220588,115.540202,12.462425,112.851664,11.366293
8,0,0,14,869,0,0,0.000000,924.100000,0.795215,3.477061,256.158667,116.493092,15.589845,112.723871,11.351735
14,0,0,14,629,0,0,0.000000,927.020000,0.794926,4.689859,256.471267,116.669639,15.688476,112.758853,11.354442
13,0,0,14,789,0,0,0.000000,928.500000,0.795116,3.187764,257.284384,117.060414,16.043312,112.814822,11.365886
3,0,0,14,22082,0,0,0.000000,913.224490,0.796171,2.120811,245.166557,108.522421,12.474987,112.819376,11.349723
9,0,0,14,22074,0,0,0.000000,913.265306,0.796135,2.114813,245.103224,108.397883,12.498529,112.843196,11.363601
11,0,0,14,4922,0,0,0.000000,911.346939,0.796180,0.064473,244.600497,107.877297,12.542235,112.826431,11.354575
6,0,0,14,35031659,0,0,0.000000,934.580000,0.794414,3.991415,264.090940,124.334992,15.627015,112.763456,11.365474
4,0,0,28,636835890,0,0,0.000000,923.877551,0.796355,2.676183,256.103336,119.443346,12.523642,112.750813,11.385617
5,0,0,28,168894,0,0,0.000000,933.326531,0.796303,5.449098,263.742956,127.143385,12.489404,112.746906,11.363258
8,0,0,28,856,0,0,0.000000,939.340000,0.795737,3.477738,269.421910,128.669356,16.689353,112.694610,11.368695
14,0,0,28,621,0,0,0.000000,945.440000,0.795604,4.684671,274.407182,129.136606,21.154751,112.756577,11.359242
13,0,0,28,780,0,0,0.000000,946.460000,0.795781,3.192727,277.588222,129.594247,23.858513,112.774375,11.361038
3,0,0,28,21802,0,0,0.000000,917.897959,0.796420,2.120843,250.623570,114.113525,12.483235,112.659688,11.367139
9,0,0,28,21803,0,0,0.000000,917.653061,0.796450,2.114591,249.540034,112.973603,12.468667,112.729831,11.367786
11,0,0,28,4860,0,0,0.000000,914.489796,0.796398,0.064473,248.187016,111.646614,12.456683,112.716125,11.367535
6,0,0,28,34424631,0,0,0.000000,960.612245,0.795010,3.989661,288.645363,144.468085,19.976702,112.841433,11.358948
4,0,0,42,628057683,0,0,0.000000,932.510204,0.796518,2.667953,263.846497,127.245449,12.459252,112.806006,11.335790
5,0,0,42,166275,0,0,0.000000,946.265306,0.796372,5.463037,275.446870,138.844119,12.451278,112.801989,11.349488
8,0,0,42,843,0,0,0.000000,955.500000,0.795902,3.478975,282.997648,137.781519,21.074013,112.795916,11.346326
14,0,0,42,619,0,0,0.000000,963.980000,0.796025,4.707416,291.752730,141.969098,25.642327,112.784369,11.356986
13,0,0,42,762,0,0,0.000000,965.820000,0.796263,3.197259,292.941697,141.278170,27.580006,112.730975,11.352405
3,0,0,42,21501,0,0,0.000000,922.326531,0.796732,2.120858,255.647840,119.111304,12.517074,112.659401,11.360059
9,0,0,42,21506,0,0,0.000000,922.061224,0.796708,2.114413,254.809425,118.301479,12.494132,112.660579,11.353236
11,0,0,42,4796,0,0,0.000000,917.061224,0.796782,0.064474,248.181527,111.760344,12.423047,112.643419,11.354656
6,0,0,42,33763400,0,0,0.000000,987.040816,0.795462,3.987703,314.116647,164.716161,25.332314,112.716046,11.352052
4,0,0,56,618695192,0,0,0.000000,940.673469,0.795863,2.669530,271.489627,134.977878,12.461602,112.723368,11.326706
5,0,0,56,164432,0,0,0.000000,959.857143,0.796023,5.445205,286.989771,150.477334,12.422217,112.761896,11.328307
8,0,0,56,831,0,0,0.000000,972.360000,0.795662,3.478944,299.519314,150.439667,24.891118,112.842216,11.346321
14,0,0,56,610,0,0,0.000000,984.040000,0.795297,4.739486,309.283306,155.922657,29.200290,112.835869,11.324610
13,0,0,56,761,0,0,0.000000,985.480000,0.795617,3.202565,311.721285,154.688939,32.805784,112.897450,11.329058
3,0,0,56,21178,0,0,0.000000,927.306122,0.795903,2.120876,260.045751,123.373981,12.448722,112.863866,11.359205
9,0,0,56,21177,0,0,0.000000,926.979592,0.795710,2.114917,259.892738,123.296174,12.438979,112.780086,11.377568
11,0,0,56,4722,0,0,0.000000,919.632653,0.795978,0.064474,251.961228,115.446801,12.442567,112.709246,11.362607
6,0,0,56,33076269,0,0,0.000000,1014.714286,0.794870,3.986530,336.357247,184.547745,27.751782,112.710699,11.346876
4,0,1,14,1614638462,0,0,0.000000,1034.500000,1.995453,2.680299,355.320800,170.150039,12.709429,161.058445,11.402884
5,0,1,14,436625,0,0,0.000000,1136.700000,1.995985,5.452228,440.905501,217.495825,12.790018,199.213755,11.405938
8,0,1,14,2139,0,0,0.000000,1152.117647,1.994543,3.342706,450.546117,222.669181,17.146856,199.309008,11.420940
14,0,1,14,1457,0,0,0.000000,1157.440000,1.992230,4.226402,458.286392,226.232730,21.313073,199.325536,11.415249
13,0,1,14,1609,0,0,0.000000,1148.880000,1.992329,2.563803,452.231834,219.022316,22.442516,199.345738,11.421288
3,0,1,14,56374,0,0,0.000000,1113.204082,1.996028,2.121394,420.056585,196.485076,12.836958,199.296042,11.438511
9,0,1,14,56271,0,0,0.000000,1112.400000,1.996025,2.113111,420.000204,196.505711,12.823077,199.245956,11.425512
11,0,1,14,12555,0,0,0.000000,1105.660000,1.996030,0.064479,414.481234,191.059128,12.765908,199.232555,11.423603
6,0,1,14,83698401,0,0,0.000000,1186.122449,1.989125,3.742615,480.750689,249.213203,20.891205,199.215069,11.431292
4,0,1,28,1637677889,0,0,0.000000,1146.940000,1.996361,2.672675,447.825240,224.390970,12.763786,199.237009,11.433444
