metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",54,0,1.30128,0.139578
"perf-freq",265,26433,0.995018,0.000463777
"perf-ipc",266,26533,2.61278,0.00231394
"sysfs-powercap-rapl",265,26433,272.066,1.54445
"sysfs-powercap-rapl/package-0",265,26433,143.615,1.39293
"sysfs-powercap-rapl/package-0-dram",265,26433,12.0617,0.0829309
"sysfs-powercap-rapl/package-1",265,26433,105.127,0.584953
"sysfs-powercap-rapl/package-1-dram",265,26433,11.2618,0.069515
