metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",25,0,2.06512,0.981054
"perf-freq",145,14412,0.147441,0.000318497
"perf-ipc",146,14513,3.74178,0.00112577
"sysfs-powercap-rapl",145,14412,292.94,1.50194
"sysfs-powercap-rapl/package-0",145,14412,150.545,0.979469
"sysfs-powercap-rapl/package-0-dram",145,14412,12.6991,0.0889596
"sysfs-powercap-rapl/package-1",145,14412,118.384,1.02586
"sysfs-powercap-rapl/package-1-dram",145,14412,11.3118,0.0540129
